,Lap,LapTime,LapSpeed,RunningPos
0,0,,,31
1,1,51.799,173.749,32
2,2,47.221,190.593,29
3,3,47.903,187.880,30
4,4,48.175,186.819,29
5,5,48.149,186.920,27
6,6,47.623,188.984,26
7,7,47.745,188.501,25
8,8,47.706,188.656,25
9,9,48.214,186.668,23
10,10,118.477,75.964,23
11,11,9999.999,0.900,35
12,12,145.29,61.945,24
13,13,162.892,55.251,24
14,14,128.694,69.933,24
15,15,124.723,72.160,24
16,16,119.014,75.621,18
17,17,124.73,72.156,13
18,18,128.137,70.237,9
19,19,152.192,59.136,36
20,20,219.51,41.000,41
21,21,1451.683,6.200,41
22,22,113.562,79.252,35
23,23,104.524,86.105,26
24,24,50.192,179.311,22
25,25,47.651,188.873,18
26,26,47.86,188.048,19
27,27,47.524,189.378,20
28,28,47.442,189.705,21
29,29,47.077,191.176,21
30,30,46.841,192.139,13
31,31,47.61,189.036,13
32,32,47.346,190.090,12
33,33,47.412,189.825,13
34,34,47.28,190.355,14
35,35,47.449,189.677,13
36,36,47.563,189.223,16
37,37,47.26,190.436,14
38,38,47.261,190.432,11
39,39,47.401,189.869,8
40,40,47.624,188.980,9
41,41,47.447,189.685,9
42,42,47.743,188.509,11
43,43,47.325,190.174,10
44,44,47.647,188.889,19
45,45,47.514,189.418,16
46,46,47.001,191.485,12
47,47,46.677,192.814,10
48,48,46.475,193.653,6
49,49,46.923,191.804,6
50,50,47.141,190.917,9
51,51,46.876,191.996,8
52,52,46.521,193.461,5
53,53,46.63,193.009,4
54,54,46.52,193.465,4
55,55,46.577,193.228,5
56,56,46.438,193.807,5
57,57,46.249,194.599,4
58,58,46.233,194.666,4
59,59,46.48,193.632,4
60,60,46.636,192.984,4
61,61,46.713,192.666,4
62,62,46.638,192.976,4
63,63,61.329,146.749,4
64,64,116.865,77.012,4
65,65,128.961,69.789,4
66,66,130.044,69.207,4
67,67,147.692,60.938,27
68,68,114.452,78.636,9
69,69,125.75,71.571,5
70,70,125.646,71.630,7
71,71,77.347,116.359,12
72,72,120.621,74.614,11
73,73,130.44,68.997,11
74,74,125.07,71.960,7
75,75,129.277,69.618,4
76,76,126.04,71.406,7
77,77,51.611,174.381,10
78,78,48.179,186.803,13
79,79,47.781,188.359,14
80,80,47.862,188.041,14
81,81,48.058,187.274,14
82,82,48.291,186.370,14
83,83,80.894,111.257,13
84,84,136.419,65.973,29
85,85,130.5,68.966,19
86,86,117.012,76.915,17
87,87,51.496,174.771,17
88,88,47.636,188.933,19
89,89,47.457,189.645,19
90,90,47.535,189.334,19
91,91,47.853,188.076,19
92,92,47.556,189.251,21
93,93,47.253,190.464,21
94,94,47.285,190.335,21
95,95,47.369,189.998,23
96,96,47.394,189.897,22
97,97,47.297,190.287,22
98,98,47.226,190.573,17
99,99,47.322,190.186,19
100,100,47.352,190.066,20
101,101,47.206,190.654,20
102,102,47.037,191.339,19
103,103,47.529,189.358,20
104,104,47.758,188.450,20
