,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,5,16,Chv
1,1,32.191,167.749,6,16,Chv
2,2,30.069,179.587,7,16,Chv
3,3,30.197,178.826,7,16,Chv
4,4,30.687,175.970,9,16,Chv
5,5,30.404,177.608,9,16,Chv
6,6,30.495,177.078,9,16,Chv
7,7,30.705,175.867,9,16,Chv
8,8,30.736,175.690,9,16,Chv
9,9,30.772,175.484,10,16,Chv
10,10,30.949,174.481,10,16,Chv
11,11,31.027,174.042,10,16,Chv
12,12,30.911,174.695,10,16,Chv
13,13,31.226,172.933,10,16,Chv
14,14,30.991,174.244,10,16,Chv
15,15,30.996,174.216,10,16,Chv
16,16,30.931,174.582,10,16,Chv
17,17,30.962,174.407,10,16,Chv
18,18,31.516,171.342,10,16,Chv
19,19,30.854,175.018,10,16,Chv
20,20,31.008,174.149,10,16,Chv
21,21,31.11,173.578,10,16,Chv
22,22,31.15,173.355,10,16,Chv
23,23,31.1,173.633,10,16,Chv
24,24,31.21,173.021,10,16,Chv
25,25,31.343,172.287,10,16,Chv
26,26,31.253,172.783,10,16,Chv
27,27,31.159,173.305,10,16,Chv
28,28,31.484,171.516,10,16,Chv
29,29,31.222,172.955,10,16,Chv
30,30,31.417,171.881,10,16,Chv
31,31,31.241,172.850,10,16,Chv
32,32,31.223,172.949,10,16,Chv
33,33,31.171,173.238,10,16,Chv
34,34,31.207,173.038,10,16,Chv
35,35,31.134,173.444,10,16,Chv
36,36,31.12,173.522,10,16,Chv
37,37,31.293,172.563,10,16,Chv
38,38,31.255,172.772,10,16,Chv
39,39,31.321,172.408,10,16,Chv
40,40,31.305,172.496,10,16,Chv
41,41,31.384,172.062,10,16,Chv
42,42,33.779,159.863,9,16,Chv
43,43,48.199,112.036,9,16,Chv
44,44,85.885,62.875,9,16,Chv
45,45,108.586,49.730,19,16,Chv
46,46,90.889,59.413,9,16,Chv
47,47,97.202,55.554,8,16,Chv
48,48,97.683,55.281,8,16,Chv
49,49,93.798,57.571,8,16,Chv
50,50,97.201,55.555,7,16,Chv
51,51,92.388,58.449,7,16,Chv
52,52,31.996,168.771,7,16,Chv
53,53,29.896,180.626,6,16,Chv
54,54,30.01,179.940,6,16,Chv
55,55,30.39,177.690,6,16,Chv
56,56,30.344,177.959,6,16,Chv
57,57,30.333,178.024,6,16,Chv
58,58,30.497,177.067,6,16,Chv
59,59,30.62,176.355,6,16,Chv
60,60,30.587,176.546,6,16,Chv
61,61,30.534,176.852,6,16,Chv
62,62,30.562,176.690,6,16,Chv
63,63,30.898,174.769,6,16,Chv
64,64,30.611,176.407,6,16,Chv
65,65,30.761,175.547,6,16,Chv
66,66,30.799,175.330,6,16,Chv
67,67,30.891,174.808,6,16,Chv
68,68,31.087,173.706,6,16,Chv
69,69,30.913,174.684,6,16,Chv
70,70,30.972,174.351,6,16,Chv
71,71,31.031,174.020,6,16,Chv
72,72,30.903,174.740,6,16,Chv
73,73,30.969,174.368,6,16,Chv
74,74,30.99,174.250,6,16,Chv
75,75,31.138,173.422,6,16,Chv
76,76,31.291,172.574,6,16,Chv
77,77,31.203,173.060,6,16,Chv
78,78,31.269,172.695,6,16,Chv
79,79,31.225,172.938,6,16,Chv
80,80,31.189,173.138,6,16,Chv
81,81,31.177,173.205,6,16,Chv
82,82,31.237,172.872,6,16,Chv
83,83,31.316,172.436,6,16,Chv
84,84,31.26,172.745,6,16,Chv
85,85,31.354,172.227,6,16,Chv
86,86,31.338,172.315,6,16,Chv
87,87,31.559,171.108,6,16,Chv
88,88,31.488,171.494,6,16,Chv
89,89,31.761,170.020,6,16,Chv
90,90,31.392,172.018,6,16,Chv
91,91,31.67,170.508,6,16,Chv
92,92,31.545,171.184,6,16,Chv
93,93,31.414,171.898,6,16,Chv
94,94,31.475,171.565,6,16,Chv
95,95,31.612,170.821,6,16,Chv
96,96,31.884,169.364,6,16,Chv
97,97,31.895,169.306,5,16,Chv
98,98,39.174,137.847,5,16,Chv
99,99,80.261,67.280,5,16,Chv
100,100,97.176,55.569,5,16,Chv
101,101,98.196,54.992,5,16,Chv
102,102,96.546,55.932,5,16,Chv
103,103,109.307,49.402,21,16,Chv
104,104,85.602,63.083,5,16,Chv
105,105,97.243,55.531,5,16,Chv
106,106,97.93,55.141,5,16,Chv
107,107,91.106,59.272,5,16,Chv
108,108,32.271,167.333,10,16,Chv
109,109,29.992,180.048,7,16,Chv
110,110,30.052,179.689,7,16,Chv
111,111,30.025,179.850,5,16,Chv
112,112,45.248,119.342,6,16,Chv
113,113,90.891,59.412,6,16,Chv
114,114,99.285,54.389,6,16,Chv
115,115,97.948,55.131,6,16,Chv
116,116,97.778,55.227,6,16,Chv
117,117,90.885,59.416,6,16,Chv
118,118,32.147,167.978,4,16,Chv
119,119,29.727,181.653,4,16,Chv
120,120,29.926,180.445,4,16,Chv
121,121,29.983,180.102,4,16,Chv
122,122,30.295,178.247,4,16,Chv
123,123,30.547,176.777,5,16,Chv
124,124,30.474,177.200,5,16,Chv
125,125,30.559,176.707,5,16,Chv
126,126,30.434,177.433,5,16,Chv
127,127,30.493,177.090,5,16,Chv
128,128,30.518,176.945,5,16,Chv
129,129,30.703,175.879,5,16,Chv
130,130,30.702,175.884,5,16,Chv
131,131,30.615,176.384,5,16,Chv
132,132,30.676,176.033,5,16,Chv
133,133,30.688,175.965,5,16,Chv
134,134,30.721,175.776,5,16,Chv
135,135,30.713,175.821,5,16,Chv
136,136,30.717,175.798,5,16,Chv
137,137,30.852,175.029,5,16,Chv
138,138,31.083,173.728,5,16,Chv
139,139,31.226,172.933,6,16,Chv
140,140,31.483,171.521,6,16,Chv
141,141,30.987,174.267,6,16,Chv
142,142,30.99,174.250,6,16,Chv
143,143,31.128,173.477,6,16,Chv
144,144,30.955,174.447,6,16,Chv
145,145,31.069,173.807,6,16,Chv
146,146,30.999,174.199,6,16,Chv
147,147,31.0,174.194,6,16,Chv
148,148,31.302,172.513,5,16,Chv
149,149,31.05,173.913,5,16,Chv
150,150,31.152,173.344,5,16,Chv
151,151,31.153,173.338,4,16,Chv
152,152,57.055,94.646,28,16,Chv
153,153,43.267,124.806,29,16,Chv
154,154,30.261,178.448,26,16,Chv
155,155,30.272,178.383,21,16,Chv
156,156,29.999,180.006,16,16,Chv
157,157,30.378,177.760,15,16,Chv
158,158,30.325,178.071,12,16,Chv
159,159,30.286,178.300,10,16,Chv
160,160,30.398,177.643,5,16,Chv
161,161,30.612,176.401,4,16,Chv
162,162,30.706,175.861,4,16,Chv
163,163,31.1,173.633,5,16,Chv
164,164,30.648,176.194,5,16,Chv
165,165,30.683,175.993,5,16,Chv
166,166,31.074,173.779,6,16,Chv
167,167,30.754,175.587,6,16,Chv
168,168,30.814,175.245,6,16,Chv
169,169,30.734,175.701,6,16,Chv
170,170,30.801,175.319,6,16,Chv
171,171,30.927,174.605,6,16,Chv
172,172,30.899,174.763,6,16,Chv
173,173,31.167,173.260,6,16,Chv
174,174,31.117,173.539,6,16,Chv
175,175,31.01,174.137,6,16,Chv
176,176,30.938,174.543,6,16,Chv
177,177,31.086,173.712,6,16,Chv
178,178,31.112,173.566,6,16,Chv
179,179,30.973,174.345,6,16,Chv
180,180,31.058,173.868,6,16,Chv
181,181,31.163,173.282,6,16,Chv
182,182,31.217,172.983,6,16,Chv
183,183,31.323,172.397,6,16,Chv
184,184,31.296,172.546,6,16,Chv
185,185,31.083,173.728,6,16,Chv
186,186,31.06,173.857,6,16,Chv
187,187,31.194,173.110,6,16,Chv
188,188,31.36,172.194,6,16,Chv
189,189,31.153,173.338,6,16,Chv
190,190,31.169,173.249,6,16,Chv
191,191,31.318,172.425,6,16,Chv
192,192,31.515,171.347,6,16,Chv
193,193,31.675,170.481,6,16,Chv
194,194,31.321,172.408,6,16,Chv
195,195,31.835,169.625,6,16,Chv
196,196,31.742,170.122,6,16,Chv
197,197,31.537,171.227,6,16,Chv
198,198,31.582,170.983,6,16,Chv
199,199,31.739,170.138,6,16,Chv
200,200,31.807,169.774,6,16,Chv
201,201,46.211,116.855,6,16,Chv
202,202,86.461,62.456,6,16,Chv
203,203,316.05,17.086,6,16,Chv
204,204,134.988,40.004,6,16,Chv
205,205,103.114,52.369,13,16,Chv
206,206,84.786,63.690,5,16,Chv
207,207,96.227,56.117,5,16,Chv
208,208,91.362,59.106,6,16,Chv
209,209,32.009,168.703,5,16,Chv
210,210,29.716,181.720,5,16,Chv
211,211,29.94,180.361,5,16,Chv
212,212,30.233,178.613,5,16,Chv
213,213,30.144,179.140,5,16,Chv
214,214,30.252,178.501,5,16,Chv
215,215,30.332,178.030,5,16,Chv
216,216,30.422,177.503,5,16,Chv
217,217,30.534,176.852,5,16,Chv
218,218,30.471,177.218,5,16,Chv
219,219,30.611,176.407,5,16,Chv
220,220,30.518,176.945,5,16,Chv
221,221,30.509,176.997,5,16,Chv
222,222,30.541,176.811,5,16,Chv
223,223,30.868,174.938,5,16,Chv
224,224,30.804,175.302,5,16,Chv
225,225,30.751,175.604,5,16,Chv
226,226,30.823,175.194,5,16,Chv
227,227,30.908,174.712,5,16,Chv
228,228,30.915,174.672,5,16,Chv
229,229,30.799,175.330,5,16,Chv
230,230,30.813,175.251,5,16,Chv
231,231,31.042,173.958,5,16,Chv
232,232,31.053,173.896,5,16,Chv
233,233,31.194,173.110,5,16,Chv
234,234,31.113,173.561,5,16,Chv
235,235,31.077,173.762,5,16,Chv
236,236,31.013,174.121,5,16,Chv
237,237,31.111,173.572,5,16,Chv
238,238,47.441,113.826,5,16,Chv
239,239,104.441,51.704,14,16,Chv
240,240,88.392,61.092,8,16,Chv
241,241,97.359,55.465,8,16,Chv
242,242,97.085,55.621,8,16,Chv
243,243,88.06,61.322,7,16,Chv
244,244,31.882,169.375,7,16,Chv
245,245,30.692,175.942,9,16,Chv
246,246,60.414,89.383,9,16,Chv
247,247,94.213,57.317,9,16,Chv
248,248,96.519,55.948,9,16,Chv
249,249,97.519,55.374,9,16,Chv
250,250,101.427,53.240,9,16,Chv
251,251,91.958,58.722,10,16,Chv
252,252,32.213,167.634,5,16,Chv
253,253,29.967,180.198,5,16,Chv
254,254,29.953,180.282,5,16,Chv
255,255,30.114,179.319,5,16,Chv
256,256,30.194,178.843,5,16,Chv
257,257,30.21,178.749,5,16,Chv
258,258,30.449,177.346,5,16,Chv
259,259,30.602,176.459,5,16,Chv
260,260,30.585,176.557,5,16,Chv
261,261,30.478,177.177,5,16,Chv
262,262,30.641,176.234,5,16,Chv
263,263,30.587,176.546,5,16,Chv
264,264,30.705,175.867,5,16,Chv
265,265,30.661,176.120,5,16,Chv
266,266,30.829,175.160,5,16,Chv
267,267,30.798,175.336,5,16,Chv
268,268,30.757,175.570,5,16,Chv
269,269,30.919,174.650,5,16,Chv
270,270,30.989,174.255,5,16,Chv
271,271,30.808,175.279,5,16,Chv
272,272,30.947,174.492,5,16,Chv
273,273,31.208,173.033,5,16,Chv
274,274,31.136,173.433,5,16,Chv
275,275,30.981,174.300,5,16,Chv
276,276,31.152,173.344,5,16,Chv
277,277,30.969,174.368,5,16,Chv
278,278,31.074,173.779,5,16,Chv
279,279,30.917,174.661,5,16,Chv
280,280,31.388,172.040,5,16,Chv
281,281,31.076,173.768,5,16,Chv
282,282,30.974,174.340,5,16,Chv
