,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,9,48,Chv
1,1,32.423,166.548,12,48,Chv
2,2,29.842,180.953,10,48,Chv
3,3,30.295,178.247,10,48,Chv
4,4,30.445,177.369,10,48,Chv
5,5,30.702,175.884,11,48,Chv
6,6,30.709,175.844,12,48,Chv
7,7,30.536,176.840,11,48,Chv
8,8,30.68,176.010,11,48,Chv
9,9,30.919,174.650,11,48,Chv
10,10,30.978,174.317,11,48,Chv
11,11,30.931,174.582,11,48,Chv
12,12,30.882,174.859,11,48,Chv
13,13,31.044,173.947,11,48,Chv
14,14,30.962,174.407,11,48,Chv
15,15,31.541,171.206,11,48,Chv
16,16,31.027,174.042,11,48,Chv
17,17,30.926,174.610,11,48,Chv
18,18,31.034,174.003,11,48,Chv
19,19,31.031,174.020,11,48,Chv
20,20,30.883,174.853,11,48,Chv
21,21,30.892,174.803,11,48,Chv
22,22,31.343,172.287,11,48,Chv
23,23,31.313,172.452,11,48,Chv
24,24,31.209,173.027,11,48,Chv
25,25,31.217,172.983,11,48,Chv
26,26,31.081,173.740,11,48,Chv
27,27,31.221,172.961,11,48,Chv
28,28,31.297,172.540,11,48,Chv
29,29,31.233,172.894,11,48,Chv
30,30,31.413,171.903,11,48,Chv
31,31,31.281,172.629,11,48,Chv
32,32,31.324,172.392,11,48,Chv
33,33,31.416,171.887,11,48,Chv
34,34,31.251,172.794,11,48,Chv
35,35,31.22,172.966,11,48,Chv
36,36,31.246,172.822,11,48,Chv
37,37,31.371,172.133,11,48,Chv
38,38,31.505,171.401,11,48,Chv
39,39,31.426,171.832,11,48,Chv
40,40,31.378,172.095,11,48,Chv
41,41,31.454,171.679,11,48,Chv
42,42,34.31,157.389,10,48,Chv
43,43,48.114,112.233,10,48,Chv
44,44,85.3,63.306,10,48,Chv
45,45,108.816,49.625,21,48,Chv
46,46,93.788,57.577,13,48,Chv
47,47,95.556,56.511,12,48,Chv
48,48,99.464,54.291,12,48,Chv
49,49,90.973,59.358,12,48,Chv
50,50,96.868,55.746,11,48,Chv
51,51,91.286,59.155,12,48,Chv
52,52,32.077,168.345,11,48,Chv
53,53,30.334,178.018,11,48,Chv
54,54,30.287,178.294,10,48,Chv
55,55,30.236,178.595,10,48,Chv
56,56,30.162,179.033,10,48,Chv
57,57,30.672,176.056,10,48,Chv
58,58,30.499,177.055,9,48,Chv
59,59,30.431,177.451,9,48,Chv
60,60,30.458,177.293,9,48,Chv
61,61,30.571,176.638,9,48,Chv
62,62,30.901,174.752,9,48,Chv
63,63,30.659,176.131,9,48,Chv
64,64,30.829,175.160,9,48,Chv
65,65,30.663,176.108,8,48,Chv
66,66,30.859,174.989,8,48,Chv
67,67,30.959,174.424,8,48,Chv
68,68,31.122,173.511,8,48,Chv
69,69,30.994,174.227,8,48,Chv
70,70,31.103,173.617,8,48,Chv
71,71,31.381,172.079,8,48,Chv
72,72,30.983,174.289,8,48,Chv
73,73,31.086,173.712,8,48,Chv
74,74,31.006,174.160,8,48,Chv
75,75,31.01,174.137,8,48,Chv
76,76,31.141,173.405,8,48,Chv
77,77,31.359,172.199,8,48,Chv
78,78,31.169,173.249,8,48,Chv
79,79,31.004,174.171,8,48,Chv
80,80,31.27,172.689,8,48,Chv
81,81,31.532,171.255,9,48,Chv
82,82,31.305,172.496,9,48,Chv
