,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,14,2,Frd
1,1,32.299,167.188,14,2,Frd
2,2,30.13,179.223,14,2,Frd
3,3,30.479,177.171,13,2,Frd
4,4,30.321,178.094,13,2,Frd
5,5,30.573,176.626,13,2,Frd
6,6,30.65,176.183,13,2,Frd
7,7,30.517,176.951,12,2,Frd
8,8,30.934,174.565,13,2,Frd
9,9,30.917,174.661,13,2,Frd
10,10,30.75,175.610,13,2,Frd
11,11,31.09,173.689,13,2,Frd
12,12,30.987,174.267,13,2,Frd
13,13,31.08,173.745,13,2,Frd
14,14,31.147,173.371,14,2,Frd
15,15,31.157,173.316,14,2,Frd
16,16,31.314,172.447,14,2,Frd
17,17,31.165,173.271,14,2,Frd
18,18,31.252,172.789,14,2,Frd
19,19,31.213,173.005,14,2,Frd
20,20,31.019,174.087,14,2,Frd
21,21,31.06,173.857,14,2,Frd
22,22,31.141,173.405,14,2,Frd
23,23,31.141,173.405,14,2,Frd
24,24,31.226,172.933,14,2,Frd
25,25,31.206,173.044,14,2,Frd
26,26,31.226,172.933,14,2,Frd
27,27,31.219,172.972,14,2,Frd
28,28,31.273,172.673,14,2,Frd
29,29,31.559,171.108,14,2,Frd
30,30,31.398,171.985,14,2,Frd
31,31,31.335,172.331,14,2,Frd
32,32,31.294,172.557,14,2,Frd
33,33,31.306,172.491,14,2,Frd
34,34,31.395,172.002,14,2,Frd
35,35,31.462,171.636,14,2,Frd
36,36,31.445,171.728,14,2,Frd
37,37,31.393,172.013,14,2,Frd
38,38,31.58,170.994,14,2,Frd
39,39,31.419,171.871,14,2,Frd
40,40,31.332,172.348,14,2,Frd
41,41,31.338,172.315,14,2,Frd
42,42,34.414,156.913,13,2,Frd
43,43,48.519,111.297,13,2,Frd
44,44,85.308,63.300,13,2,Frd
45,45,106.388,50.758,22,2,Frd
46,46,94.149,57.356,14,2,Frd
47,47,95.936,56.288,13,2,Frd
48,48,99.63,54.201,13,2,Frd
49,49,90.391,59.740,13,2,Frd
50,50,96.867,55.747,14,2,Frd
51,51,90.791,59.477,13,2,Frd
52,52,32.127,168.083,13,2,Frd
53,53,30.361,177.860,13,2,Frd
54,54,30.522,176.922,14,2,Frd
55,55,30.559,176.707,14,2,Frd
56,56,30.742,175.655,14,2,Frd
57,57,30.518,176.945,13,2,Frd
58,58,30.475,177.194,13,2,Frd
59,59,30.728,175.735,13,2,Frd
60,60,30.777,175.456,13,2,Frd
61,61,30.696,175.919,13,2,Frd
62,62,30.747,175.627,13,2,Frd
63,63,30.891,174.808,13,2,Frd
64,64,30.968,174.374,13,2,Frd
65,65,31.234,172.889,14,2,Frd
66,66,30.903,174.740,14,2,Frd
67,67,30.994,174.227,14,2,Frd
68,68,30.954,174.452,14,2,Frd
69,69,31.101,173.628,14,2,Frd
70,70,31.099,173.639,14,2,Frd
71,71,31.343,172.287,14,2,Frd
72,72,31.091,173.684,14,2,Frd
73,73,31.122,173.511,14,2,Frd
74,74,31.073,173.784,14,2,Frd
75,75,31.32,172.414,14,2,Frd
76,76,31.116,173.544,14,2,Frd
77,77,31.335,172.331,14,2,Frd
78,78,31.344,172.282,14,2,Frd
