,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,26,3,Chv
1,1,32.322,167.069,23,3,Chv
2,2,30.729,175.730,25,3,Chv
3,3,30.732,175.713,25,3,Chv
4,4,30.546,176.783,24,3,Chv
5,5,30.824,175.188,23,3,Chv
6,6,30.969,174.368,23,3,Chv
7,7,30.831,175.148,23,3,Chv
8,8,30.911,174.695,23,3,Chv
9,9,31.144,173.388,24,3,Chv
10,10,31.382,172.073,25,3,Chv
11,11,31.174,173.221,24,3,Chv
12,12,31.231,172.905,24,3,Chv
13,13,31.06,173.857,24,3,Chv
14,14,31.105,173.606,24,3,Chv
15,15,31.023,174.064,23,3,Chv
16,16,31.004,174.171,23,3,Chv
17,17,31.052,173.902,23,3,Chv
18,18,31.243,172.839,23,3,Chv
19,19,31.356,172.216,23,3,Chv
20,20,31.27,172.689,23,3,Chv
21,21,31.435,171.783,22,3,Chv
22,22,31.319,172.419,22,3,Chv
23,23,31.705,170.320,23,3,Chv
24,24,31.409,171.925,22,3,Chv
25,25,31.603,170.870,22,3,Chv
26,26,31.457,171.663,23,3,Chv
27,27,31.342,172.293,23,3,Chv
28,28,31.322,172.403,23,3,Chv
29,29,31.362,172.183,23,3,Chv
30,30,31.375,172.112,24,3,Chv
31,31,31.412,171.909,24,3,Chv
32,32,31.65,170.616,24,3,Chv
33,33,31.453,171.685,24,3,Chv
34,34,31.486,171.505,24,3,Chv
35,35,31.521,171.314,24,3,Chv
36,36,31.612,170.821,24,3,Chv
37,37,31.563,171.086,24,3,Chv
38,38,31.547,171.173,24,3,Chv
39,39,31.567,171.065,24,3,Chv
40,40,56.139,96.190,37,3,Chv
41,41,50.198,107.574,36,3,Chv
42,42,47.787,113.001,36,3,Chv
43,43,81.65,66.136,36,3,Chv
44,44,81.631,66.151,36,3,Chv
45,45,95.585,56.494,36,3,Chv
46,46,98.461,54.844,36,3,Chv
47,47,71.925,75.078,36,3,Chv
48,48,67.345,80.184,36,3,Chv
49,49,69.361,77.854,36,3,Chv
50,50,95.712,56.419,36,3,Chv
51,51,84.828,63.658,36,3,Chv
52,52,32.194,167.733,37,3,Chv
53,53,30.911,174.695,37,3,Chv
54,54,30.847,175.058,36,3,Chv
55,55,30.66,176.125,36,3,Chv
56,56,31.273,172.673,36,3,Chv
57,57,30.967,174.379,36,3,Chv
58,58,31.037,173.986,36,3,Chv
59,59,30.987,174.267,36,3,Chv
60,60,31.218,172.977,36,3,Chv
61,61,31.089,173.695,36,3,Chv
62,62,31.005,174.165,35,3,Chv
63,63,31.211,173.016,35,3,Chv
64,64,31.025,174.053,33,3,Chv
65,65,31.171,173.238,33,3,Chv
66,66,31.089,173.695,33,3,Chv
67,67,31.273,172.673,32,3,Chv
68,68,31.336,172.326,31,3,Chv
69,69,31.24,172.855,31,3,Chv
70,70,31.113,173.561,31,3,Chv
71,71,31.415,171.892,31,3,Chv
72,72,31.317,172.430,31,3,Chv
73,73,31.486,171.505,31,3,Chv
74,74,31.308,172.480,31,3,Chv
75,75,31.357,172.210,31,3,Chv
76,76,31.341,172.298,31,3,Chv
77,77,31.538,171.222,31,3,Chv
78,78,31.47,171.592,31,3,Chv
79,79,31.29,172.579,31,3,Chv
80,80,31.224,172.944,30,3,Chv
81,81,31.421,171.860,30,3,Chv
82,82,31.447,171.717,30,3,Chv
83,83,31.24,172.855,30,3,Chv
84,84,31.344,172.282,30,3,Chv
85,85,31.416,171.887,30,3,Chv
86,86,31.334,172.337,30,3,Chv
87,87,31.454,171.679,30,3,Chv
88,88,31.368,172.150,30,3,Chv
89,89,31.416,171.887,30,3,Chv
90,90,31.458,171.657,30,3,Chv
91,91,31.881,169.380,30,3,Chv
92,92,31.691,170.395,30,3,Chv
93,93,31.528,171.276,30,3,Chv
94,94,31.676,170.476,30,3,Chv
95,95,32.006,168.718,29,3,Chv
96,96,31.468,171.603,29,3,Chv
97,97,34.681,155.705,29,3,Chv
98,98,51.23,105.407,28,3,Chv
99,99,66.692,80.969,28,3,Chv
100,100,99.282,54.391,28,3,Chv
101,101,99.473,54.286,29,3,Chv
102,102,93.752,57.599,28,3,Chv
103,103,101.138,53.392,33,3,Chv
104,104,92.827,58.173,25,3,Chv
105,105,96.755,55.811,25,3,Chv
106,106,106.677,50.620,25,3,Chv
107,107,68.331,79.027,24,3,Chv
108,108,32.392,166.708,26,3,Chv
109,109,30.833,175.137,28,3,Chv
110,110,30.912,174.689,28,3,Chv
111,111,30.745,175.638,27,3,Chv
112,112,55.863,96.665,27,3,Chv
113,113,91.111,59.268,27,3,Chv
114,114,105.927,50.979,29,3,Chv
115,115,91.633,58.931,27,3,Chv
116,116,105.984,50.951,26,3,Chv
117,117,69.295,77.928,26,3,Chv
118,118,32.543,165.934,25,3,Chv
119,119,31.034,174.003,26,3,Chv
120,120,30.78,175.439,28,3,Chv
121,121,30.713,175.821,28,3,Chv
122,122,31.077,173.762,29,3,Chv
123,123,31.032,174.014,28,3,Chv
124,124,30.885,174.842,28,3,Chv
125,125,31.206,173.044,28,3,Chv
126,126,31.165,173.271,28,3,Chv
127,127,30.95,174.475,28,3,Chv
128,128,31.053,173.896,28,3,Chv
