,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,32,23,Tyt
1,1,32.43,166.512,29,23,Tyt
2,2,30.726,175.747,28,23,Tyt
3,3,30.681,176.005,28,23,Tyt
4,4,30.641,176.234,27,23,Tyt
5,5,31.051,173.907,27,23,Tyt
6,6,30.807,175.285,26,23,Tyt
7,7,30.812,175.256,25,23,Tyt
8,8,31.027,174.042,26,23,Tyt
9,9,31.248,172.811,26,23,Tyt
10,10,31.195,173.105,26,23,Tyt
11,11,31.355,172.221,27,23,Tyt
12,12,31.193,173.116,27,23,Tyt
13,13,31.358,172.205,27,23,Tyt
14,14,31.646,170.638,27,23,Tyt
15,15,31.392,172.018,28,23,Tyt
16,16,31.406,171.942,28,23,Tyt
17,17,31.16,173.299,28,23,Tyt
18,18,31.055,173.885,28,23,Tyt
19,19,31.343,172.287,28,23,Tyt
20,20,31.387,172.046,29,23,Tyt
21,21,31.652,170.605,29,23,Tyt
22,22,31.69,170.401,29,23,Tyt
23,23,31.709,170.299,30,23,Tyt
24,24,31.374,172.117,30,23,Tyt
25,25,31.552,171.146,29,23,Tyt
26,26,31.461,171.641,29,23,Tyt
27,27,31.562,171.092,29,23,Tyt
28,28,31.471,171.587,29,23,Tyt
29,29,31.461,171.641,29,23,Tyt
30,30,31.715,170.266,29,23,Tyt
31,31,31.67,170.508,29,23,Tyt
32,32,31.478,171.548,29,23,Tyt
33,33,31.681,170.449,30,23,Tyt
34,34,31.807,169.774,30,23,Tyt
35,35,31.914,169.205,30,23,Tyt
36,36,31.833,169.635,30,23,Tyt
37,37,32.111,168.167,29,23,Tyt
38,38,31.481,171.532,29,23,Tyt
39,39,31.773,169.956,29,23,Tyt
40,40,31.904,169.258,28,23,Tyt
41,41,31.611,170.827,26,23,Tyt
42,42,38.382,140.691,26,23,Tyt
43,43,48.757,110.753,26,23,Tyt
44,44,80.77,66.857,26,23,Tyt
45,45,100.578,53.690,31,23,Tyt
46,46,96.723,55.830,30,23,Tyt
47,47,96.446,55.990,25,23,Tyt
48,48,104.772,51.540,26,23,Tyt
49,49,79.694,67.759,26,23,Tyt
50,50,96.265,56.095,26,23,Tyt
51,51,87.909,61.427,26,23,Tyt
52,52,32.619,165.548,30,23,Tyt
53,53,30.719,175.787,29,23,Tyt
54,54,30.836,175.120,29,23,Tyt
55,55,31.225,172.938,31,23,Tyt
56,56,31.375,172.112,32,23,Tyt
57,57,30.792,175.370,32,23,Tyt
58,58,30.945,174.503,32,23,Tyt
59,59,31.208,173.033,33,23,Tyt
60,60,31.172,173.232,34,23,Tyt
61,61,31.273,172.673,34,23,Tyt
62,62,31.019,174.087,34,23,Tyt
63,63,31.142,173.399,33,23,Tyt
64,64,31.643,170.654,35,23,Tyt
65,65,31.458,171.657,34,23,Tyt
66,66,31.141,173.405,34,23,Tyt
67,67,31.172,173.232,34,23,Tyt
68,68,31.271,172.684,34,23,Tyt
69,69,31.575,171.021,33,23,Tyt
70,70,31.305,172.496,33,23,Tyt
71,71,31.376,172.106,33,23,Tyt
72,72,31.326,172.381,33,23,Tyt
73,73,31.375,172.112,33,23,Tyt
74,74,31.471,171.587,33,23,Tyt
75,75,31.505,171.401,33,23,Tyt
76,76,31.529,171.271,33,23,Tyt
77,77,31.608,170.843,33,23,Tyt
78,78,31.299,172.529,33,23,Tyt
79,79,31.137,173.427,32,23,Tyt
80,80,31.373,172.123,32,23,Tyt
81,81,31.278,172.645,32,23,Tyt
82,82,31.638,170.681,32,23,Tyt
83,83,31.321,172.408,32,23,Tyt
84,84,31.32,172.414,32,23,Tyt
85,85,31.386,172.051,31,23,Tyt
86,86,31.358,172.205,31,23,Tyt
87,87,31.335,172.331,31,23,Tyt
88,88,31.33,172.359,31,23,Tyt
89,89,31.476,171.559,31,23,Tyt
90,90,31.779,169.924,31,23,Tyt
91,91,31.596,170.908,31,23,Tyt
92,92,31.672,170.498,31,23,Tyt
93,93,31.59,170.940,31,23,Tyt
94,94,31.481,171.532,31,23,Tyt
95,95,31.568,171.059,31,23,Tyt
96,96,31.869,169.444,31,23,Tyt
97,97,35.157,153.597,31,23,Tyt
98,98,52.588,102.685,30,23,Tyt
99,99,65.227,82.788,30,23,Tyt
100,100,99.615,54.209,30,23,Tyt
101,101,99.005,54.543,31,23,Tyt
102,102,94.112,57.378,30,23,Tyt
103,103,99.147,54.465,32,23,Tyt
104,104,92.029,58.677,24,23,Tyt
105,105,96.819,55.774,24,23,Tyt
106,106,106.41,50.747,24,23,Tyt
107,107,69.713,77.460,25,23,Tyt
108,108,32.084,168.308,22,23,Tyt
109,109,30.796,175.347,24,23,Tyt
110,110,31.062,173.846,27,23,Tyt
111,111,31.142,173.399,28,23,Tyt
112,112,55.868,96.656,28,23,Tyt
113,113,92.529,58.360,29,23,Tyt
114,114,104.515,51.667,30,23,Tyt
115,115,91.742,58.861,28,23,Tyt
116,116,106.886,50.521,27,23,Tyt
117,117,68.074,79.325,27,23,Tyt
118,118,32.668,165.299,29,23,Tyt
119,119,31.32,172.414,31,23,Tyt
120,120,30.755,175.581,31,23,Tyt
121,121,30.739,175.673,31,23,Tyt
122,122,30.686,175.976,30,23,Tyt
123,123,31.034,174.003,30,23,Tyt
124,124,31.079,173.751,30,23,Tyt
125,125,31.403,171.958,31,23,Tyt
126,126,31.044,173.947,31,23,Tyt
127,127,31.154,173.332,31,23,Tyt
128,128,31.366,172.161,31,23,Tyt
129,129,30.882,174.859,31,23,Tyt
130,130,31.232,172.900,31,23,Tyt
131,131,31.198,173.088,31,23,Tyt
132,132,31.032,174.014,30,23,Tyt
133,133,31.166,173.266,30,23,Tyt
134,134,30.986,174.272,29,23,Tyt
135,135,30.94,174.531,28,23,Tyt
136,136,31.331,172.353,28,23,Tyt
137,137,31.22,172.966,28,23,Tyt
