,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,1,19,Tyt
1,1,32.034,168.571,2,19,Tyt
2,2,30.192,178.855,3,19,Tyt
3,3,30.2,178.808,3,19,Tyt
4,4,30.085,179.491,3,19,Tyt
5,5,30.063,179.623,3,19,Tyt
6,6,30.213,178.731,3,19,Tyt
7,7,30.366,177.830,3,19,Tyt
8,8,30.496,177.072,3,19,Tyt
9,9,30.59,176.528,3,19,Tyt
10,10,30.82,175.211,3,19,Tyt
11,11,31.061,173.851,3,19,Tyt
12,12,31.035,173.997,4,19,Tyt
13,13,30.769,175.501,4,19,Tyt
14,14,30.73,175.724,4,19,Tyt
15,15,30.796,175.347,4,19,Tyt
16,16,30.89,174.814,4,19,Tyt
17,17,30.912,174.689,4,19,Tyt
18,18,30.834,175.131,4,19,Tyt
19,19,30.954,174.452,4,19,Tyt
20,20,30.949,174.481,4,19,Tyt
21,21,31.123,173.505,4,19,Tyt
22,22,30.987,174.267,4,19,Tyt
23,23,31.127,173.483,4,19,Tyt
24,24,31.552,171.146,5,19,Tyt
25,25,31.367,172.155,5,19,Tyt
26,26,31.241,172.850,5,19,Tyt
27,27,31.146,173.377,5,19,Tyt
28,28,31.184,173.166,5,19,Tyt
29,29,31.329,172.364,5,19,Tyt
30,30,31.125,173.494,5,19,Tyt
31,31,31.304,172.502,5,19,Tyt
32,32,31.19,173.132,5,19,Tyt
33,33,31.222,172.955,5,19,Tyt
34,34,31.297,172.540,5,19,Tyt
35,35,31.358,172.205,5,19,Tyt
36,36,31.361,172.188,5,19,Tyt
37,37,31.416,171.887,5,19,Tyt
38,38,31.455,171.674,5,19,Tyt
39,39,31.484,171.516,5,19,Tyt
40,40,31.461,171.641,5,19,Tyt
41,41,31.404,171.953,5,19,Tyt
42,42,32.424,166.543,4,19,Tyt
43,43,44.953,120.125,4,19,Tyt
44,44,89.757,60.162,4,19,Tyt
45,45,97.324,55.485,1,19,Tyt
46,46,108.454,49.791,11,19,Tyt
47,47,113.033,47.774,31,19,Tyt
48,48,93.589,57.699,20,19,Tyt
49,49,91.606,58.948,37,19,Tyt
50,50,94.957,56.868,35,19,Tyt
51,51,84.852,63.640,34,19,Tyt
52,52,31.967,168.924,33,19,Tyt
53,53,30.773,175.479,32,19,Tyt
54,54,30.868,174.938,32,19,Tyt
55,55,30.92,174.644,32,19,Tyt
56,56,30.81,175.268,29,19,Tyt
57,57,30.686,175.976,29,19,Tyt
58,58,31.014,174.115,29,19,Tyt
59,59,30.98,174.306,29,19,Tyt
60,60,30.855,175.012,29,19,Tyt
61,61,30.922,174.633,28,19,Tyt
62,62,31.03,174.025,28,19,Tyt
63,63,31.4,171.975,28,19,Tyt
64,64,31.518,171.331,29,19,Tyt
65,65,31.19,173.132,29,19,Tyt
66,66,31.235,172.883,30,19,Tyt
67,67,31.535,171.238,30,19,Tyt
68,68,31.421,171.860,30,19,Tyt
69,69,31.329,172.364,30,19,Tyt
70,70,31.508,171.385,30,19,Tyt
71,71,31.337,172.320,30,19,Tyt
72,72,31.113,173.561,30,19,Tyt
73,73,31.416,171.887,30,19,Tyt
74,74,31.058,173.868,29,19,Tyt
75,75,31.161,173.294,29,19,Tyt
76,76,31.329,172.364,29,19,Tyt
77,77,31.406,171.942,29,19,Tyt
78,78,31.402,171.964,29,19,Tyt
79,79,31.484,171.516,29,19,Tyt
80,80,31.398,171.985,29,19,Tyt
81,81,31.532,171.255,29,19,Tyt
82,82,31.467,171.608,29,19,Tyt
83,83,31.293,172.563,29,19,Tyt
84,84,31.252,172.789,29,19,Tyt
85,85,31.435,171.783,29,19,Tyt
86,86,31.31,172.469,29,19,Tyt
87,87,31.434,171.789,29,19,Tyt
88,88,31.529,171.271,29,19,Tyt
89,89,31.605,170.859,29,19,Tyt
90,90,31.546,171.179,29,19,Tyt
91,91,31.528,171.276,29,19,Tyt
92,92,31.549,171.162,29,19,Tyt
93,93,31.603,170.870,28,19,Tyt
94,94,31.976,168.877,28,19,Tyt
95,95,31.726,170.207,28,19,Tyt
96,96,31.384,172.062,28,19,Tyt
97,97,33.785,159.834,27,19,Tyt
98,98,50.95,105.986,26,19,Tyt
99,99,67.701,79.762,26,19,Tyt
100,100,98.462,54.843,26,19,Tyt
101,101,99.612,54.210,27,19,Tyt
102,102,93.196,57.942,26,19,Tyt
103,103,87.748,61.540,13,19,Tyt
104,104,102.41,52.729,18,19,Tyt
105,105,96.096,56.194,18,19,Tyt
106,106,103.892,51.977,18,19,Tyt
107,107,77.261,69.893,19,19,Tyt
108,108,32.137,168.031,18,19,Tyt
109,109,30.338,177.995,16,19,Tyt
110,110,30.757,175.570,16,19,Tyt
111,111,30.396,177.655,16,19,Tyt
112,112,49.805,108.423,16,19,Tyt
113,113,90.989,59.348,16,19,Tyt
114,114,97.187,55.563,15,19,Tyt
115,115,98.887,54.608,15,19,Tyt
116,116,100.348,53.813,15,19,Tyt
117,117,83.379,64.765,15,19,Tyt
118,118,32.499,166.159,14,19,Tyt
119,119,30.411,177.567,13,19,Tyt
120,120,30.874,174.904,16,19,Tyt
121,121,30.673,176.051,16,19,Tyt
122,122,30.702,175.884,16,19,Tyt
123,123,31.273,172.673,18,19,Tyt
124,124,31.052,173.902,17,19,Tyt
125,125,30.69,175.953,18,19,Tyt
126,126,31.044,173.947,19,19,Tyt
127,127,30.765,175.524,19,19,Tyt
128,128,30.719,175.787,19,19,Tyt
129,129,30.978,174.317,19,19,Tyt
130,130,31.093,173.673,19,19,Tyt
131,131,30.845,175.069,19,19,Tyt
132,132,30.88,174.870,19,19,Tyt
133,133,30.916,174.667,19,19,Tyt
134,134,31.01,174.137,19,19,Tyt
135,135,31.182,173.177,19,19,Tyt
136,136,31.341,172.298,20,19,Tyt
137,137,30.995,174.222,20,19,Tyt
138,138,31.087,173.706,20,19,Tyt
139,139,31.343,172.287,20,19,Tyt
140,140,31.225,172.938,20,19,Tyt
141,141,31.03,174.025,20,19,Tyt
142,142,31.047,173.930,20,19,Tyt
143,143,31.276,172.656,20,19,Tyt
144,144,31.227,172.927,20,19,Tyt
145,145,31.603,170.870,20,19,Tyt
146,146,31.858,169.502,21,19,Tyt
147,147,31.443,171.739,21,19,Tyt
148,148,31.467,171.608,20,19,Tyt
149,149,42.959,125.701,34,19,Tyt
150,150,56.565,95.465,35,19,Tyt
151,151,30.576,176.609,34,19,Tyt
