,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,27,43,Tyt
1,1,32.005,168.724,33,43,Tyt
2,2,30.915,174.672,34,43,Tyt
3,3,30.97,174.362,36,43,Tyt
4,4,30.91,174.701,35,43,Tyt
5,5,30.637,176.257,34,43,Tyt
6,6,31.232,172.900,34,43,Tyt
7,7,31.023,174.064,33,43,Tyt
8,8,30.849,175.046,31,43,Tyt
9,9,31.123,173.505,31,43,Tyt
10,10,30.839,175.103,30,43,Tyt
11,11,31.112,173.566,29,43,Tyt
12,12,31.164,173.277,29,43,Tyt
13,13,31.474,171.570,30,43,Tyt
14,14,31.356,172.216,30,43,Tyt
15,15,31.145,173.383,27,43,Tyt
16,16,31.206,173.044,27,43,Tyt
17,17,31.127,173.483,27,43,Tyt
18,18,31.058,173.868,27,43,Tyt
19,19,31.091,173.684,27,43,Tyt
20,20,31.496,171.450,27,43,Tyt
21,21,31.266,172.712,25,43,Tyt
22,22,31.109,173.583,25,43,Tyt
23,23,31.314,172.447,25,43,Tyt
24,24,31.321,172.408,25,43,Tyt
25,25,31.253,172.783,25,43,Tyt
26,26,31.279,172.640,24,43,Tyt
27,27,31.531,171.260,24,43,Tyt
28,28,31.142,173.399,24,43,Tyt
29,29,31.154,173.332,24,43,Tyt
30,30,30.997,174.210,23,43,Tyt
31,31,31.359,172.199,23,43,Tyt
32,32,31.492,171.472,23,43,Tyt
33,33,31.585,170.967,23,43,Tyt
34,34,31.412,171.909,23,43,Tyt
35,35,31.623,170.762,23,43,Tyt
36,36,31.525,171.293,23,43,Tyt
37,37,31.468,171.603,23,43,Tyt
38,38,31.504,171.407,23,43,Tyt
39,39,31.58,170.994,23,43,Tyt
40,40,31.542,171.200,23,43,Tyt
41,41,31.59,170.940,22,43,Tyt
42,42,36.217,149.101,21,43,Tyt
43,43,50.614,106.690,22,43,Tyt
44,44,82.66,65.328,22,43,Tyt
45,45,100.602,53.677,24,43,Tyt
46,46,93.906,57.504,17,43,Tyt
47,47,96.758,55.809,16,43,Tyt
48,48,100.146,53.921,16,43,Tyt
49,49,87.772,61.523,15,43,Tyt
50,50,96.509,55.953,15,43,Tyt
51,51,90.611,59.595,16,43,Tyt
52,52,32.333,167.012,16,43,Tyt
53,53,30.221,178.684,16,43,Tyt
54,54,30.393,177.672,15,43,Tyt
55,55,30.636,176.263,16,43,Tyt
56,56,31.014,174.115,18,43,Tyt
57,57,31.053,173.896,18,43,Tyt
58,58,30.446,177.363,18,43,Tyt
59,59,30.593,176.511,16,43,Tyt
