,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,18,21,Frd
1,1,32.267,167.354,17,21,Frd
2,2,30.527,176.893,18,21,Frd
3,3,30.569,176.650,19,21,Frd
4,4,30.472,177.212,19,21,Frd
5,5,31.057,173.874,19,21,Frd
6,6,30.692,175.942,19,21,Frd
7,7,30.814,175.245,19,21,Frd
8,8,30.715,175.810,19,21,Frd
9,9,30.98,174.306,19,21,Frd
10,10,30.876,174.893,18,21,Frd
11,11,31.043,173.952,18,21,Frd
12,12,30.921,174.639,18,21,Frd
13,13,31.147,173.371,18,21,Frd
14,14,31.196,173.099,18,21,Frd
15,15,31.332,172.348,18,21,Frd
16,16,31.263,172.728,18,21,Frd
17,17,31.425,171.838,19,21,Frd
18,18,31.581,170.989,21,21,Frd
19,19,31.682,170.444,22,21,Frd
20,20,31.558,171.114,21,21,Frd
21,21,31.439,171.761,21,21,Frd
22,22,31.48,171.537,21,21,Frd
23,23,31.596,170.908,22,21,Frd
24,24,31.819,169.710,24,21,Frd
25,25,31.832,169.641,24,21,Frd
26,26,31.973,168.893,26,21,Frd
27,27,31.693,170.385,26,21,Frd
28,28,31.729,170.191,26,21,Frd
29,29,31.591,170.935,26,21,Frd
30,30,31.58,170.994,26,21,Frd
31,31,31.561,171.097,26,21,Frd
32,32,31.683,170.438,26,21,Frd
33,33,31.803,169.795,26,21,Frd
34,34,32.336,166.997,27,21,Frd
35,35,32.122,168.109,27,21,Frd
36,36,31.998,168.761,28,21,Frd
37,37,32.494,166.185,30,21,Frd
38,38,32.006,168.718,30,21,Frd
39,39,31.88,169.385,30,21,Frd
40,40,43.603,123.845,36,21,Frd
41,41,66.55,81.142,37,21,Frd
42,42,47.381,113.970,37,21,Frd
43,43,77.904,69.316,37,21,Frd
44,44,77.289,69.868,37,21,Frd
45,45,94.513,57.135,37,21,Frd
46,46,98.127,55.031,37,21,Frd
47,47,72.137,74.858,37,21,Frd
48,48,68.145,79.243,37,21,Frd
49,49,66.148,81.635,32,21,Frd
50,50,95.725,56.412,32,21,Frd
51,51,86.228,62.625,32,21,Frd
52,52,32.739,164.941,36,21,Frd
53,53,30.949,174.481,36,21,Frd
54,54,30.537,176.835,35,21,Frd
55,55,30.808,175.279,35,21,Frd
56,56,31.182,173.177,33,21,Frd
57,57,30.988,174.261,34,21,Frd
58,58,30.974,174.340,34,21,Frd
59,59,31.148,173.366,35,21,Frd
60,60,31.075,173.773,35,21,Frd
61,61,31.189,173.138,35,21,Frd
62,62,31.556,171.124,36,21,Frd
63,63,31.121,173.516,36,21,Frd
64,64,31.42,171.865,36,21,Frd
65,65,31.287,172.596,36,21,Frd
66,66,31.4,171.975,35,21,Frd
67,67,31.146,173.377,35,21,Frd
68,68,31.443,171.739,35,21,Frd
69,69,31.315,172.441,35,21,Frd
70,70,31.517,171.336,35,21,Frd
71,71,31.386,172.051,35,21,Frd
72,72,31.492,171.472,35,21,Frd
73,73,31.436,171.778,35,21,Frd
74,74,31.469,171.597,35,21,Frd
75,75,31.696,170.369,35,21,Frd
76,76,31.674,170.487,35,21,Frd
77,77,31.463,171.630,35,21,Frd
78,78,31.385,172.057,35,21,Frd
79,79,31.342,172.293,35,21,Frd
80,80,31.349,172.254,35,21,Frd
81,81,31.314,172.447,35,21,Frd
82,82,31.764,170.004,35,21,Frd
83,83,31.823,169.689,35,21,Frd
84,84,31.456,171.668,35,21,Frd
85,85,31.813,169.742,35,21,Frd
86,86,31.816,169.726,35,21,Frd
87,87,31.676,170.476,35,21,Frd
88,88,31.71,170.293,35,21,Frd
89,89,31.467,171.608,35,21,Frd
90,90,31.767,169.988,35,21,Frd
91,91,31.57,171.048,35,21,Frd
92,92,31.746,170.100,35,21,Frd
93,93,31.779,169.924,35,21,Frd
94,94,31.717,170.256,35,21,Frd
95,95,31.658,170.573,35,21,Frd
96,96,31.839,169.603,34,21,Frd
97,97,35.646,151.490,34,21,Frd
98,98,52.383,103.087,33,21,Frd
99,99,63.992,84.386,33,21,Frd
100,100,98.524,54.809,33,21,Frd
101,101,98.459,54.845,33,21,Frd
102,102,94.619,57.071,32,21,Frd
103,103,84.542,63.874,16,21,Frd
104,104,108.366,49.831,28,21,Frd
105,105,96.172,56.149,29,21,Frd
106,106,108.489,49.775,28,21,Frd
107,107,64.657,83.518,27,21,Frd
108,108,32.142,168.004,27,21,Frd
109,109,30.705,175.867,26,21,Frd
110,110,30.893,174.797,26,21,Frd
111,111,30.743,175.650,26,21,Frd
112,112,55.497,97.303,26,21,Frd
113,113,91.209,59.205,26,21,Frd
114,114,93.298,57.879,23,21,Frd
115,115,99.526,54.257,20,21,Frd
116,116,102.344,52.763,20,21,Frd
117,117,77.732,69.469,21,21,Frd
118,118,32.406,166.636,18,21,Frd
119,119,30.46,177.282,17,21,Frd
120,120,31.238,172.866,22,21,Frd
121,121,30.835,175.126,24,21,Frd
122,122,31.354,172.227,27,21,Frd
123,123,31.291,172.574,29,21,Frd
124,124,31.077,173.762,29,21,Frd
125,125,31.307,172.485,29,21,Frd
126,126,31.029,174.031,29,21,Frd
127,127,31.143,173.394,29,21,Frd
128,128,31.08,173.745,30,21,Frd
129,129,31.1,173.633,30,21,Frd
130,130,31.062,173.846,30,21,Frd
131,131,31.256,172.767,30,21,Frd
132,132,31.404,171.953,31,21,Frd
133,133,31.353,172.232,31,21,Frd
134,134,31.385,172.057,31,21,Frd
135,135,31.179,173.193,31,21,Frd
136,136,31.153,173.338,31,21,Frd
137,137,31.447,171.717,31,21,Frd
138,138,31.472,171.581,31,21,Frd
