,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,38,66,Frd
1,1,32.358,166.883,39,66,Frd
2,2,31.079,173.751,39,66,Frd
3,3,31.139,173.416,39,66,Frd
4,4,31.005,174.165,39,66,Frd
5,5,31.236,172.877,39,66,Frd
6,6,31.726,170.207,39,66,Frd
7,7,31.824,169.683,40,66,Frd
8,8,31.973,168.893,40,66,Frd
9,9,31.711,170.288,40,66,Frd
10,10,31.769,169.977,40,66,Frd
11,11,31.852,169.534,40,66,Frd
12,12,31.796,169.833,40,66,Frd
13,13,31.829,169.657,40,66,Frd
14,14,31.998,168.761,40,66,Frd
15,15,32.124,168.099,40,66,Frd
16,16,31.965,168.935,40,66,Frd
17,17,32.201,167.697,40,66,Frd
18,18,32.057,168.450,40,66,Frd
19,19,32.012,168.687,40,66,Frd
20,20,32.142,168.004,40,66,Frd
21,21,32.303,167.167,40,66,Frd
22,22,32.24,167.494,40,66,Frd
23,23,32.643,165.426,40,66,Frd
24,24,33.417,161.594,40,66,Frd
25,25,33.288,162.221,40,66,Frd
26,26,32.974,163.765,39,66,Frd
27,27,32.878,164.244,39,66,Frd
28,28,33.441,161.478,39,66,Frd
29,29,33.119,163.048,39,66,Frd
30,30,33.682,160.323,39,66,Frd
31,31,33.261,162.352,39,66,Frd
32,32,32.736,164.956,39,66,Frd
33,33,33.04,163.438,39,66,Frd
34,34,33.531,161.045,39,66,Frd
35,35,33.521,161.093,39,66,Frd
36,36,33.322,162.055,39,66,Frd
37,37,33.402,161.667,39,66,Frd
38,38,32.928,163.994,39,66,Frd
39,39,33.186,162.719,38,66,Frd
40,40,33.166,162.817,38,66,Frd
41,41,46.074,117.203,38,66,Frd
42,42,90.467,59.690,38,66,Frd
43,43,96.847,55.758,38,66,Frd
44,44,99.505,54.269,39,66,Frd
45,45,122.901,43.938,39,66,Frd
46,46,117.781,45.848,39,66,Frd
47,47,65.716,82.172,39,66,Frd
48,48,224.473,24.056,40,66,Frd
49,49,32.248,167.452,40,66,Frd
50,50,32.021,168.639,40,66,Frd
51,51,32.003,168.734,40,66,Frd
52,52,31.968,168.919,40,66,Frd
53,53,31.918,169.184,40,66,Frd
54,54,32.018,168.655,40,66,Frd
55,55,32.162,167.900,40,66,Frd
56,56,32.141,168.010,40,66,Frd
57,57,32.786,164.704,40,66,Frd
58,58,33.385,161.749,40,66,Frd
59,59,33.079,163.246,40,66,Frd
60,60,33.34,161.968,40,66,Frd
61,61,33.513,161.132,40,66,Frd
62,62,33.763,159.938,40,66,Frd
63,63,33.526,161.069,40,66,Frd
64,64,33.41,161.628,40,66,Frd
65,65,33.366,161.841,40,66,Frd
66,66,33.299,162.167,40,66,Frd
67,67,33.363,161.856,40,66,Frd
68,68,33.688,160.294,40,66,Frd
69,69,33.86,159.480,40,66,Frd
70,70,34.175,158.010,40,66,Frd
71,71,33.893,159.325,40,66,Frd
72,72,33.873,159.419,40,66,Frd
73,73,34.015,158.753,40,66,Frd
74,74,33.823,159.655,40,66,Frd
75,75,34.122,158.256,40,66,Frd
76,76,34.153,158.112,40,66,Frd
77,77,33.907,159.259,40,66,Frd
78,78,33.908,159.254,40,66,Frd
79,79,33.909,159.250,40,66,Frd
80,80,34.299,157.439,40,66,Frd
81,81,33.836,159.593,40,66,Frd
82,82,34.49,156.567,40,66,Frd
83,83,34.041,158.632,40,66,Frd
84,84,34.279,157.531,40,66,Frd
85,85,34.155,158.103,40,66,Frd
86,86,33.999,158.828,40,66,Frd
87,87,33.754,159.981,40,66,Frd
88,88,33.733,160.081,40,66,Frd
89,89,33.671,160.375,40,66,Frd
90,90,35.522,152.018,40,66,Frd
91,91,51.271,105.323,40,66,Frd
92,92,65.408,82.559,40,66,Frd
93,93,99.297,54.382,40,66,Frd
94,94,98.42,54.867,40,66,Frd
95,95,94.201,57.324,40,66,Frd
96,96,77.422,69.748,40,66,Frd
97,97,96.476,55.972,40,66,Frd
98,98,123.684,43.660,40,66,Frd
99,99,119.57,45.162,40,66,Frd
100,100,47.386,113.958,40,66,Frd
101,101,32.995,163.661,40,66,Frd
102,102,31.116,173.544,40,66,Frd
103,103,31.006,174.160,40,66,Frd
104,104,36.45,148.148,40,66,Frd
105,105,53.986,100.026,40,66,Frd
106,106,92.187,58.577,40,66,Frd
107,107,88.375,61.103,40,66,Frd
108,108,97.23,55.538,40,66,Frd
109,109,107.142,50.400,40,66,Frd
110,110,74.6,72.386,40,66,Frd
111,111,32.928,163.994,40,66,Frd
112,112,31.184,173.166,39,66,Frd
113,113,31.24,172.855,39,66,Frd
114,114,31.18,173.188,39,66,Frd
115,115,31.383,172.068,39,66,Frd
116,116,31.637,170.686,39,66,Frd
117,117,31.48,171.537,39,66,Frd
118,118,31.52,171.320,39,66,Frd
119,119,31.459,171.652,39,66,Frd
120,120,31.553,171.141,39,66,Frd
121,121,31.768,169.982,39,66,Frd
122,122,31.979,168.861,39,66,Frd
123,123,32.096,168.245,39,66,Frd
124,124,32.081,168.324,39,66,Frd
125,125,32.169,167.863,39,66,Frd
126,126,32.178,167.817,39,66,Frd
127,127,32.272,167.328,39,66,Frd
128,128,32.415,166.590,39,66,Frd
129,129,32.47,166.307,39,66,Frd
130,130,32.682,165.229,39,66,Frd
131,131,32.771,164.780,39,66,Frd
132,132,32.997,163.651,39,66,Frd
133,133,32.947,163.900,39,66,Frd
134,134,32.888,164.194,39,66,Frd
135,135,33.047,163.404,39,66,Frd
136,136,32.712,165.077,39,66,Frd
137,137,32.934,163.964,39,66,Frd
138,138,33.306,162.133,39,66,Frd
139,139,33.261,162.352,39,66,Frd
140,140,33.42,161.580,39,66,Frd
141,141,33.419,161.585,39,66,Frd
142,142,33.164,162.827,39,66,Frd
143,143,32.927,163.999,39,66,Frd
144,144,32.922,164.024,39,66,Frd
145,145,33.0,163.636,39,66,Frd
146,146,32.894,164.164,39,66,Frd
147,147,33.069,163.295,39,66,Frd
148,148,32.836,164.454,39,66,Frd
149,149,33.43,161.532,39,66,Frd
150,150,33.197,162.665,39,66,Frd
151,151,33.0,163.636,39,66,Frd
152,152,32.924,164.014,39,66,Frd
153,153,33.291,162.206,39,66,Frd
154,154,33.188,162.709,39,66,Frd
155,155,32.904,164.114,39,66,Frd
156,156,32.908,164.094,39,66,Frd
157,157,33.16,162.847,39,66,Frd
158,158,33.226,162.523,39,66,Frd
159,159,32.842,164.424,39,66,Frd
160,160,33.257,162.372,39,66,Frd
161,161,33.015,163.562,39,66,Frd
162,162,33.545,160.978,39,66,Frd
163,163,33.222,162.543,39,66,Frd
164,164,33.178,162.758,39,66,Frd
165,165,33.55,160.954,39,66,Frd
166,166,46.173,116.951,39,66,Frd
167,167,68.455,78.884,39,66,Frd
168,168,33.451,161.430,39,66,Frd
169,169,32.721,165.032,39,66,Frd
170,170,32.356,166.893,39,66,Frd
171,171,32.463,166.343,39,66,Frd
172,172,32.272,167.328,39,66,Frd
173,173,32.617,165.558,39,66,Frd
174,174,32.796,164.654,39,66,Frd
175,175,32.48,166.256,39,66,Frd
176,176,32.437,166.477,39,66,Frd
177,177,32.647,165.406,39,66,Frd
178,178,32.182,167.796,39,66,Frd
179,179,32.498,166.164,39,66,Frd
180,180,32.874,164.264,39,66,Frd
181,181,32.395,166.692,39,66,Frd
182,182,32.618,165.553,39,66,Frd
183,183,32.325,167.053,39,66,Frd
184,184,32.463,166.343,39,66,Frd
185,185,32.266,167.359,39,66,Frd
186,186,32.146,167.984,39,66,Frd
187,187,32.038,168.550,39,66,Frd
188,188,32.127,168.083,39,66,Frd
189,189,45.181,119.519,39,66,Frd
190,190,89.46,60.362,39,66,Frd
191,191,304.132,17.755,39,66,Frd
192,192,145.664,37.072,39,66,Frd
193,193,95.571,56.502,39,66,Frd
194,194,97.968,55.120,39,66,Frd
195,195,139.414,38.734,39,66,Frd
196,196,53.273,101.365,39,66,Frd
197,197,33.071,163.285,39,66,Frd
198,198,31.114,173.555,39,66,Frd
199,199,31.15,173.355,39,66,Frd
200,200,31.294,172.557,39,66,Frd
201,201,31.115,173.550,39,66,Frd
202,202,31.354,172.227,39,66,Frd
203,203,31.432,171.799,39,66,Frd
204,204,31.507,171.390,39,66,Frd
205,205,31.519,171.325,39,66,Frd
206,206,31.532,171.255,39,66,Frd
207,207,31.663,170.546,39,66,Frd
208,208,31.463,171.630,39,66,Frd
209,209,31.681,170.449,39,66,Frd
210,210,31.926,169.141,39,66,Frd
211,211,31.923,169.157,39,66,Frd
212,212,31.848,169.555,39,66,Frd
213,213,31.921,169.168,39,66,Frd
214,214,32.172,167.848,39,66,Frd
215,215,32.315,167.105,39,66,Frd
216,216,31.906,169.247,39,66,Frd
217,217,32.111,168.167,39,66,Frd
218,218,33.102,163.132,39,66,Frd
219,219,33.112,163.083,39,66,Frd
220,220,32.653,165.375,39,66,Frd
221,221,32.831,164.479,39,66,Frd
222,222,32.69,165.188,39,66,Frd
223,223,32.829,164.489,39,66,Frd
224,224,35.129,153.719,39,66,Frd
225,225,51.78,104.287,39,66,Frd
226,226,73.68,73.290,39,66,Frd
227,227,97.06,55.636,39,66,Frd
228,228,97.454,55.411,39,66,Frd
229,229,74.55,72.435,39,66,Frd
230,230,62.032,87.052,39,66,Frd
231,231,58.562,92.210,39,66,Frd
232,232,35.007,154.255,39,66,Frd
233,233,37.325,144.675,39,66,Frd
234,234,70.318,76.794,39,66,Frd
235,235,92.766,58.211,39,66,Frd
236,236,94.441,57.179,39,66,Frd
237,237,89.721,60.187,38,66,Frd
238,238,116.368,46.405,38,66,Frd
239,239,69.282,77.942,38,66,Frd
240,240,33.034,163.468,38,66,Frd
241,241,31.51,171.374,38,66,Frd
242,242,31.303,172.507,38,66,Frd
243,243,31.156,173.321,38,66,Frd
244,244,31.145,173.383,38,66,Frd
245,245,31.546,171.179,38,66,Frd
246,246,31.305,172.496,35,66,Frd
247,247,31.519,171.325,35,66,Frd
248,248,31.895,169.306,35,66,Frd
249,249,31.765,169.998,35,66,Frd
250,250,32.047,168.503,35,66,Frd
251,251,31.77,169.972,35,66,Frd
252,252,31.946,169.035,35,66,Frd
253,253,32.019,168.650,35,66,Frd
254,254,32.138,168.025,35,66,Frd
255,255,31.829,169.657,35,66,Frd
256,256,32.163,167.895,35,66,Frd
257,257,31.898,169.290,35,66,Frd
258,258,31.902,169.268,35,66,Frd
259,259,32.127,168.083,35,66,Frd
260,260,32.2,167.702,35,66,Frd
261,261,32.686,165.208,35,66,Frd
262,262,32.794,164.664,35,66,Frd
263,263,32.429,166.518,35,66,Frd
264,264,32.614,165.573,35,66,Frd
265,265,32.665,165.315,35,66,Frd
266,266,32.386,166.739,35,66,Frd
267,267,32.599,165.649,35,66,Frd
268,268,33.038,163.448,35,66,Frd
