,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,15,71,Chv
1,1,32.151,167.957,13,71,Chv
2,2,30.084,179.497,13,71,Chv
3,3,30.223,178.672,12,71,Chv
4,4,30.465,177.253,12,71,Chv
5,5,30.455,177.311,12,71,Chv
6,6,30.619,176.361,11,71,Chv
7,7,30.937,174.548,13,71,Chv
8,8,30.9,174.757,12,71,Chv
9,9,30.658,176.137,12,71,Chv
10,10,30.813,175.251,12,71,Chv
11,11,31.124,173.500,12,71,Chv
12,12,30.935,174.560,12,71,Chv
13,13,30.881,174.865,12,71,Chv
14,14,31.167,173.260,12,71,Chv
15,15,31.127,173.483,12,71,Chv
16,16,31.278,172.645,12,71,Chv
17,17,30.952,174.464,12,71,Chv
18,18,30.948,174.486,12,71,Chv
19,19,31.054,173.891,12,71,Chv
20,20,30.912,174.689,12,71,Chv
21,21,31.386,172.051,12,71,Chv
22,22,31.172,173.232,12,71,Chv
23,23,31.257,172.761,12,71,Chv
24,24,31.254,172.778,12,71,Chv
25,25,30.937,174.548,12,71,Chv
26,26,31.123,173.505,12,71,Chv
27,27,31.072,173.790,12,71,Chv
28,28,31.605,170.859,12,71,Chv
29,29,31.385,172.057,12,71,Chv
30,30,31.21,173.021,12,71,Chv
31,31,31.224,172.944,12,71,Chv
32,32,31.264,172.723,12,71,Chv
33,33,31.272,172.678,12,71,Chv
34,34,31.448,171.712,12,71,Chv
35,35,31.385,172.057,12,71,Chv
36,36,31.464,171.625,12,71,Chv
37,37,31.48,171.537,12,71,Chv
38,38,31.574,171.027,12,71,Chv
39,39,31.408,171.931,12,71,Chv
40,40,31.48,171.537,12,71,Chv
41,41,31.389,172.035,12,71,Chv
42,42,33.875,159.410,11,71,Chv
43,43,48.361,111.660,11,71,Chv
44,44,85.383,63.244,11,71,Chv
45,45,107.11,50.415,20,71,Chv
46,46,93.66,57.655,12,71,Chv
47,47,95.665,56.447,11,71,Chv
48,48,99.435,54.307,11,71,Chv
49,49,91.529,58.998,11,71,Chv
50,50,97.304,55.496,12,71,Chv
51,51,91.138,59.251,11,71,Chv
52,52,31.956,168.982,10,71,Chv
53,53,30.247,178.530,8,71,Chv
54,54,29.913,180.524,8,71,Chv
55,55,30.327,178.059,8,71,Chv
56,56,30.463,177.264,8,71,Chv
57,57,30.84,175.097,9,71,Chv
58,58,30.731,175.718,10,71,Chv
59,59,30.637,176.257,10,71,Chv
60,60,30.796,175.347,10,71,Chv
61,61,30.833,175.137,10,71,Chv
62,62,30.542,176.806,10,71,Chv
63,63,30.75,175.610,10,71,Chv
64,64,30.903,174.740,10,71,Chv
65,65,30.819,175.217,10,71,Chv
66,66,31.14,173.410,10,71,Chv
67,67,30.8,175.325,10,71,Chv
68,68,30.908,174.712,10,71,Chv
69,69,31.055,173.885,10,71,Chv
