,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,11,47,Chv
1,1,32.5,166.154,15,47,Chv
2,2,30.318,178.112,15,47,Chv
3,3,30.394,177.667,15,47,Chv
4,4,30.656,176.148,15,47,Chv
5,5,30.542,176.806,14,47,Chv
6,6,30.621,176.350,14,47,Chv
7,7,30.745,175.638,14,47,Chv
8,8,30.932,174.576,15,47,Chv
9,9,30.91,174.701,15,47,Chv
10,10,30.966,174.385,15,47,Chv
11,11,30.95,174.475,15,47,Chv
12,12,30.942,174.520,15,47,Chv
13,13,31.138,173.422,15,47,Chv
14,14,31.167,173.260,15,47,Chv
15,15,31.28,172.634,15,47,Chv
16,16,31.072,173.790,15,47,Chv
17,17,31.054,173.891,15,47,Chv
18,18,31.781,169.913,16,47,Chv
19,19,31.265,172.717,16,47,Chv
20,20,31.234,172.889,16,47,Chv
21,21,31.436,171.778,16,47,Chv
22,22,31.325,172.386,16,47,Chv
23,23,31.199,173.082,16,47,Chv
24,24,31.167,173.260,16,47,Chv
25,25,31.153,173.338,16,47,Chv
26,26,31.164,173.277,16,47,Chv
27,27,31.194,173.110,16,47,Chv
28,28,31.217,172.983,16,47,Chv
29,29,31.19,173.132,16,47,Chv
30,30,31.316,172.436,16,47,Chv
31,31,31.602,170.875,16,47,Chv
32,32,31.402,171.964,16,47,Chv
33,33,31.367,172.155,16,47,Chv
34,34,31.468,171.603,16,47,Chv
35,35,31.389,172.035,16,47,Chv
36,36,31.433,171.794,16,47,Chv
37,37,31.37,172.139,16,47,Chv
38,38,31.322,172.403,16,47,Chv
39,39,31.321,172.408,16,47,Chv
40,40,31.521,171.314,16,47,Chv
41,41,31.484,171.516,16,47,Chv
42,42,34.711,155.570,15,47,Chv
43,43,48.528,111.276,15,47,Chv
44,44,85.56,63.114,15,47,Chv
45,45,90.824,59.456,7,47,Chv
46,46,108.907,49.584,16,47,Chv
47,47,96.598,55.902,15,47,Chv
48,48,99.832,54.091,15,47,Chv
49,49,89.097,60.608,16,47,Chv
50,50,96.631,55.883,16,47,Chv
51,51,90.252,59.832,15,47,Chv
52,52,32.17,167.858,15,47,Chv
53,53,30.211,178.743,14,47,Chv
54,54,30.316,178.124,13,47,Chv
