,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,28,60,Frd
1,1,32.471,166.302,28,60,Frd
2,2,30.795,175.353,27,60,Frd
3,3,30.559,176.707,27,60,Frd
4,4,30.823,175.194,26,60,Frd
5,5,30.827,175.171,25,60,Frd
6,6,30.886,174.836,25,60,Frd
7,7,31.055,173.885,26,60,Frd
8,8,30.794,175.359,25,60,Frd
9,9,30.895,174.786,25,60,Frd
10,10,30.997,174.210,23,60,Frd
11,11,31.113,173.561,23,60,Frd
12,12,30.912,174.689,23,60,Frd
13,13,31.114,173.555,22,60,Frd
14,14,30.967,174.379,22,60,Frd
15,15,31.02,174.081,22,60,Frd
16,16,30.9,174.757,22,60,Frd
17,17,31.219,172.972,22,60,Frd
18,18,31.177,173.205,22,60,Frd
19,19,31.38,172.084,21,60,Frd
20,20,31.279,172.640,20,60,Frd
21,21,31.24,172.855,20,60,Frd
22,22,30.987,174.267,20,60,Frd
23,23,31.111,173.572,20,60,Frd
24,24,31.251,172.794,19,60,Frd
25,25,31.108,173.589,19,60,Frd
26,26,31.318,172.425,19,60,Frd
27,27,31.345,172.276,19,60,Frd
28,28,31.038,173.980,19,60,Frd
29,29,31.252,172.789,18,60,Frd
30,30,31.405,171.947,18,60,Frd
31,31,31.431,171.805,18,60,Frd
32,32,31.388,172.040,18,60,Frd
33,33,31.263,172.728,18,60,Frd
34,34,31.305,172.496,18,60,Frd
35,35,31.293,172.563,18,60,Frd
36,36,31.281,172.629,18,60,Frd
37,37,31.248,172.811,18,60,Frd
38,38,31.331,172.353,18,60,Frd
39,39,31.339,172.309,18,60,Frd
40,40,31.391,172.024,18,60,Frd
41,41,31.492,171.472,18,60,Frd
42,42,35.826,150.729,17,60,Frd
43,43,49.165,109.834,17,60,Frd
44,44,85.156,63.413,17,60,Frd
45,45,89.906,60.063,8,60,Frd
46,46,115.194,46.877,27,60,Frd
47,47,96.668,55.861,24,60,Frd
48,48,104.646,51.603,25,60,Frd
49,49,79.908,67.578,24,60,Frd
50,50,96.156,56.159,24,60,Frd
51,51,88.501,61.016,23,60,Frd
52,52,32.353,166.909,25,60,Frd
53,53,30.679,176.016,25,60,Frd
54,54,30.735,175.695,24,60,Frd
55,55,30.743,175.650,24,60,Frd
56,56,30.558,176.713,24,60,Frd
57,57,30.663,176.108,23,60,Frd
58,58,30.801,175.319,23,60,Frd
59,59,30.73,175.724,22,60,Frd
60,60,30.907,174.718,21,60,Frd
61,61,31.067,173.818,21,60,Frd
62,62,31.091,173.684,21,60,Frd
63,63,30.988,174.261,21,60,Frd
64,64,30.665,176.097,20,60,Frd
65,65,30.796,175.347,20,60,Frd
66,66,31.118,173.533,20,60,Frd
67,67,31.078,173.756,20,60,Frd
68,68,31.054,173.891,19,60,Frd
69,69,30.882,174.859,19,60,Frd
70,70,31.158,173.310,19,60,Frd
71,71,31.285,172.607,20,60,Frd
72,72,31.507,171.390,20,60,Frd
73,73,30.933,174.571,19,60,Frd
74,74,30.878,174.882,19,60,Frd
75,75,31.042,173.958,19,60,Frd
76,76,31.196,173.099,19,60,Frd
77,77,31.034,174.003,19,60,Frd
78,78,31.259,172.750,18,60,Frd
79,79,31.215,172.994,18,60,Frd
80,80,31.392,172.018,18,60,Frd
81,81,31.312,172.458,18,60,Frd
82,82,31.32,172.414,18,60,Frd
83,83,31.196,173.099,18,60,Frd
84,84,31.434,171.789,17,60,Frd
85,85,31.313,172.452,17,60,Frd
86,86,31.323,172.397,17,60,Frd
87,87,31.363,172.177,17,60,Frd
88,88,31.144,173.388,17,60,Frd
89,89,31.17,173.244,16,60,Frd
90,90,31.238,172.866,16,60,Frd
91,91,31.398,171.985,16,60,Frd
92,92,31.282,172.623,16,60,Frd
93,93,31.272,172.678,16,60,Frd
94,94,31.267,172.706,15,60,Frd
95,95,31.53,171.265,15,60,Frd
96,96,31.554,171.135,15,60,Frd
97,97,31.443,171.739,14,60,Frd
98,98,45.59,118.447,14,60,Frd
99,99,75.279,71.733,14,60,Frd
100,100,98.424,54.865,14,60,Frd
101,101,97.622,55.315,14,60,Frd
102,102,96.968,55.688,14,60,Frd
103,103,92.631,58.296,9,60,Frd
104,104,112.732,47.901,27,60,Frd
105,105,96.845,55.759,28,60,Frd
106,106,108.151,49.930,27,60,Frd
107,107,65.477,82.472,28,60,Frd
108,108,31.983,168.840,24,60,Frd
109,109,30.548,176.771,22,60,Frd
110,110,30.432,177.445,20,60,Frd
111,111,30.737,175.684,20,60,Frd
112,112,52.095,103.657,20,60,Frd
113,113,91.364,59.104,20,60,Frd
114,114,95.297,56.665,18,60,Frd
115,115,106.077,50.906,26,60,Frd
116,116,105.65,51.112,25,60,Frd
117,117,70.069,77.067,24,60,Frd
118,118,32.556,165.868,24,60,Frd
119,119,30.789,175.387,22,60,Frd
120,120,30.629,176.304,23,60,Frd
121,121,30.512,176.980,21,60,Frd
122,122,30.869,174.933,21,60,Frd
123,123,30.907,174.718,22,60,Frd
124,124,30.87,174.927,20,60,Frd
125,125,30.733,175.707,19,60,Frd
126,126,30.678,176.022,18,60,Frd
127,127,30.746,175.633,18,60,Frd
128,128,30.589,176.534,18,60,Frd
129,129,30.541,176.811,18,60,Frd
130,130,30.526,176.898,18,60,Frd
131,131,30.82,175.211,18,60,Frd
132,132,30.735,175.695,17,60,Frd
133,133,30.765,175.524,17,60,Frd
134,134,30.689,175.959,16,60,Frd
135,135,30.879,174.876,15,60,Frd
136,136,30.723,175.764,15,60,Frd
137,137,30.868,174.938,14,60,Frd
138,138,30.839,175.103,14,60,Frd
139,139,30.884,174.848,14,60,Frd
140,140,30.983,174.289,14,60,Frd
141,141,31.011,174.132,14,60,Frd
142,142,31.224,172.944,13,60,Frd
143,143,31.075,173.773,13,60,Frd
144,144,30.963,174.402,13,60,Frd
145,145,31.023,174.064,13,60,Frd
146,146,31.081,173.740,13,60,Frd
147,147,31.068,173.812,13,60,Frd
148,148,31.097,173.650,12,60,Frd
149,149,31.065,173.829,11,60,Frd
150,150,30.969,174.368,11,60,Frd
151,151,31.211,173.016,9,60,Frd
152,152,31.333,172.342,6,60,Frd
153,153,31.153,173.338,5,60,Frd
154,154,31.336,172.326,3,60,Frd
155,155,31.355,172.221,3,60,Frd
156,156,31.368,172.150,2,60,Frd
157,157,31.35,172.249,2,60,Frd
158,158,31.584,170.973,2,60,Frd
159,159,43.571,123.936,2,60,Frd
160,160,56.423,95.706,21,60,Frd
161,161,30.166,179.009,18,60,Frd
162,162,30.32,178.100,17,60,Frd
163,163,30.45,177.340,17,60,Frd
164,164,30.318,178.112,16,60,Frd
165,165,30.307,178.177,16,60,Frd
166,166,30.316,178.124,16,60,Frd
167,167,30.303,178.200,16,60,Frd
168,168,30.985,174.278,16,60,Frd
169,169,30.461,177.276,16,60,Frd
170,170,30.605,176.442,15,60,Frd
171,171,30.623,176.338,15,60,Frd
172,172,30.773,175.479,15,60,Frd
173,173,30.756,175.575,15,60,Frd
174,174,31.264,172.723,15,60,Frd
175,175,31.265,172.717,15,60,Frd
176,176,30.801,175.319,15,60,Frd
177,177,31.022,174.070,15,60,Frd
178,178,30.876,174.893,15,60,Frd
179,179,30.935,174.560,15,60,Frd
180,180,31.071,173.796,15,60,Frd
181,181,30.987,174.267,14,60,Frd
182,182,30.991,174.244,14,60,Frd
183,183,31.054,173.891,14,60,Frd
184,184,31.145,173.383,13,60,Frd
185,185,31.194,173.110,12,60,Frd
186,186,31.205,173.049,12,60,Frd
187,187,31.379,172.090,12,60,Frd
188,188,31.279,172.640,12,60,Frd
189,189,31.07,173.801,12,60,Frd
190,190,31.158,173.310,12,60,Frd
191,191,31.224,172.944,12,60,Frd
192,192,31.3,172.524,12,60,Frd
193,193,31.606,170.854,12,60,Frd
194,194,31.612,170.821,12,60,Frd
195,195,31.341,172.298,12,60,Frd
196,196,31.474,171.570,12,60,Frd
197,197,31.31,172.469,12,60,Frd
198,198,31.573,171.032,12,60,Frd
199,199,31.761,170.020,11,60,Frd
200,200,31.358,172.205,11,60,Frd
201,201,48.231,111.961,11,60,Frd
202,202,82.549,65.416,11,60,Frd
203,203,323.291,16.703,11,60,Frd
204,204,129.367,41.742,11,60,Frd
205,205,86.278,62.588,7,60,Frd
206,206,101.808,53.041,12,60,Frd
207,207,97.836,55.194,12,60,Frd
208,208,84.463,63.933,12,60,Frd
209,209,32.651,165.385,14,60,Frd
