,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,19,10,Chv
1,1,32.247,167.457,20,10,Chv
2,2,30.736,175.690,21,10,Chv
3,3,30.7,175.896,22,10,Chv
4,4,30.568,176.655,22,10,Chv
5,5,31.001,174.188,22,10,Chv
6,6,30.778,175.450,21,10,Chv
7,7,30.705,175.867,21,10,Chv
8,8,31.061,173.851,21,10,Chv
9,9,30.926,174.610,21,10,Chv
10,10,30.975,174.334,21,10,Chv
11,11,31.191,173.127,21,10,Chv
12,12,31.362,172.183,22,10,Chv
13,13,31.646,170.638,23,10,Chv
14,14,31.186,173.155,23,10,Chv
15,15,31.251,172.794,24,10,Chv
16,16,31.521,171.314,24,10,Chv
17,17,31.435,171.783,24,10,Chv
18,18,31.271,172.684,24,10,Chv
19,19,31.621,170.773,25,10,Chv
20,20,31.64,170.670,25,10,Chv
21,21,31.57,171.048,26,10,Chv
22,22,31.661,170.557,27,10,Chv
23,23,31.492,171.472,27,10,Chv
24,24,31.537,171.227,27,10,Chv
25,25,31.5,171.429,27,10,Chv
26,26,31.579,171.000,27,10,Chv
27,27,31.619,170.783,27,10,Chv
28,28,31.521,171.314,27,10,Chv
29,29,31.357,172.210,27,10,Chv
30,30,31.469,171.597,27,10,Chv
31,31,31.534,171.244,27,10,Chv
32,32,31.495,171.456,27,10,Chv
33,33,31.749,170.084,27,10,Chv
34,34,31.808,169.769,26,10,Chv
35,35,31.642,170.659,26,10,Chv
36,36,31.551,171.151,26,10,Chv
37,37,31.535,171.238,26,10,Chv
38,38,31.5,171.429,26,10,Chv
39,39,31.439,171.761,26,10,Chv
40,40,31.461,171.641,25,10,Chv
41,41,31.529,171.271,24,10,Chv
42,42,37.751,143.043,24,10,Chv
43,43,49.426,109.254,24,10,Chv
44,44,81.96,65.886,24,10,Chv
45,45,85.481,63.172,13,10,Chv
46,46,112.743,47.897,28,10,Chv
47,47,102.512,52.677,32,10,Chv
48,48,106.869,50.529,32,10,Chv
49,49,74.713,72.277,31,10,Chv
50,50,96.084,56.201,31,10,Chv
51,51,86.225,62.627,31,10,Chv
52,52,31.999,168.755,28,10,Chv
53,53,30.786,175.404,28,10,Chv
54,54,30.86,174.984,28,10,Chv
55,55,30.803,175.308,27,10,Chv
56,56,30.476,177.189,26,10,Chv
57,57,30.553,176.742,25,10,Chv
58,58,30.858,174.995,25,10,Chv
59,59,30.785,175.410,25,10,Chv
60,60,31.02,174.081,26,10,Chv
61,61,31.115,173.550,26,10,Chv
62,62,31.309,172.474,26,10,Chv
63,63,31.622,170.767,26,10,Chv
64,64,31.441,171.750,26,10,Chv
65,65,31.142,173.399,27,10,Chv
66,66,31.405,171.947,27,10,Chv
67,67,31.175,173.216,27,10,Chv
68,68,31.238,172.866,27,10,Chv
69,69,31.358,172.205,27,10,Chv
70,70,31.071,173.796,27,10,Chv
71,71,31.008,174.149,27,10,Chv
72,72,31.59,170.940,27,10,Chv
73,73,31.122,173.511,26,10,Chv
74,74,31.133,173.449,26,10,Chv
75,75,31.303,172.507,26,10,Chv
76,76,31.268,172.701,26,10,Chv
77,77,31.237,172.872,26,10,Chv
78,78,31.285,172.607,26,10,Chv
79,79,31.185,173.160,26,10,Chv
80,80,31.287,172.596,26,10,Chv
81,81,31.484,171.516,26,10,Chv
82,82,31.352,172.238,26,10,Chv
83,83,31.325,172.386,26,10,Chv
84,84,31.333,172.342,25,10,Chv
85,85,31.392,172.018,25,10,Chv
86,86,31.428,171.821,25,10,Chv
87,87,31.579,171.000,24,10,Chv
88,88,31.489,171.488,24,10,Chv
89,89,31.328,172.370,24,10,Chv
90,90,31.407,171.936,24,10,Chv
91,91,31.427,171.827,24,10,Chv
92,92,31.445,171.728,24,10,Chv
93,93,31.57,171.048,23,10,Chv
94,94,31.712,170.283,23,10,Chv
95,95,31.554,171.135,23,10,Chv
96,96,31.35,172.249,23,10,Chv
97,97,32.924,164.014,23,10,Chv
98,98,48.541,111.246,22,10,Chv
99,99,70.273,76.843,22,10,Chv
100,100,98.595,54.770,22,10,Chv
101,101,100.074,53.960,22,10,Chv
102,102,93.776,57.584,22,10,Chv
103,103,89.371,60.422,12,10,Chv
104,104,115.168,46.888,31,10,Chv
105,105,99.627,54.202,36,10,Chv
106,106,110.512,48.863,34,10,Chv
107,107,56.742,95.168,35,10,Chv
108,108,31.842,169.587,34,10,Chv
109,109,30.953,174.458,33,10,Chv
110,110,30.804,175.302,33,10,Chv
111,111,30.732,175.713,31,10,Chv
112,112,57.068,94.624,31,10,Chv
113,113,91.731,58.868,31,10,Chv
114,114,92.073,58.649,26,10,Chv
115,115,105.658,51.108,32,10,Chv
116,116,109.074,49.508,31,10,Chv
117,117,64.054,84.304,30,10,Chv
118,118,32.49,166.205,30,10,Chv
119,119,31.307,172.485,32,10,Chv
120,120,30.909,174.706,33,10,Chv
