,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,7,54,Tyt
1,1,32.386,166.739,9,54,Tyt
2,2,30.098,179.414,11,54,Tyt
3,3,30.276,178.359,11,54,Tyt
4,4,30.488,177.119,11,54,Tyt
5,5,30.469,177.229,10,54,Tyt
6,6,30.718,175.793,10,54,Tyt
7,7,30.375,177.778,10,54,Tyt
8,8,30.742,175.655,10,54,Tyt
9,9,30.499,177.055,9,54,Tyt
10,10,30.745,175.638,9,54,Tyt
11,11,31.073,173.784,9,54,Tyt
12,12,30.968,174.374,9,54,Tyt
13,13,31.162,173.288,9,54,Tyt
14,14,31.07,173.801,9,54,Tyt
15,15,31.021,174.076,9,54,Tyt
16,16,30.897,174.774,9,54,Tyt
17,17,31.001,174.188,9,54,Tyt
18,18,31.197,173.094,9,54,Tyt
19,19,31.009,174.143,9,54,Tyt
20,20,31.077,173.762,9,54,Tyt
21,21,31.015,174.109,9,54,Tyt
22,22,31.122,173.511,9,54,Tyt
23,23,30.951,174.469,9,54,Tyt
24,24,31.014,174.115,9,54,Tyt
25,25,31.105,173.606,9,54,Tyt
26,26,31.151,173.349,9,54,Tyt
27,27,31.304,172.502,9,54,Tyt
28,28,31.216,172.988,9,54,Tyt
29,29,31.235,172.883,9,54,Tyt
30,30,31.227,172.927,9,54,Tyt
31,31,31.146,173.377,9,54,Tyt
32,32,31.21,173.021,9,54,Tyt
33,33,31.176,173.210,9,54,Tyt
34,34,31.192,173.121,9,54,Tyt
35,35,31.253,172.783,9,54,Tyt
36,36,31.359,172.199,9,54,Tyt
37,37,31.443,171.739,9,54,Tyt
38,38,31.399,171.980,9,54,Tyt
39,39,31.435,171.783,9,54,Tyt
40,40,31.302,172.513,9,54,Tyt
41,41,31.364,172.172,9,54,Tyt
42,42,32.89,164.184,8,54,Tyt
43,43,48.509,111.320,8,54,Tyt
44,44,85.992,62.797,8,54,Tyt
45,45,95.975,56.265,3,54,Tyt
46,46,103.949,51.949,8,54,Tyt
47,47,98.505,54.820,9,54,Tyt
48,48,98.442,54.855,9,54,Tyt
49,49,93.021,58.051,9,54,Tyt
50,50,97.535,55.365,10,54,Tyt
51,51,91.666,58.910,10,54,Tyt
52,52,32.044,168.518,9,54,Tyt
53,53,30.343,177.965,10,54,Tyt
54,54,30.505,177.020,11,54,Tyt
55,55,30.791,175.376,12,54,Tyt
56,56,30.858,174.995,13,54,Tyt
57,57,30.636,176.263,14,54,Tyt
58,58,30.861,174.978,14,54,Tyt
59,59,30.954,174.452,15,54,Tyt
60,60,30.888,174.825,16,54,Tyt
61,61,31.208,173.033,17,54,Tyt
62,62,30.921,174.639,16,54,Tyt
63,63,30.969,174.368,16,54,Tyt
64,64,31.184,173.166,17,54,Tyt
65,65,31.206,173.044,17,54,Tyt
66,66,30.979,174.312,17,54,Tyt
67,67,31.211,173.016,17,54,Tyt
68,68,30.992,174.239,17,54,Tyt
69,69,31.227,172.927,18,54,Tyt
70,70,31.154,173.332,18,54,Tyt
71,71,31.175,173.216,18,54,Tyt
72,72,31.739,170.138,19,54,Tyt
73,73,31.505,171.401,20,54,Tyt
74,74,31.361,172.188,20,54,Tyt
75,75,31.145,173.383,20,54,Tyt
76,76,31.684,170.433,21,54,Tyt
77,77,31.364,172.172,21,54,Tyt
78,78,31.669,170.514,22,54,Tyt
79,79,31.705,170.320,22,54,Tyt
80,80,31.413,171.903,22,54,Tyt
81,81,31.357,172.210,22,54,Tyt
82,82,31.314,172.447,22,54,Tyt
83,83,31.207,173.038,22,54,Tyt
84,84,31.528,171.276,22,54,Tyt
85,85,31.24,172.855,22,54,Tyt
86,86,31.446,171.723,22,54,Tyt
87,87,31.366,172.161,22,54,Tyt
88,88,31.717,170.256,23,54,Tyt
89,89,31.763,170.009,23,54,Tyt
90,90,31.771,169.966,23,54,Tyt
91,91,31.55,171.157,23,54,Tyt
92,92,31.54,171.211,22,54,Tyt
93,93,31.636,170.692,22,54,Tyt
94,94,31.547,171.173,22,54,Tyt
95,95,31.511,171.369,22,54,Tyt
96,96,31.524,171.298,22,54,Tyt
97,97,32.979,163.741,22,54,Tyt
98,98,47.528,113.617,21,54,Tyt
