,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,23,38,Frd
1,1,32.363,166.857,25,38,Frd
2,2,30.436,177.421,22,38,Frd
3,3,30.419,177.521,21,38,Frd
4,4,30.552,176.748,20,38,Frd
5,5,30.843,175.080,20,38,Frd
6,6,30.869,174.933,20,38,Frd
7,7,30.652,176.171,20,38,Frd
8,8,30.954,174.452,20,38,Frd
9,9,30.884,174.848,20,38,Frd
10,10,31.004,174.171,20,38,Frd
11,11,31.225,172.938,20,38,Frd
12,12,31.302,172.513,20,38,Frd
13,13,31.254,172.778,20,38,Frd
14,14,31.06,173.857,20,38,Frd
15,15,31.009,174.143,20,38,Frd
16,16,30.932,174.576,20,38,Frd
17,17,31.226,172.933,20,38,Frd
18,18,31.214,172.999,19,38,Frd
19,19,31.14,173.410,19,38,Frd
20,20,31.164,173.277,19,38,Frd
21,21,31.16,173.299,19,38,Frd
22,22,31.219,172.972,18,38,Frd
23,23,31.211,173.016,18,38,Frd
24,24,31.201,173.071,18,38,Frd
25,25,31.345,172.276,18,38,Frd
26,26,31.331,172.353,18,38,Frd
27,27,31.143,173.394,18,38,Frd
28,28,31.403,171.958,18,38,Frd
29,29,31.641,170.665,19,38,Frd
30,30,31.427,171.827,19,38,Frd
31,31,31.632,170.713,19,38,Frd
32,32,31.424,171.843,19,38,Frd
33,33,31.392,172.018,19,38,Frd
34,34,31.44,171.756,19,38,Frd
35,35,31.414,171.898,19,38,Frd
36,36,31.319,172.419,19,38,Frd
37,37,31.264,172.723,19,38,Frd
38,38,31.481,171.532,19,38,Frd
39,39,31.368,172.150,19,38,Frd
40,40,31.383,172.068,19,38,Frd
41,41,31.434,171.789,19,38,Frd
42,42,35.619,151.604,18,38,Frd
43,43,49.937,108.136,18,38,Frd
44,44,84.429,63.959,18,38,Frd
45,45,104.666,51.593,25,38,Frd
46,46,95.01,56.836,20,38,Frd
47,47,97.359,55.465,19,38,Frd
48,48,101.557,53.172,19,38,Frd
49,49,85.248,63.345,20,38,Frd
50,50,96.62,55.889,20,38,Frd
51,51,89.244,60.508,19,38,Frd
52,52,31.871,169.433,14,38,Frd
53,53,30.405,177.602,15,38,Frd
54,54,30.507,177.009,16,38,Frd
55,55,30.545,176.788,15,38,Frd
56,56,30.731,175.718,15,38,Frd
57,57,30.838,175.109,15,38,Frd
58,58,30.673,176.051,16,38,Frd
59,59,30.568,176.655,14,38,Frd
60,60,30.66,176.125,14,38,Frd
61,61,30.685,175.982,14,38,Frd
62,62,30.787,175.399,14,38,Frd
63,63,30.732,175.713,14,38,Frd
64,64,30.761,175.547,14,38,Frd
65,65,30.923,174.627,13,38,Frd
66,66,30.829,175.160,13,38,Frd
67,67,30.956,174.441,13,38,Frd
68,68,31.06,173.857,13,38,Frd
69,69,31.079,173.751,13,38,Frd
70,70,30.928,174.599,13,38,Frd
71,71,30.964,174.396,13,38,Frd
72,72,31.085,173.717,13,38,Frd
73,73,31.196,173.099,13,38,Frd
74,74,31.143,173.394,13,38,Frd
75,75,31.186,173.155,13,38,Frd
76,76,31.146,173.377,13,38,Frd
77,77,31.504,171.407,13,38,Frd
78,78,31.409,171.925,13,38,Frd
79,79,31.161,173.294,13,38,Frd
80,80,31.11,173.578,13,38,Frd
81,81,31.082,173.734,13,38,Frd
82,82,31.176,173.210,13,38,Frd
83,83,31.499,171.434,13,38,Frd
84,84,31.158,173.310,13,38,Frd
85,85,31.471,171.587,13,38,Frd
86,86,31.441,171.750,13,38,Frd
87,87,31.655,170.589,14,38,Frd
88,88,31.628,170.735,14,38,Frd
89,89,31.471,171.587,14,38,Frd
90,90,31.449,171.707,14,38,Frd
91,91,31.466,171.614,14,38,Frd
92,92,31.416,171.887,14,38,Frd
93,93,31.583,170.978,14,38,Frd
94,94,31.526,171.287,14,38,Frd
95,95,31.401,171.969,14,38,Frd
96,96,31.508,171.385,14,38,Frd
97,97,31.598,170.897,13,38,Frd
98,98,45.088,119.766,13,38,Frd
99,99,75.766,71.272,13,38,Frd
100,100,98.375,54.892,13,38,Frd
101,101,97.602,55.327,13,38,Frd
102,102,96.883,55.737,13,38,Frd
103,103,106.739,50.591,24,38,Frd
104,104,88.479,61.031,13,38,Frd
105,105,96.451,55.987,13,38,Frd
106,106,100.907,53.515,13,38,Frd
107,107,83.239,64.873,14,38,Frd
108,108,32.007,168.713,13,38,Frd
109,109,30.7,175.896,14,38,Frd
110,110,30.585,176.557,14,38,Frd
111,111,30.489,177.113,15,38,Frd
112,112,49.1,109.980,15,38,Frd
113,113,91.347,59.115,15,38,Frd
114,114,105.562,51.155,27,38,Frd
115,115,97.057,55.637,23,38,Frd
116,116,103.674,52.086,22,38,Frd
117,117,74.537,72.447,22,38,Frd
118,118,32.651,165.385,23,38,Frd
119,119,31.013,174.121,24,38,Frd
120,120,30.559,176.707,24,38,Frd
121,121,30.636,176.263,22,38,Frd
122,122,30.701,175.890,22,38,Frd
123,123,30.557,176.719,20,38,Frd
124,124,30.901,174.752,18,38,Frd
125,125,30.484,177.142,17,38,Frd
126,126,30.487,177.125,17,38,Frd
127,127,30.508,177.003,17,38,Frd
128,128,30.564,176.678,17,38,Frd
129,129,30.819,175.217,17,38,Frd
130,130,30.894,174.791,17,38,Frd
131,131,30.761,175.547,16,38,Frd
132,132,30.83,175.154,16,38,Frd
133,133,30.924,174.622,16,38,Frd
134,134,31.075,173.773,17,38,Frd
135,135,30.959,174.424,17,38,Frd
136,136,30.938,174.543,16,38,Frd
137,137,30.841,175.092,16,38,Frd
138,138,30.832,175.143,16,38,Frd
139,139,30.998,174.205,16,38,Frd
140,140,31.022,174.070,16,38,Frd
141,141,31.079,173.751,16,38,Frd
142,142,31.198,173.088,16,38,Frd
143,143,31.602,170.875,16,38,Frd
144,144,31.418,171.876,16,38,Frd
145,145,31.171,173.238,16,38,Frd
146,146,30.995,174.222,15,38,Frd
147,147,31.069,173.807,15,38,Frd
148,148,31.372,172.128,14,38,Frd
149,149,31.138,173.422,14,38,Frd
150,150,31.17,173.244,14,38,Frd
151,151,31.294,172.557,12,38,Frd
152,152,31.323,172.397,9,38,Frd
153,153,57.035,94.679,25,38,Frd
154,154,43.213,124.962,31,38,Frd
155,155,30.264,178.430,29,38,Frd
156,156,30.236,178.595,26,38,Frd
157,157,30.179,178.932,23,38,Frd
158,158,30.495,177.078,21,38,Frd
159,159,30.458,177.293,18,38,Frd
160,160,30.371,177.801,14,38,Frd
161,161,30.572,176.632,12,38,Frd
162,162,30.392,177.678,12,38,Frd
163,163,30.459,177.288,12,38,Frd
164,164,30.694,175.930,12,38,Frd
165,165,30.631,176.292,12,38,Frd
166,166,30.566,176.667,13,38,Frd
167,167,30.714,175.816,13,38,Frd
168,168,30.674,176.045,13,38,Frd
169,169,30.66,176.125,13,38,Frd
170,170,30.695,175.924,13,38,Frd
171,171,30.911,174.695,13,38,Frd
172,172,30.831,175.148,13,38,Frd
173,173,30.827,175.171,13,38,Frd
174,174,31.225,172.938,13,38,Frd
175,175,31.008,174.149,13,38,Frd
176,176,30.966,174.385,13,38,Frd
177,177,31.129,173.472,13,38,Frd
178,178,31.086,173.712,13,38,Frd
179,179,31.212,173.010,13,38,Frd
180,180,31.216,172.988,13,38,Frd
181,181,31.021,174.076,13,38,Frd
182,182,31.185,173.160,13,38,Frd
183,183,31.285,172.607,13,38,Frd
184,184,31.532,171.255,14,38,Frd
185,185,31.603,170.870,14,38,Frd
186,186,31.331,172.353,14,38,Frd
187,187,31.23,172.911,14,38,Frd
188,188,31.436,171.778,14,38,Frd
189,189,31.329,172.364,14,38,Frd
190,190,31.439,171.761,14,38,Frd
191,191,31.301,172.518,14,38,Frd
192,192,31.288,172.590,14,38,Frd
193,193,31.864,169.470,14,38,Frd
194,194,31.842,169.587,14,38,Frd
195,195,31.625,170.751,14,38,Frd
196,196,31.601,170.881,14,38,Frd
197,197,31.742,170.122,14,38,Frd
198,198,31.726,170.207,14,38,Frd
199,199,31.807,169.774,14,38,Frd
200,200,31.916,169.194,14,38,Frd
201,201,50.334,107.283,14,38,Frd
202,202,81.274,66.442,14,38,Frd
203,203,357.241,15.116,14,38,Frd
204,204,96.706,55.839,14,38,Frd
205,205,95.286,56.671,17,38,Frd
206,206,88.599,60.949,15,38,Frd
207,207,98.554,54.792,14,38,Frd
208,208,82.528,65.432,14,38,Frd
209,209,32.553,165.883,15,38,Frd
210,210,30.699,175.901,16,38,Frd
211,211,30.375,177.778,15,38,Frd
212,212,30.41,177.573,16,38,Frd
213,213,30.603,176.453,16,38,Frd
214,214,30.883,174.853,17,38,Frd
215,215,30.514,176.968,17,38,Frd
216,216,30.817,175.228,17,38,Frd
217,217,30.87,174.927,17,38,Frd
218,218,30.68,176.010,17,38,Frd
219,219,30.758,175.564,17,38,Frd
220,220,30.824,175.188,17,38,Frd
221,221,30.784,175.416,17,38,Frd
222,222,30.975,174.334,17,38,Frd
223,223,31.13,173.466,18,38,Frd
224,224,31.243,172.839,18,38,Frd
225,225,31.44,171.756,20,38,Frd
226,226,31.305,172.496,20,38,Frd
227,227,30.994,174.227,20,38,Frd
228,228,31.104,173.611,20,38,Frd
229,229,31.039,173.975,20,38,Frd
230,230,31.168,173.255,20,38,Frd
231,231,31.08,173.745,20,38,Frd
232,232,31.407,171.936,20,38,Frd
233,233,31.334,172.337,20,38,Frd
234,234,31.352,172.238,20,38,Frd
235,235,31.432,171.799,20,38,Frd
236,236,31.234,172.889,20,38,Frd
