,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,17,16,Chv
1,1,48.324,99.081,38,16,Chv
2,2,43.306,110.562,38,16,Chv
3,3,30.741,155.753,38,16,Chv
4,4,30.499,156.989,38,16,Chv
5,5,30.383,157.588,38,16,Chv
6,6,30.382,157.593,38,16,Chv
7,7,30.474,157.118,38,16,Chv
8,8,30.442,157.283,38,16,Chv
9,9,30.288,158.082,38,16,Chv
10,10,30.132,158.901,38,16,Chv
11,11,30.438,157.303,38,16,Chv
12,12,30.359,157.713,38,16,Chv
13,13,30.274,158.156,38,16,Chv
14,14,30.421,157.391,38,16,Chv
15,15,30.541,156.773,38,16,Chv
16,16,30.653,156.200,38,16,Chv
17,17,30.82,155.354,38,16,Chv
18,18,30.717,155.875,38,16,Chv
19,19,30.765,155.631,38,16,Chv
20,20,30.535,156.804,38,16,Chv
21,21,30.437,157.309,38,16,Chv
22,22,30.504,156.963,38,16,Chv
23,23,30.523,156.865,37,16,Chv
24,24,30.415,157.422,37,16,Chv
25,25,30.362,157.697,37,16,Chv
26,26,30.491,157.030,37,16,Chv
27,27,30.488,157.045,37,16,Chv
28,28,30.449,157.247,37,16,Chv
29,29,30.476,157.107,37,16,Chv
30,30,30.519,156.886,37,16,Chv
31,31,30.488,157.045,37,16,Chv
32,32,30.597,156.486,37,16,Chv
33,33,30.577,156.588,37,16,Chv
34,34,30.616,156.389,37,16,Chv
35,35,30.542,156.768,37,16,Chv
36,36,30.536,156.799,37,16,Chv
37,37,30.682,156.052,37,16,Chv
38,38,30.594,156.501,37,16,Chv
39,39,30.63,156.317,36,16,Chv
40,40,30.523,156.865,35,16,Chv
41,41,30.664,156.144,33,16,Chv
42,42,30.576,156.593,32,16,Chv
43,43,30.485,157.061,31,16,Chv
44,44,30.503,156.968,28,16,Chv
45,45,30.665,156.139,24,16,Chv
46,46,30.809,155.409,22,16,Chv
47,47,30.779,155.561,21,16,Chv
48,48,30.64,156.266,20,16,Chv
