,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,16,2,Frd
1,1,32.375,147.892,16,2,Frd
2,2,30.701,155.956,15,2,Frd
3,3,30.611,156.414,15,2,Frd
4,4,30.695,155.986,15,2,Frd
5,5,30.828,155.313,15,2,Frd
6,6,30.512,156.922,15,2,Frd
7,7,30.38,157.604,15,2,Frd
8,8,30.334,157.843,15,2,Frd
9,9,30.403,157.484,15,2,Frd
10,10,30.522,156.870,15,2,Frd
11,11,30.368,157.666,15,2,Frd
12,12,30.273,158.161,15,2,Frd
13,13,30.444,157.272,15,2,Frd
14,14,30.426,157.365,15,2,Frd
15,15,30.366,157.676,15,2,Frd
16,16,30.318,157.926,15,2,Frd
17,17,30.294,158.051,15,2,Frd
18,18,30.461,157.185,15,2,Frd
19,19,30.685,156.037,15,2,Frd
20,20,30.319,157.921,15,2,Frd
21,21,30.375,157.630,15,2,Frd
22,22,30.432,157.334,15,2,Frd
23,23,30.334,157.843,15,2,Frd
24,24,30.41,157.448,15,2,Frd
25,25,30.306,157.989,15,2,Frd
26,26,30.408,157.459,15,2,Frd
27,27,30.426,157.365,15,2,Frd
28,28,30.421,157.391,15,2,Frd
29,29,30.574,156.604,15,2,Frd
30,30,30.637,156.282,15,2,Frd
31,31,30.594,156.501,15,2,Frd
32,32,30.474,157.118,15,2,Frd
33,33,30.398,157.510,15,2,Frd
34,34,30.61,156.419,15,2,Frd
35,35,30.527,156.845,15,2,Frd
36,36,30.562,156.665,15,2,Frd
37,37,30.635,156.292,15,2,Frd
38,38,30.732,155.799,15,2,Frd
39,39,30.604,156.450,15,2,Frd
40,40,30.545,156.752,15,2,Frd
41,41,30.639,156.271,13,2,Frd
42,42,30.591,156.517,12,2,Frd
43,43,30.589,156.527,9,2,Frd
44,44,30.536,156.799,7,2,Frd
45,45,30.436,157.314,4,2,Frd
46,46,30.457,157.205,3,2,Frd
47,47,30.318,157.926,2,2,Frd
48,48,30.388,157.562,2,2,Frd
49,49,30.386,157.573,2,2,Frd
50,50,30.424,157.376,2,2,Frd
51,51,30.429,157.350,2,2,Frd
52,52,30.273,158.161,2,2,Frd
53,53,30.283,158.109,2,2,Frd
54,54,30.437,157.309,2,2,Frd
55,55,30.516,156.901,2,2,Frd
56,56,30.318,157.926,2,2,Frd
57,57,30.51,156.932,2,2,Frd
58,58,30.451,157.236,2,2,Frd
59,59,30.345,157.785,2,2,Frd
60,60,30.413,157.433,2,2,Frd
61,61,30.515,156.906,2,2,Frd
62,62,30.574,156.604,2,2,Frd
63,63,30.558,156.686,2,2,Frd
64,64,30.738,155.768,2,2,Frd
65,65,30.677,156.078,2,2,Frd
66,66,30.656,156.185,2,2,Frd
67,67,30.751,155.702,2,2,Frd
68,68,30.488,157.045,2,2,Frd
69,69,30.392,157.541,2,2,Frd
70,70,42.121,113.673,2,2,Frd
71,71,60.867,78.663,18,2,Frd
72,72,30.352,157.749,17,2,Frd
73,73,30.151,158.801,17,2,Frd
74,74,30.117,158.980,17,2,Frd
75,75,30.236,158.354,17,2,Frd
76,76,30.138,158.869,16,2,Frd
77,77,30.117,158.980,16,2,Frd
78,78,30.379,157.609,16,2,Frd
79,79,30.632,156.307,16,2,Frd
80,80,30.195,158.569,16,2,Frd
81,81,30.181,158.643,16,2,Frd
82,82,29.993,159.637,16,2,Frd
83,83,30.093,159.107,16,2,Frd
84,84,30.333,157.848,15,2,Frd
85,85,30.234,158.365,15,2,Frd
86,86,30.144,158.838,15,2,Frd
87,87,30.141,158.853,15,2,Frd
88,88,30.282,158.114,15,2,Frd
89,89,30.349,157.765,15,2,Frd
90,90,30.499,156.989,15,2,Frd
91,91,45.711,104.745,15,2,Frd
92,92,71.886,66.605,15,2,Frd
93,93,77.893,61.469,10,2,Frd
94,94,87.49,54.726,2,2,Frd
95,95,86.674,55.241,2,2,Frd
96,96,83.569,57.294,2,2,Frd
97,97,80.871,59.205,2,2,Frd
98,98,31.598,151.529,2,2,Frd
99,99,30.247,158.297,3,2,Frd
100,100,30.104,159.049,3,2,Frd
101,101,30.027,159.456,3,2,Frd
102,102,29.974,159.738,3,2,Frd
103,103,29.977,159.722,3,2,Frd
104,104,30.003,159.584,3,2,Frd
105,105,29.989,159.659,3,2,Frd
106,106,47.008,101.855,3,2,Frd
107,107,76.549,62.548,2,2,Frd
108,108,87.128,54.954,3,2,Frd
109,109,86.717,55.214,2,2,Frd
110,110,84.514,56.653,2,2,Frd
111,111,81.801,58.532,2,2,Frd
112,112,31.455,152.217,2,2,Frd
113,113,30.324,157.895,2,2,Frd
114,114,62.681,76.387,2,2,Frd
115,115,86.407,55.412,2,2,Frd
116,116,85.996,55.677,2,2,Frd
117,117,86.836,55.138,2,2,Frd
118,118,82.544,58.005,2,2,Frd
119,119,39.737,120.492,2,2,Frd
120,120,73.692,64.973,2,2,Frd
121,121,85.782,55.816,2,2,Frd
122,122,86.372,55.435,2,2,Frd
123,123,82.546,58.004,2,2,Frd
124,124,31.695,151.065,3,2,Frd
125,125,30.507,156.948,4,2,Frd
126,126,30.19,158.596,4,2,Frd
127,127,30.014,159.526,4,2,Frd
128,128,29.871,160.289,4,2,Frd
129,129,30.012,159.536,4,2,Frd
130,130,29.999,159.605,4,2,Frd
131,131,44.092,108.591,4,2,Frd
132,132,74.584,64.196,4,2,Frd
133,133,92.759,51.618,4,2,Frd
134,134,94.611,50.607,4,2,Frd
135,135,90.26,53.047,4,2,Frd
136,136,80.129,59.754,4,2,Frd
137,137,32.021,149.527,6,2,Frd
138,138,30.652,156.205,6,2,Frd
139,139,30.553,156.711,7,2,Frd
140,140,30.384,157.583,7,2,Frd
141,141,30.269,158.182,7,2,Frd
142,142,30.203,158.527,7,2,Frd
143,143,30.119,158.969,7,2,Frd
144,144,30.075,159.202,7,2,Frd
145,145,30.008,159.557,7,2,Frd
146,146,29.966,159.781,7,2,Frd
147,147,30.057,159.297,7,2,Frd
148,148,30.116,158.985,7,2,Frd
149,149,30.134,158.890,7,2,Frd
150,150,30.241,158.328,7,2,Frd
151,151,30.059,159.287,7,2,Frd
152,152,30.205,158.517,7,2,Frd
153,153,30.2,158.543,7,2,Frd
154,154,30.13,158.911,7,2,Frd
155,155,30.303,158.004,7,2,Frd
156,156,30.202,158.533,7,2,Frd
157,157,30.173,158.685,7,2,Frd
158,158,30.247,158.297,7,2,Frd
159,159,30.348,157.770,7,2,Frd
160,160,30.491,157.030,7,2,Frd
161,161,30.45,157.241,7,2,Frd
162,162,30.349,157.765,7,2,Frd
163,163,30.409,157.453,7,2,Frd
164,164,30.635,156.292,7,2,Frd
165,165,30.595,156.496,7,2,Frd
166,166,30.496,157.004,7,2,Frd
167,167,30.617,156.384,7,2,Frd
168,168,30.62,156.368,7,2,Frd
169,169,30.607,156.435,7,2,Frd
170,170,30.788,155.515,7,2,Frd
171,171,30.667,156.129,7,2,Frd
172,172,30.578,156.583,6,2,Frd
173,173,31.095,153.980,6,2,Frd
174,174,30.778,155.566,6,2,Frd
175,175,30.761,155.652,6,2,Frd
176,176,30.69,156.012,6,2,Frd
177,177,30.855,155.177,6,2,Frd
178,178,30.645,156.241,6,2,Frd
179,179,30.712,155.900,6,2,Frd
180,180,30.841,155.248,7,2,Frd
181,181,30.766,155.626,6,2,Frd
182,182,31.093,153.990,6,2,Frd
183,183,30.99,154.501,6,2,Frd
184,184,31.108,153.915,6,2,Frd
185,185,31.218,153.373,6,2,Frd
186,186,51.439,93.081,6,2,Frd
187,187,77.597,61.703,6,2,Frd
188,188,84.789,56.470,4,2,Frd
189,189,90.907,52.669,8,2,Frd
190,190,83.148,57.584,7,2,Frd
191,191,88.066,54.368,7,2,Frd
192,192,77.401,61.860,8,2,Frd
193,193,32.195,148.719,9,2,Frd
194,194,37.066,129.175,10,2,Frd
195,195,74.94,63.891,10,2,Frd
196,196,88.491,54.107,9,2,Frd
197,197,97.254,49.232,9,2,Frd
198,198,80.255,59.660,10,2,Frd
199,199,32.311,148.185,12,2,Frd
200,200,30.559,156.681,12,2,Frd
201,201,30.49,157.035,13,2,Frd
202,202,30.504,156.963,13,2,Frd
203,203,30.303,158.004,13,2,Frd
204,204,30.468,157.148,13,2,Frd
205,205,30.457,157.205,13,2,Frd
206,206,30.224,158.417,13,2,Frd
207,207,30.187,158.611,13,2,Frd
208,208,30.107,159.033,13,2,Frd
