,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,39,66,Frd
1,1,33.684,142.145,37,66,Frd
2,2,32.06,149.345,37,66,Frd
3,3,31.744,150.832,37,66,Frd
4,4,31.798,150.576,37,66,Frd
5,5,31.256,153.187,37,66,Frd
6,6,31.111,153.901,37,66,Frd
7,7,31.176,153.580,37,66,Frd
8,8,31.171,153.604,37,66,Frd
9,9,31.286,153.040,37,66,Frd
10,10,31.363,152.664,37,66,Frd
11,11,31.377,152.596,37,66,Frd
12,12,31.399,152.489,37,66,Frd
13,13,31.531,151.851,37,66,Frd
14,14,31.544,151.788,37,66,Frd
15,15,31.613,151.457,37,66,Frd
16,16,31.73,150.898,37,66,Frd
17,17,32.155,148.904,37,66,Frd
18,18,32.855,145.731,37,66,Frd
19,19,32.51,147.278,37,66,Frd
20,20,32.586,146.934,37,66,Frd
21,21,32.585,146.939,37,66,Frd
22,22,32.809,145.936,37,66,Frd
23,23,32.803,145.962,38,66,Frd
24,24,32.551,147.092,38,66,Frd
25,25,32.836,145.816,38,66,Frd
26,26,32.587,146.930,38,66,Frd
27,27,32.798,145.985,38,66,Frd
28,28,32.881,145.616,38,66,Frd
29,29,32.429,147.646,38,66,Frd
30,30,32.529,147.192,38,66,Frd
31,31,32.95,145.311,39,66,Frd
32,32,32.897,145.545,39,66,Frd
33,33,32.401,147.773,39,66,Frd
34,34,32.972,145.214,39,66,Frd
35,35,32.806,145.949,39,66,Frd
36,36,33.069,144.788,39,66,Frd
37,37,32.335,148.075,39,66,Frd
38,38,33.239,144.048,39,66,Frd
39,39,33.029,144.964,39,66,Frd
40,40,33.158,144.400,39,66,Frd
41,41,33.287,143.840,39,66,Frd
42,42,33.194,144.243,39,66,Frd
43,43,33.257,143.970,39,66,Frd
44,44,33.258,143.965,39,66,Frd
45,45,33.201,144.213,39,66,Frd
46,46,33.089,144.701,39,66,Frd
47,47,33.197,144.230,39,66,Frd
48,48,63.788,75.061,39,66,Frd
49,49,46.615,102.714,39,66,Frd
50,50,32.645,146.669,39,66,Frd
51,51,33.031,144.955,39,66,Frd
52,52,32.68,146.512,39,66,Frd
53,53,32.418,147.696,39,66,Frd
54,54,32.244,148.493,39,66,Frd
55,55,32.795,145.998,39,66,Frd
56,56,32.505,147.300,39,66,Frd
57,57,32.95,145.311,39,66,Frd
58,58,31.943,149.892,39,66,Frd
59,59,32.459,147.509,39,66,Frd
60,60,32.755,146.176,39,66,Frd
61,61,32.666,146.574,39,66,Frd
62,62,32.856,145.727,39,66,Frd
63,63,32.812,145.922,39,66,Frd
64,64,32.853,145.740,39,66,Frd
65,65,32.727,146.301,39,66,Frd
66,66,32.418,147.696,39,66,Frd
67,67,31.848,150.339,39,66,Frd
68,68,32.817,145.900,39,66,Frd
69,69,32.57,147.006,39,66,Frd
70,70,32.304,148.217,39,66,Frd
71,71,32.379,147.874,39,66,Frd
72,72,32.636,146.709,39,66,Frd
73,73,32.257,148.433,39,66,Frd
74,74,32.835,145.820,39,66,Frd
75,75,32.906,145.505,39,66,Frd
76,76,32.658,146.610,39,66,Frd
77,77,32.678,146.521,39,66,Frd
78,78,32.514,147.260,39,66,Frd
79,79,32.609,146.831,39,66,Frd
80,80,32.82,145.887,39,66,Frd
81,81,32.644,146.673,39,66,Frd
82,82,32.886,145.594,39,66,Frd
83,83,33.104,144.635,39,66,Frd
84,84,32.73,146.288,39,66,Frd
85,85,45.674,104.830,39,66,Frd
86,86,72.154,66.358,39,66,Frd
87,87,79.49,60.234,39,66,Frd
88,88,110.638,43.276,39,66,Frd
89,89,98.618,48.551,39,66,Frd
90,90,91.58,52.282,39,66,Frd
91,91,44.279,108.133,39,66,Frd
92,92,32.41,147.732,39,66,Frd
93,93,31.248,153.226,39,66,Frd
94,94,31.119,153.861,39,66,Frd
95,95,31.12,153.856,39,66,Frd
96,96,30.999,154.457,39,66,Frd
97,97,31.155,153.683,39,66,Frd
98,98,31.089,154.009,39,66,Frd
99,99,34.944,137.019,39,66,Frd
100,100,51.485,92.998,39,66,Frd
101,101,59.816,80.045,39,66,Frd
102,102,82.616,57.955,39,66,Frd
103,103,86.452,55.383,39,66,Frd
104,104,60.393,79.281,39,66,Frd
105,105,58.883,81.314,39,66,Frd
106,106,51.738,92.543,39,66,Frd
