,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,11,9,Chv
1,1,31.59,151.567,8,9,Chv
2,2,30.35,157.759,6,9,Chv
3,3,29.999,159.605,6,9,Chv
4,4,30.199,158.548,6,9,Chv
5,5,30.271,158.171,6,9,Chv
6,6,30.192,158.585,6,9,Chv
7,7,30.097,159.086,6,9,Chv
8,8,30.117,158.980,6,9,Chv
9,9,30.208,158.501,6,9,Chv
10,10,30.058,159.292,6,9,Chv
11,11,30.15,158.806,6,9,Chv
12,12,30.186,158.617,6,9,Chv
13,13,30.278,158.135,6,9,Chv
14,14,30.302,158.009,6,9,Chv
15,15,30.296,158.041,6,9,Chv
16,16,30.374,157.635,6,9,Chv
17,17,30.248,158.291,6,9,Chv
18,18,30.248,158.291,6,9,Chv
19,19,30.312,157.957,6,9,Chv
20,20,30.262,158.218,6,9,Chv
21,21,30.444,157.272,6,9,Chv
22,22,30.359,157.713,6,9,Chv
23,23,30.328,157.874,6,9,Chv
24,24,30.341,157.806,6,9,Chv
25,25,30.275,158.150,6,9,Chv
26,26,30.332,157.853,6,9,Chv
27,27,30.33,157.864,6,9,Chv
28,28,30.404,157.479,6,9,Chv
29,29,30.695,155.986,6,9,Chv
30,30,30.492,157.025,6,9,Chv
31,31,30.457,157.205,6,9,Chv
32,32,30.402,157.490,6,9,Chv
33,33,30.519,156.886,6,9,Chv
34,34,30.439,157.298,6,9,Chv
35,35,30.383,157.588,6,9,Chv
36,36,30.335,157.837,6,9,Chv
37,37,30.447,157.257,6,9,Chv
38,38,30.566,156.645,6,9,Chv
39,39,30.478,157.097,6,9,Chv
40,40,30.458,157.200,5,9,Chv
41,41,30.459,157.195,3,9,Chv
42,42,30.501,156.978,3,9,Chv
43,43,30.392,157.541,3,9,Chv
44,44,30.633,156.302,3,9,Chv
45,45,54.425,87.974,16,9,Chv
46,46,43.805,109.303,20,9,Chv
47,47,30.441,157.288,19,9,Chv
48,48,30.271,158.171,18,9,Chv
49,49,30.272,158.166,17,9,Chv
50,50,30.335,157.837,17,9,Chv
51,51,30.163,158.738,17,9,Chv
52,52,30.329,157.869,16,9,Chv
53,53,30.176,158.669,13,9,Chv
54,54,30.264,158.208,12,9,Chv
55,55,30.244,158.312,12,9,Chv
56,56,30.422,157.386,12,9,Chv
57,57,30.28,158.124,12,9,Chv
58,58,30.4,157.500,12,9,Chv
59,59,30.236,158.354,12,9,Chv
60,60,30.295,158.046,12,9,Chv
61,61,30.352,157.749,12,9,Chv
62,62,30.41,157.448,12,9,Chv
63,63,30.688,156.022,11,9,Chv
64,64,30.767,155.621,11,9,Chv
65,65,30.579,156.578,10,9,Chv
66,66,30.371,157.650,10,9,Chv
67,67,30.529,156.834,10,9,Chv
68,68,30.368,157.666,9,9,Chv
69,69,30.481,157.081,9,9,Chv
70,70,30.472,157.128,9,9,Chv
71,71,30.455,157.216,6,9,Chv
72,72,30.399,157.505,6,9,Chv
73,73,30.425,157.371,6,9,Chv
74,74,30.354,157.739,6,9,Chv
75,75,30.378,157.614,6,9,Chv
76,76,30.435,157.319,6,9,Chv
77,77,30.397,157.516,6,9,Chv
78,78,30.361,157.702,6,9,Chv
79,79,30.405,157.474,6,9,Chv
80,80,30.49,157.035,6,9,Chv
81,81,30.513,156.917,6,9,Chv
82,82,30.425,157.371,6,9,Chv
83,83,30.351,157.754,6,9,Chv
84,84,30.3,158.020,6,9,Chv
85,85,30.321,157.910,6,9,Chv
86,86,30.388,157.562,6,9,Chv
87,87,30.371,157.650,6,9,Chv
88,88,30.636,156.287,6,9,Chv
89,89,30.694,155.991,6,9,Chv
90,90,30.856,155.172,6,9,Chv
91,91,44.536,107.509,6,9,Chv
92,92,75.349,63.544,6,9,Chv
93,93,96.337,49.701,20,9,Chv
94,94,82.086,58.329,8,9,Chv
95,95,86.257,55.509,8,9,Chv
96,96,85.754,55.834,8,9,Chv
97,97,74.906,63.920,7,9,Chv
98,98,31.63,151.375,6,9,Chv
99,99,30.623,156.353,6,9,Chv
100,100,30.292,158.062,7,9,Chv
101,101,30.242,158.323,7,9,Chv
102,102,30.144,158.838,7,9,Chv
103,103,30.135,158.885,7,9,Chv
104,104,30.218,158.449,7,9,Chv
105,105,30.239,158.339,7,9,Chv
106,106,48.109,99.524,7,9,Chv
107,107,81.607,58.671,19,9,Chv
108,108,84.507,56.658,9,9,Chv
109,109,85.12,56.250,8,9,Chv
110,110,85.625,55.918,8,9,Chv
111,111,77.117,62.087,7,9,Chv
112,112,32.19,148.742,8,9,Chv
113,113,31.2,153.462,10,9,Chv
114,114,64.253,74.518,10,9,Chv
115,115,88.035,54.387,10,9,Chv
116,116,86.196,55.548,10,9,Chv
117,117,87.065,54.993,10,9,Chv
118,118,77.454,61.817,10,9,Chv
119,119,42.375,112.991,8,9,Chv
120,120,74.278,64.461,9,9,Chv
121,121,86.762,55.185,9,9,Chv
122,122,87.839,54.509,9,9,Chv
123,123,76.902,62.261,9,9,Chv
124,124,32.746,146.216,13,9,Chv
125,125,30.642,156.256,14,9,Chv
126,126,30.57,156.624,14,9,Chv
127,127,30.422,157.386,14,9,Chv
128,128,30.545,156.752,15,9,Chv
129,129,30.383,157.588,15,9,Chv
130,130,30.483,157.071,12,9,Chv
131,131,48.711,98.294,14,9,Chv
132,132,74.003,64.700,14,9,Chv
133,133,90.774,52.746,13,9,Chv
134,134,94.454,50.691,13,9,Chv
135,135,92.552,51.733,13,9,Chv
136,136,72.793,65.776,15,9,Chv
137,137,32.502,147.314,16,9,Chv
138,138,30.861,155.147,18,9,Chv
139,139,30.745,155.733,18,9,Chv
140,140,30.571,156.619,18,9,Chv
141,141,30.803,155.439,18,9,Chv
142,142,30.635,156.292,18,9,Chv
143,143,30.523,156.865,18,9,Chv
144,144,30.44,157.293,18,9,Chv
145,145,30.382,157.593,18,9,Chv
146,146,30.503,156.968,18,9,Chv
147,147,30.592,156.512,18,9,Chv
148,148,30.286,158.093,18,9,Chv
149,149,30.517,156.896,18,9,Chv
150,150,30.592,156.512,18,9,Chv
151,151,30.896,154.972,19,9,Chv
152,152,30.391,157.547,19,9,Chv
153,153,30.368,157.666,19,9,Chv
154,154,30.414,157.428,19,9,Chv
155,155,30.374,157.635,19,9,Chv
156,156,30.398,157.510,19,9,Chv
157,157,30.549,156.732,19,9,Chv
158,158,30.521,156.876,19,9,Chv
159,159,30.625,156.343,19,9,Chv
160,160,30.902,154.941,20,9,Chv
161,161,30.521,156.876,20,9,Chv
162,162,30.343,157.796,20,9,Chv
163,163,30.427,157.360,20,9,Chv
164,164,30.46,157.190,20,9,Chv
165,165,30.508,156.942,20,9,Chv
166,166,30.422,157.386,20,9,Chv
167,167,30.496,157.004,20,9,Chv
168,168,30.47,157.138,20,9,Chv
169,169,30.501,156.978,20,9,Chv
170,170,30.68,156.063,20,9,Chv
171,171,30.577,156.588,20,9,Chv
172,172,30.545,156.752,20,9,Chv
173,173,30.66,156.164,20,9,Chv
174,174,30.717,155.875,20,9,Chv
175,175,30.83,155.303,20,9,Chv
176,176,31.157,153.673,21,9,Chv
177,177,30.765,155.631,21,9,Chv
178,178,30.682,156.052,21,9,Chv
179,179,30.681,156.057,21,9,Chv
180,180,30.865,155.127,21,9,Chv
181,181,30.847,155.218,21,9,Chv
182,182,30.725,155.834,21,9,Chv
183,183,30.83,155.303,21,9,Chv
184,184,31.161,153.654,20,9,Chv
185,185,31.243,153.250,20,9,Chv
186,186,54.634,87.638,20,9,Chv
187,187,75.32,63.569,20,9,Chv
188,188,93.85,51.018,25,9,Chv
189,189,81.441,58.791,15,9,Chv
190,190,79.269,60.402,13,9,Chv
191,191,89.864,53.281,13,9,Chv
192,192,71.61,66.862,14,9,Chv
193,193,32.096,149.177,14,9,Chv
194,194,37.299,128.368,13,9,Chv
195,195,75.985,63.012,14,9,Chv
196,196,89.248,53.648,13,9,Chv
197,197,98.777,48.473,13,9,Chv
198,198,76.577,62.525,13,9,Chv
199,199,32.324,148.125,13,9,Chv
200,200,30.651,156.210,14,9,Chv
201,201,30.508,156.942,15,9,Chv
202,202,30.618,156.379,16,9,Chv
203,203,30.472,157.128,15,9,Chv
204,204,30.87,155.102,17,9,Chv
205,205,30.648,156.226,17,9,Chv
206,206,30.209,158.496,17,9,Chv
207,207,30.487,157.051,17,9,Chv
208,208,30.389,157.557,17,9,Chv
209,209,30.353,157.744,17,9,Chv
210,210,30.288,158.082,17,9,Chv
211,211,30.323,157.900,17,9,Chv
212,212,30.309,157.973,17,9,Chv
213,213,30.435,157.319,17,9,Chv
214,214,30.344,157.791,17,9,Chv
215,215,30.339,157.817,17,9,Chv
216,216,30.276,158.145,17,9,Chv
217,217,30.271,158.171,17,9,Chv
218,218,30.451,157.236,17,9,Chv
219,219,30.344,157.791,17,9,Chv
220,220,30.318,157.926,17,9,Chv
221,221,30.309,157.973,17,9,Chv
222,222,30.471,157.133,17,9,Chv
223,223,30.434,157.324,17,9,Chv
224,224,30.424,157.376,17,9,Chv
225,225,30.484,157.066,17,9,Chv
226,226,30.539,156.783,16,9,Chv
227,227,30.404,157.479,16,9,Chv
228,228,30.471,157.133,16,9,Chv
229,229,30.495,157.009,16,9,Chv
230,230,30.357,157.723,16,9,Chv
231,231,30.411,157.443,16,9,Chv
232,232,30.544,156.757,16,9,Chv
233,233,30.546,156.747,16,9,Chv
234,234,30.381,157.598,16,9,Chv
235,235,30.365,157.682,16,9,Chv
236,236,30.449,157.247,16,9,Chv
237,237,30.534,156.809,16,9,Chv
238,238,30.583,156.558,16,9,Chv
239,239,30.613,156.404,16,9,Chv
240,240,30.672,156.103,16,9,Chv
241,241,30.711,155.905,16,9,Chv
242,242,30.848,155.213,15,9,Chv
243,243,30.788,155.515,14,9,Chv
244,244,30.739,155.763,13,9,Chv
245,245,30.61,156.419,11,9,Chv
246,246,30.693,155.996,10,9,Chv
247,247,56.016,85.476,24,9,Chv
248,248,43.442,110.216,29,9,Chv
249,249,30.557,156.691,25,9,Chv
250,250,30.029,159.446,25,9,Chv
251,251,30.174,158.680,24,9,Chv
252,252,30.03,159.441,24,9,Chv
253,253,30.139,158.864,24,9,Chv
254,254,30.22,158.438,24,9,Chv
255,255,30.152,158.795,24,9,Chv
256,256,30.255,158.255,23,9,Chv
257,257,30.347,157.775,23,9,Chv
258,258,30.234,158.365,23,9,Chv
259,259,30.484,157.066,19,9,Chv
260,260,30.528,156.840,18,9,Chv
261,261,30.462,157.179,18,9,Chv
262,262,30.339,157.817,18,9,Chv
263,263,30.3,158.020,18,9,Chv
264,264,30.228,158.396,18,9,Chv
265,265,30.153,158.790,18,9,Chv
266,266,30.181,158.643,18,9,Chv
267,267,30.164,158.732,17,9,Chv
268,268,30.379,157.609,17,9,Chv
269,269,30.268,158.187,16,9,Chv
270,270,30.152,158.795,15,9,Chv
271,271,30.127,158.927,15,9,Chv
272,272,30.164,158.732,15,9,Chv
273,273,30.173,158.685,15,9,Chv
274,274,30.188,158.606,15,9,Chv
275,275,30.232,158.375,15,9,Chv
276,276,30.242,158.323,15,9,Chv
277,277,30.133,158.896,15,9,Chv
278,278,30.155,158.780,15,9,Chv
279,279,30.177,158.664,15,9,Chv
280,280,30.223,158.422,15,9,Chv
281,281,30.282,158.114,15,9,Chv
282,282,30.264,158.208,15,9,Chv
283,283,30.253,158.265,15,9,Chv
284,284,30.221,158.433,15,9,Chv
285,285,30.32,157.916,15,9,Chv
286,286,30.244,158.312,15,9,Chv
287,287,30.255,158.255,15,9,Chv
288,288,30.268,158.187,15,9,Chv
289,289,30.283,158.109,15,9,Chv
290,290,30.448,157.252,15,9,Chv
291,291,30.413,157.433,15,9,Chv
292,292,30.373,157.640,15,9,Chv
293,293,30.469,157.143,15,9,Chv
294,294,30.458,157.200,15,9,Chv
295,295,30.706,155.930,16,9,Chv
296,296,30.753,155.692,14,9,Chv
297,297,30.688,156.022,14,9,Chv
298,298,30.81,155.404,15,9,Chv
299,299,31.136,153.777,15,9,Chv
300,300,30.566,156.645,15,9,Chv
