,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,10,17,Frd
1,1,32.334,148.079,11,17,Frd
2,2,30.528,156.840,11,17,Frd
3,3,30.761,155.652,12,17,Frd
4,4,30.507,156.948,12,17,Frd
5,5,30.269,158.182,12,17,Frd
6,6,30.539,156.783,12,17,Frd
7,7,30.492,157.025,12,17,Frd
8,8,30.249,158.286,12,17,Frd
9,9,30.233,158.370,12,17,Frd
10,10,30.094,159.101,12,17,Frd
11,11,30.261,158.223,12,17,Frd
12,12,30.515,156.906,12,17,Frd
13,13,30.259,158.234,12,17,Frd
14,14,30.438,157.303,12,17,Frd
15,15,30.476,157.107,12,17,Frd
16,16,30.516,156.901,12,17,Frd
17,17,30.482,157.076,12,17,Frd
18,18,30.437,157.309,12,17,Frd
19,19,30.289,158.077,12,17,Frd
20,20,30.465,157.164,12,17,Frd
21,21,30.347,157.775,12,17,Frd
22,22,30.464,157.169,12,17,Frd
23,23,30.509,156.937,12,17,Frd
24,24,30.391,157.547,12,17,Frd
25,25,30.309,157.973,12,17,Frd
26,26,30.452,157.231,12,17,Frd
27,27,30.703,155.946,12,17,Frd
28,28,30.542,156.768,12,17,Frd
29,29,30.472,157.128,12,17,Frd
30,30,30.487,157.051,12,17,Frd
31,31,30.417,157.412,12,17,Frd
32,32,30.409,157.453,12,17,Frd
33,33,30.576,156.593,12,17,Frd
34,34,30.574,156.604,12,17,Frd
35,35,30.493,157.020,12,17,Frd
36,36,30.55,156.727,12,17,Frd
37,37,30.568,156.634,12,17,Frd
38,38,30.605,156.445,12,17,Frd
39,39,30.546,156.747,12,17,Frd
40,40,30.485,157.061,12,17,Frd
41,41,30.98,154.551,9,17,Frd
42,42,30.626,156.338,9,17,Frd
43,43,41.362,115.758,16,17,Frd
44,44,56.67,84.489,30,17,Frd
45,45,30.2,158.543,30,17,Frd
46,46,29.892,160.177,26,17,Frd
47,47,30.231,158.380,25,17,Frd
48,48,30.454,157.221,24,17,Frd
49,49,30.154,158.785,23,17,Frd
50,50,30.204,158.522,23,17,Frd
51,51,30.422,157.386,23,17,Frd
52,52,30.393,157.536,23,17,Frd
53,53,30.743,155.743,20,17,Frd
54,54,30.307,157.983,19,17,Frd
55,55,30.329,157.869,19,17,Frd
56,56,30.382,157.593,19,17,Frd
57,57,30.553,156.711,19,17,Frd
58,58,30.515,156.906,16,17,Frd
59,59,30.233,158.370,16,17,Frd
60,60,30.255,158.255,16,17,Frd
61,61,30.18,158.648,16,17,Frd
62,62,30.356,157.728,16,17,Frd
63,63,30.402,157.490,16,17,Frd
64,64,30.357,157.723,16,17,Frd
65,65,30.273,158.161,16,17,Frd
66,66,30.411,157.443,16,17,Frd
67,67,30.51,156.932,15,17,Frd
68,68,30.761,155.652,14,17,Frd
69,69,30.459,157.195,13,17,Frd
70,70,30.736,155.778,14,17,Frd
71,71,30.654,156.195,10,17,Frd
72,72,30.53,156.829,11,17,Frd
73,73,30.691,156.007,11,17,Frd
74,74,30.637,156.282,11,17,Frd
75,75,30.758,155.667,12,17,Frd
76,76,30.616,156.389,11,17,Frd
77,77,30.385,157.578,11,17,Frd
78,78,30.309,157.973,11,17,Frd
79,79,30.457,157.205,11,17,Frd
80,80,30.276,158.145,11,17,Frd
81,81,30.364,157.687,11,17,Frd
82,82,30.446,157.262,11,17,Frd
83,83,30.511,156.927,11,17,Frd
84,84,30.411,157.443,11,17,Frd
85,85,30.46,157.190,11,17,Frd
86,86,30.555,156.701,11,17,Frd
87,87,30.449,157.247,11,17,Frd
88,88,30.663,156.149,11,17,Frd
89,89,30.567,156.640,11,17,Frd
90,90,30.812,155.394,11,17,Frd
91,91,46.484,103.003,11,17,Frd
92,92,71.788,66.696,11,17,Frd
93,93,79.484,60.239,7,17,Frd
94,94,99.572,48.086,15,17,Frd
95,95,84.818,56.450,15,17,Frd
96,96,88.197,54.288,15,17,Frd
97,97,68.381,70.019,15,17,Frd
98,98,32.054,149.373,16,17,Frd
99,99,30.535,156.804,16,17,Frd
100,100,30.759,155.662,16,17,Frd
101,101,30.492,157.025,15,17,Frd
102,102,30.507,156.948,14,17,Frd
103,103,30.257,158.244,14,17,Frd
104,104,30.136,158.880,14,17,Frd
105,105,30.766,155.626,14,17,Frd
106,106,52.265,91.610,14,17,Frd
107,107,69.47,68.922,10,17,Frd
108,108,94.874,50.467,17,17,Frd
109,109,85.844,55.776,16,17,Frd
110,110,87.622,54.644,16,17,Frd
111,111,69.89,68.508,16,17,Frd
112,112,32.539,147.147,17,17,Frd
113,113,31.488,152.058,18,17,Frd
114,114,66.326,72.189,18,17,Frd
115,115,88.99,53.804,18,17,Frd
116,116,86.804,55.159,18,17,Frd
117,117,90.125,53.126,18,17,Frd
118,118,70.052,68.349,18,17,Frd
119,119,43.639,109.718,18,17,Frd
120,120,75.157,63.707,18,17,Frd
121,121,88.654,54.008,16,17,Frd
122,122,90.346,52.996,16,17,Frd
123,123,70.194,68.211,15,17,Frd
124,124,32.746,146.216,17,17,Frd
125,125,30.908,154.911,18,17,Frd
126,126,30.395,157.526,17,17,Frd
127,127,30.544,156.757,17,17,Frd
128,128,30.35,157.759,17,17,Frd
129,129,30.476,157.107,17,17,Frd
130,130,31.033,154.287,17,17,Frd
131,131,48.64,98.438,16,17,Frd
132,132,74.276,64.462,16,17,Frd
133,133,90.836,52.710,16,17,Frd
134,134,94.658,50.582,15,17,Frd
135,135,93.299,51.319,15,17,Frd
136,136,70.644,67.776,16,17,Frd
137,137,32.592,146.907,21,17,Frd
138,138,31.029,154.307,21,17,Frd
139,139,30.783,155.540,21,17,Frd
140,140,30.841,155.248,23,17,Frd
141,141,30.951,154.696,24,17,Frd
142,142,30.85,155.203,25,17,Frd
143,143,31.068,154.114,26,17,Frd
144,144,30.848,155.213,26,17,Frd
145,145,30.884,155.032,27,17,Frd
146,146,30.443,157.278,27,17,Frd
147,147,30.505,156.958,27,17,Frd
148,148,30.61,156.419,27,17,Frd
149,149,30.484,157.066,27,17,Frd
150,150,30.573,156.609,27,17,Frd
151,151,30.397,157.516,27,17,Frd
152,152,30.362,157.697,27,17,Frd
153,153,30.534,156.809,27,17,Frd
154,154,30.486,157.056,27,17,Frd
155,155,30.555,156.701,27,17,Frd
156,156,30.563,156.660,27,17,Frd
157,157,30.568,156.634,27,17,Frd
158,158,30.648,156.226,27,17,Frd
159,159,30.711,155.905,27,17,Frd
160,160,30.554,156.706,27,17,Frd
161,161,30.508,156.942,27,17,Frd
162,162,30.466,157.159,27,17,Frd
163,163,30.656,156.185,27,17,Frd
164,164,30.857,155.167,27,17,Frd
165,165,30.567,156.640,27,17,Frd
166,166,30.587,156.537,27,17,Frd
167,167,30.509,156.937,27,17,Frd
168,168,30.515,156.906,27,17,Frd
169,169,30.507,156.948,27,17,Frd
170,170,30.728,155.819,27,17,Frd
171,171,30.907,154.916,27,17,Frd
172,172,30.963,154.636,27,17,Frd
173,173,31.022,154.342,28,17,Frd
174,174,30.796,155.475,28,17,Frd
175,175,30.716,155.880,28,17,Frd
176,176,30.662,156.154,28,17,Frd
177,177,30.786,155.525,28,17,Frd
178,178,30.66,156.164,28,17,Frd
179,179,31.091,154.000,28,17,Frd
180,180,30.88,155.052,28,17,Frd
181,181,30.98,154.551,28,17,Frd
182,182,30.955,154.676,28,17,Frd
183,183,31.113,153.891,28,17,Frd
184,184,30.987,154.516,28,17,Frd
185,185,32.26,148.419,27,17,Frd
186,186,52.665,90.914,27,17,Frd
187,187,76.032,62.973,27,17,Frd
188,188,77.472,61.803,17,17,Frd
189,189,106.863,44.805,33,17,Frd
190,190,78.155,61.263,31,17,Frd
191,191,95.039,50.379,31,17,Frd
192,192,54.681,87.562,29,17,Frd
193,193,32.151,148.922,27,17,Frd
194,194,39.118,122.399,26,17,Frd
195,195,78.131,61.282,26,17,Frd
196,196,92.685,51.659,26,17,Frd
197,197,104.892,45.647,26,17,Frd
198,198,62.938,76.075,27,17,Frd
199,199,32.234,148.539,24,17,Frd
200,200,30.712,155.900,22,17,Frd
201,201,30.576,156.593,22,17,Frd
202,202,30.568,156.634,22,17,Frd
203,203,30.654,156.195,22,17,Frd
204,204,30.487,157.051,22,17,Frd
205,205,30.797,155.470,22,17,Frd
206,206,30.716,155.880,22,17,Frd
207,207,30.357,157.723,22,17,Frd
208,208,30.501,156.978,22,17,Frd
209,209,30.359,157.713,22,17,Frd
210,210,30.512,156.922,22,17,Frd
211,211,30.531,156.824,22,17,Frd
212,212,30.428,157.355,22,17,Frd
213,213,30.416,157.417,22,17,Frd
214,214,30.335,157.837,22,17,Frd
215,215,30.225,158.412,22,17,Frd
216,216,30.323,157.900,22,17,Frd
217,217,30.42,157.396,22,17,Frd
218,218,30.473,157.123,22,17,Frd
219,219,30.315,157.942,22,17,Frd
220,220,30.404,157.479,22,17,Frd
221,221,30.514,156.912,22,17,Frd
222,222,30.442,157.283,22,17,Frd
223,223,30.465,157.164,22,17,Frd
224,224,30.481,157.081,22,17,Frd
225,225,30.419,157.402,22,17,Frd
226,226,30.476,157.107,22,17,Frd
227,227,30.416,157.417,22,17,Frd
228,228,30.751,155.702,22,17,Frd
229,229,30.37,157.656,22,17,Frd
230,230,30.385,157.578,22,17,Frd
231,231,30.479,157.092,22,17,Frd
232,232,30.441,157.288,22,17,Frd
233,233,30.683,156.047,22,17,Frd
234,234,30.586,156.542,22,17,Frd
235,235,30.524,156.860,22,17,Frd
236,236,30.709,155.915,22,17,Frd
237,237,30.733,155.793,22,17,Frd
238,238,30.75,155.707,22,17,Frd
239,239,30.517,156.896,22,17,Frd
240,240,30.666,156.134,22,17,Frd
241,241,30.751,155.702,22,17,Frd
242,242,30.564,156.655,22,17,Frd
243,243,30.669,156.119,20,17,Frd
244,244,30.832,155.293,18,17,Frd
245,245,30.759,155.662,16,17,Frd
246,246,30.683,156.047,15,17,Frd
247,247,41.612,115.063,22,17,Frd
248,248,56.364,84.948,31,17,Frd
249,249,30.124,158.943,29,17,Frd
250,250,30.09,159.123,28,17,Frd
251,251,30.042,159.377,27,17,Frd
252,252,30.158,158.764,27,17,Frd
253,253,29.984,159.685,26,17,Frd
254,254,29.956,159.834,26,17,Frd
255,255,29.938,159.931,26,17,Frd
256,256,30.169,158.706,25,17,Frd
257,257,30.117,158.980,25,17,Frd
258,258,30.103,159.054,24,17,Frd
259,259,30.347,157.775,20,17,Frd
260,260,30.584,156.552,20,17,Frd
261,261,30.578,156.583,20,17,Frd
262,262,30.583,156.558,20,17,Frd
263,263,30.398,157.510,20,17,Frd
264,264,30.487,157.051,20,17,Frd
265,265,30.485,157.061,20,17,Frd
266,266,30.068,159.239,20,17,Frd
267,267,30.239,158.339,18,17,Frd
268,268,30.03,159.441,18,17,Frd
269,269,30.12,158.964,17,17,Frd
270,270,30.057,159.297,16,17,Frd
271,271,30.087,159.138,16,17,Frd
272,272,30.146,158.827,16,17,Frd
273,273,30.161,158.748,16,17,Frd
274,274,30.1,159.070,16,17,Frd
275,275,30.194,158.575,16,17,Frd
276,276,30.218,158.449,16,17,Frd
277,277,30.086,159.144,16,17,Frd
278,278,30.165,158.727,16,17,Frd
279,279,30.212,158.480,16,17,Frd
280,280,30.185,158.622,16,17,Frd
281,281,30.208,158.501,16,17,Frd
282,282,30.257,158.244,16,17,Frd
283,283,30.56,156.675,16,17,Frd
284,284,30.208,158.501,16,17,Frd
285,285,30.175,158.674,16,17,Frd
286,286,30.324,157.895,16,17,Frd
287,287,30.275,158.150,16,17,Frd
288,288,30.211,158.485,16,17,Frd
289,289,30.249,158.286,16,17,Frd
290,290,30.369,157.661,16,17,Frd
291,291,30.291,158.067,16,17,Frd
292,292,30.241,158.328,16,17,Frd
293,293,30.713,155.895,16,17,Frd
294,294,30.459,157.195,16,17,Frd
295,295,30.269,158.182,15,17,Frd
296,296,30.945,154.726,15,17,Frd
297,297,30.665,156.139,15,17,Frd
298,298,30.649,156.220,14,17,Frd
299,299,30.396,157.521,14,17,Frd
300,300,30.448,157.252,14,17,Frd
