,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,34,51,Frd
1,1,32.681,146.507,34,51,Frd
2,2,31.28,153.069,34,51,Frd
3,3,31.284,153.049,34,51,Frd
4,4,30.896,154.972,35,51,Frd
5,5,31.142,153.747,35,51,Frd
6,6,30.834,155.283,35,51,Frd
7,7,31.194,153.491,35,51,Frd
8,8,30.985,154.526,35,51,Frd
9,9,30.928,154.811,35,51,Frd
10,10,31.009,154.407,35,51,Frd
11,11,31.043,154.238,35,51,Frd
12,12,30.929,154.806,35,51,Frd
13,13,30.795,155.480,35,51,Frd
14,14,30.759,155.662,35,51,Frd
15,15,30.755,155.682,35,51,Frd
16,16,31.151,153.703,36,51,Frd
17,17,30.82,155.354,36,51,Frd
18,18,30.657,156.180,36,51,Frd
19,19,30.678,156.073,36,51,Frd
20,20,30.95,154.701,36,51,Frd
21,21,30.714,155.890,36,51,Frd
22,22,30.72,155.859,36,51,Frd
23,23,30.799,155.460,36,51,Frd
24,24,30.812,155.394,36,51,Frd
25,25,30.686,156.032,36,51,Frd
26,26,30.776,155.576,36,51,Frd
27,27,30.734,155.788,36,51,Frd
28,28,30.723,155.844,36,51,Frd
29,29,31.179,153.565,36,51,Frd
30,30,30.771,155.601,36,51,Frd
31,31,30.741,155.753,36,51,Frd
32,32,30.837,155.268,36,51,Frd
33,33,30.782,155.545,36,51,Frd
34,34,31.058,154.163,36,51,Frd
35,35,30.977,154.566,36,51,Frd
36,36,31.299,152.976,36,51,Frd
37,37,31.082,154.044,36,51,Frd
38,38,31.459,152.198,35,51,Frd
39,39,31.437,152.305,35,51,Frd
40,40,31.528,151.865,33,51,Frd
41,41,31.541,151.802,31,51,Frd
42,42,31.202,153.452,28,51,Frd
43,43,31.255,153.191,27,51,Frd
44,44,31.078,154.064,24,51,Frd
45,45,31.553,151.745,22,51,Frd
46,46,31.171,153.604,19,51,Frd
47,47,30.862,155.142,17,51,Frd
48,48,31.33,152.825,16,51,Frd
49,49,31.363,152.664,15,51,Frd
50,50,31.222,153.353,16,51,Frd
51,51,31.065,154.128,16,51,Frd
52,52,31.264,153.147,17,51,Frd
53,53,31.157,153.673,14,51,Frd
54,54,31.285,153.045,13,51,Frd
55,55,31.313,152.908,14,51,Frd
56,56,31.513,151.937,15,51,Frd
57,57,31.555,151.735,16,51,Frd
58,58,31.612,151.461,19,51,Frd
59,59,31.741,150.846,20,51,Frd
60,60,31.271,153.113,20,51,Frd
61,61,31.21,153.412,20,51,Frd
62,62,31.261,153.162,20,51,Frd
63,63,31.446,152.261,20,51,Frd
64,64,31.568,151.673,21,51,Frd
65,65,32.02,149.532,22,51,Frd
66,66,31.738,150.860,24,51,Frd
67,67,31.806,150.538,26,51,Frd
68,68,31.584,151.596,27,51,Frd
69,69,32.237,148.525,30,51,Frd
70,70,31.758,150.765,29,51,Frd
71,71,31.849,150.334,30,51,Frd
72,72,58.144,82.347,35,51,Frd
73,73,43.949,108.944,37,51,Frd
74,74,30.639,156.271,37,51,Frd
75,75,30.312,157.957,37,51,Frd
76,76,30.225,158.412,37,51,Frd
77,77,30.041,159.382,37,51,Frd
78,78,30.379,157.609,37,51,Frd
79,79,30.478,157.097,37,51,Frd
80,80,30.56,156.675,37,51,Frd
81,81,30.397,157.516,37,51,Frd
82,82,30.355,157.733,37,51,Frd
83,83,30.651,156.210,37,51,Frd
84,84,30.837,155.268,37,51,Frd
85,85,30.481,157.081,37,51,Frd
86,86,30.713,155.895,37,51,Frd
87,87,30.693,155.996,37,51,Frd
88,88,30.486,157.056,37,51,Frd
89,89,46.525,102.912,37,51,Frd
90,90,72.841,65.732,37,51,Frd
91,91,80.331,59.603,37,51,Frd
92,92,85.536,55.976,37,51,Frd
93,93,86.089,55.617,37,51,Frd
94,94,61.914,77.333,37,51,Frd
95,95,59.746,80.139,37,51,Frd
96,96,51.483,93.002,37,51,Frd
97,97,32.762,146.145,37,51,Frd
98,98,30.999,154.457,37,51,Frd
99,99,30.856,155.172,37,51,Frd
100,100,31.057,154.168,37,51,Frd
