,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,9,22,Frd
1,1,31.672,151.175,7,22,Frd
2,2,30.693,155.996,8,22,Frd
3,3,30.525,156.855,8,22,Frd
4,4,30.221,158.433,8,22,Frd
5,5,30.235,158.360,8,22,Frd
6,6,30.231,158.380,8,22,Frd
7,7,30.196,158.564,8,22,Frd
8,8,30.147,158.822,8,22,Frd
9,9,30.251,158.276,8,22,Frd
10,10,30.243,158.318,8,22,Frd
11,11,30.33,157.864,8,22,Frd
12,12,30.238,158.344,8,22,Frd
13,13,30.339,157.817,8,22,Frd
14,14,30.351,157.754,8,22,Frd
15,15,30.366,157.676,8,22,Frd
16,16,30.369,157.661,8,22,Frd
17,17,30.294,158.051,8,22,Frd
18,18,30.284,158.103,8,22,Frd
19,19,30.345,157.785,8,22,Frd
20,20,30.259,158.234,8,22,Frd
21,21,30.467,157.154,8,22,Frd
22,22,30.481,157.081,8,22,Frd
23,23,30.373,157.640,8,22,Frd
24,24,30.373,157.640,8,22,Frd
25,25,30.352,157.749,8,22,Frd
26,26,30.425,157.371,8,22,Frd
27,27,30.44,157.293,8,22,Frd
28,28,30.416,157.417,8,22,Frd
29,29,30.428,157.355,8,22,Frd
30,30,30.442,157.283,8,22,Frd
31,31,30.407,157.464,8,22,Frd
32,32,30.455,157.216,8,22,Frd
33,33,30.447,157.257,8,22,Frd
34,34,30.45,157.241,8,22,Frd
35,35,30.425,157.371,8,22,Frd
36,36,30.698,155.971,8,22,Frd
37,37,30.468,157.148,8,22,Frd
38,38,30.586,156.542,8,22,Frd
39,39,30.573,156.609,8,22,Frd
40,40,30.546,156.747,7,22,Frd
41,41,30.705,155.936,5,22,Frd
42,42,30.591,156.517,5,22,Frd
43,43,30.583,156.558,5,22,Frd
44,44,54.795,87.380,21,22,Frd
45,45,43.379,110.376,25,22,Frd
46,46,30.613,156.404,23,22,Frd
47,47,30.539,156.783,22,22,Frd
48,48,30.612,156.409,21,22,Frd
49,49,30.375,157.630,20,22,Frd
50,50,30.588,156.532,20,22,Frd
51,51,30.46,157.190,19,22,Frd
52,52,30.179,158.653,19,22,Frd
53,53,30.178,158.659,16,22,Frd
54,54,30.213,158.475,15,22,Frd
55,55,30.244,158.312,15,22,Frd
56,56,30.231,158.380,14,22,Frd
57,57,30.376,157.624,14,22,Frd
58,58,30.334,157.843,14,22,Frd
59,59,30.433,157.329,14,22,Frd
60,60,30.385,157.578,14,22,Frd
61,61,30.348,157.770,14,22,Frd
62,62,30.384,157.583,14,22,Frd
63,63,30.524,156.860,14,22,Frd
64,64,30.354,157.739,14,22,Frd
65,65,30.473,157.123,14,22,Frd
66,66,30.697,155.976,13,22,Frd
67,67,30.595,156.496,13,22,Frd
68,68,30.543,156.763,12,22,Frd
69,69,30.595,156.496,12,22,Frd
70,70,30.45,157.241,12,22,Frd
71,71,30.568,156.634,8,22,Frd
72,72,30.35,157.759,8,22,Frd
73,73,30.301,158.015,8,22,Frd
74,74,30.377,157.619,8,22,Frd
75,75,30.414,157.428,8,22,Frd
76,76,30.348,157.770,8,22,Frd
77,77,30.474,157.118,8,22,Frd
78,78,30.401,157.495,8,22,Frd
79,79,30.407,157.464,8,22,Frd
80,80,30.426,157.365,8,22,Frd
81,81,30.308,157.978,8,22,Frd
82,82,30.369,157.661,8,22,Frd
83,83,30.737,155.773,9,22,Frd
84,84,30.528,156.840,9,22,Frd
85,85,30.677,156.078,9,22,Frd
86,86,30.599,156.476,9,22,Frd
87,87,30.566,156.645,9,22,Frd
88,88,30.717,155.875,9,22,Frd
89,89,30.703,155.946,9,22,Frd
90,90,30.979,154.556,9,22,Frd
