,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,36,42,Tyt
1,1,32.328,148.107,32,42,Tyt
2,2,31.169,153.614,32,42,Tyt
3,3,31.345,152.752,32,42,Tyt
4,4,30.949,154.706,33,42,Tyt
5,5,31.387,152.547,36,42,Tyt
6,6,31.099,153.960,36,42,Tyt
7,7,31.034,154.282,36,42,Tyt
8,8,30.972,154.591,36,42,Tyt
9,9,30.948,154.711,36,42,Tyt
10,10,30.984,154.531,36,42,Tyt
11,11,31.131,153.802,36,42,Tyt
12,12,30.865,155.127,36,42,Tyt
13,13,30.932,154.791,36,42,Tyt
14,14,30.632,156.307,36,42,Tyt
15,15,30.721,155.854,36,42,Tyt
16,16,30.601,156.465,35,42,Tyt
17,17,30.61,156.419,35,42,Tyt
18,18,30.79,155.505,35,42,Tyt
19,19,30.7,155.961,34,42,Tyt
20,20,30.645,156.241,34,42,Tyt
21,21,30.627,156.333,34,42,Tyt
22,22,30.657,156.180,34,42,Tyt
23,23,30.904,154.931,34,42,Tyt
24,24,30.762,155.647,34,42,Tyt
25,25,30.573,156.609,34,42,Tyt
26,26,30.77,155.606,34,42,Tyt
27,27,30.658,156.175,34,42,Tyt
28,28,30.841,155.248,34,42,Tyt
29,29,31.059,154.158,34,42,Tyt
30,30,30.825,155.328,34,42,Tyt
31,31,30.746,155.728,34,42,Tyt
32,32,30.87,155.102,34,42,Tyt
33,33,30.865,155.127,33,42,Tyt
34,34,30.72,155.859,33,42,Tyt
35,35,30.533,156.814,33,42,Tyt
36,36,30.58,156.573,33,42,Tyt
37,37,30.55,156.727,33,42,Tyt
38,38,30.625,156.343,32,42,Tyt
39,39,30.797,155.470,32,42,Tyt
40,40,30.787,155.520,30,42,Tyt
41,41,30.825,155.328,28,42,Tyt
42,42,30.865,155.127,24,42,Tyt
43,43,30.867,155.117,23,42,Tyt
44,44,30.855,155.177,19,42,Tyt
45,45,31.026,154.322,17,42,Tyt
46,46,30.941,154.746,13,42,Tyt
47,47,31.11,153.905,12,42,Tyt
48,48,31.433,152.324,10,42,Tyt
49,49,30.948,154.711,9,42,Tyt
50,50,30.873,155.087,9,42,Tyt
51,51,30.699,155.966,9,42,Tyt
52,52,30.631,156.312,7,42,Tyt
53,53,30.688,156.022,5,42,Tyt
54,54,30.888,155.012,5,42,Tyt
55,55,30.902,154.941,5,42,Tyt
56,56,31.042,154.243,6,42,Tyt
57,57,30.754,155.687,6,42,Tyt
58,58,31.114,153.886,8,42,Tyt
59,59,31.203,153.447,9,42,Tyt
60,60,31.423,152.372,9,42,Tyt
61,61,31.797,150.580,11,42,Tyt
62,62,31.861,150.278,11,42,Tyt
63,63,31.449,152.246,12,42,Tyt
64,64,31.725,150.922,12,42,Tyt
65,65,31.685,151.113,12,42,Tyt
66,66,32.099,149.164,14,42,Tyt
67,67,32.541,147.137,18,42,Tyt
68,68,31.672,151.175,17,42,Tyt
69,69,31.807,150.533,17,42,Tyt
70,70,60.08,79.694,34,42,Tyt
71,71,43.622,109.761,36,42,Tyt
72,72,30.735,155.783,36,42,Tyt
73,73,30.487,157.051,35,42,Tyt
74,74,30.192,158.585,35,42,Tyt
75,75,30.185,158.622,35,42,Tyt
76,76,30.263,158.213,35,42,Tyt
77,77,30.313,157.952,35,42,Tyt
78,78,30.397,157.516,35,42,Tyt
79,79,30.558,156.686,35,42,Tyt
80,80,30.579,156.578,35,42,Tyt
81,81,30.768,155.616,35,42,Tyt
82,82,30.683,156.047,35,42,Tyt
83,83,30.626,156.338,35,42,Tyt
84,84,30.637,156.282,35,42,Tyt
85,85,30.776,155.576,35,42,Tyt
86,86,30.822,155.344,35,42,Tyt
87,87,30.516,156.901,35,42,Tyt
88,88,30.634,156.297,35,42,Tyt
89,89,34.768,137.713,35,42,Tyt
90,90,43.302,110.572,35,42,Tyt
91,91,66.973,71.491,35,42,Tyt
92,92,69.372,69.019,35,42,Tyt
93,93,84.122,56.917,34,42,Tyt
94,94,86.332,55.460,33,42,Tyt
95,95,61.603,77.723,33,42,Tyt
96,96,61.929,77.314,33,42,Tyt
97,97,47.047,101.771,34,42,Tyt
98,98,32.111,149.108,34,42,Tyt
99,99,30.801,155.449,33,42,Tyt
100,100,30.967,154.616,32,42,Tyt
101,101,30.779,155.561,32,42,Tyt
102,102,30.948,154.711,32,42,Tyt
103,103,30.863,155.137,32,42,Tyt
104,104,30.916,154.871,32,42,Tyt
105,105,34.362,139.340,32,42,Tyt
106,106,52.235,91.663,31,42,Tyt
107,107,91.234,52.480,34,42,Tyt
108,108,78.197,61.230,34,42,Tyt
109,109,83.286,57.489,33,42,Tyt
110,110,94.218,50.818,33,42,Tyt
111,111,54.002,88.663,31,42,Tyt
112,112,32.128,149.029,30,42,Tyt
