,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,30,4,Frd
1,1,32.44,147.596,29,4,Frd
2,2,31.253,153.201,30,4,Frd
3,3,31.176,153.580,30,4,Frd
4,4,30.864,155.132,31,4,Frd
5,5,31.038,154.263,31,4,Frd
6,6,31.105,153.930,31,4,Frd
7,7,30.962,154.641,31,4,Frd
8,8,30.909,154.906,31,4,Frd
9,9,30.88,155.052,30,4,Frd
10,10,30.701,155.956,30,4,Frd
11,11,30.583,156.558,30,4,Frd
12,12,30.785,155.530,30,4,Frd
13,13,30.768,155.616,30,4,Frd
14,14,30.842,155.243,30,4,Frd
15,15,30.76,155.657,30,4,Frd
16,16,30.732,155.799,30,4,Frd
17,17,30.625,156.343,30,4,Frd
18,18,30.609,156.425,30,4,Frd
19,19,30.64,156.266,29,4,Frd
20,20,30.568,156.634,29,4,Frd
21,21,30.53,156.829,29,4,Frd
22,22,30.561,156.670,29,4,Frd
23,23,30.6,156.471,29,4,Frd
24,24,30.615,156.394,29,4,Frd
25,25,30.581,156.568,29,4,Frd
26,26,30.707,155.925,29,4,Frd
27,27,30.825,155.328,29,4,Frd
28,28,30.769,155.611,29,4,Frd
29,29,30.674,156.093,29,4,Frd
30,30,30.749,155.712,29,4,Frd
31,31,30.722,155.849,29,4,Frd
32,32,30.756,155.677,29,4,Frd
33,33,30.79,155.505,29,4,Frd
34,34,30.709,155.915,29,4,Frd
35,35,30.606,156.440,29,4,Frd
36,36,30.707,155.925,29,4,Frd
37,37,30.622,156.358,29,4,Frd
38,38,30.588,156.532,29,4,Frd
39,39,30.689,156.017,29,4,Frd
40,40,41.871,114.351,34,4,Frd
41,41,55.568,86.165,36,4,Frd
42,42,30.501,156.978,36,4,Frd
43,43,30.388,157.562,35,4,Frd
44,44,30.725,155.834,35,4,Frd
45,45,30.363,157.692,35,4,Frd
46,46,30.543,156.763,34,4,Frd
47,47,30.399,157.505,33,4,Frd
48,48,30.312,157.957,33,4,Frd
49,49,30.291,158.067,32,4,Frd
50,50,30.286,158.093,31,4,Frd
51,51,30.303,158.004,31,4,Frd
52,52,30.367,157.671,31,4,Frd
53,53,30.319,157.921,29,4,Frd
54,54,30.22,158.438,28,4,Frd
55,55,30.27,158.176,28,4,Frd
56,56,30.298,158.030,28,4,Frd
57,57,30.459,157.195,28,4,Frd
58,58,30.414,157.428,28,4,Frd
59,59,30.455,157.216,28,4,Frd
60,60,30.291,158.067,28,4,Frd
61,61,30.344,157.791,28,4,Frd
62,62,30.397,157.516,28,4,Frd
63,63,30.437,157.309,28,4,Frd
64,64,30.329,157.869,28,4,Frd
65,65,30.418,157.407,28,4,Frd
66,66,30.547,156.742,28,4,Frd
67,67,30.563,156.660,28,4,Frd
68,68,30.434,157.324,28,4,Frd
69,69,30.443,157.278,26,4,Frd
70,70,30.476,157.107,24,4,Frd
71,71,30.596,156.491,25,4,Frd
72,72,30.751,155.702,24,4,Frd
73,73,30.636,156.287,24,4,Frd
74,74,30.574,156.604,24,4,Frd
75,75,30.534,156.809,24,4,Frd
76,76,30.483,157.071,24,4,Frd
77,77,30.538,156.788,23,4,Frd
78,78,30.743,155.743,23,4,Frd
79,79,30.758,155.667,23,4,Frd
80,80,30.741,155.753,23,4,Frd
81,81,30.598,156.481,23,4,Frd
82,82,30.632,156.307,23,4,Frd
83,83,30.638,156.277,23,4,Frd
84,84,30.687,156.027,23,4,Frd
85,85,30.611,156.414,23,4,Frd
86,86,30.834,155.283,23,4,Frd
87,87,30.767,155.621,23,4,Frd
88,88,30.73,155.809,23,4,Frd
89,89,30.872,155.092,23,4,Frd
90,90,33.936,141.089,23,4,Frd
91,91,43.076,111.152,23,4,Frd
92,92,67.394,71.045,23,4,Frd
93,93,73.885,64.803,15,4,Frd
94,94,99.422,48.158,21,4,Frd
95,95,84.632,56.574,21,4,Frd
96,96,90.58,52.859,21,4,Frd
97,97,61.902,77.348,21,4,Frd
98,98,31.827,150.438,19,4,Frd
99,99,30.898,154.961,19,4,Frd
100,100,30.909,154.906,21,4,Frd
101,101,30.685,156.037,21,4,Frd
102,102,30.554,156.706,21,4,Frd
103,103,30.663,156.149,21,4,Frd
104,104,30.865,155.127,22,4,Frd
105,105,30.639,156.271,20,4,Frd
106,106,53.392,89.676,20,4,Frd
107,107,69.184,69.207,15,4,Frd
108,108,95.95,49.901,21,4,Frd
109,109,84.884,56.406,20,4,Frd
110,110,89.12,53.725,20,4,Frd
111,111,65.759,72.811,19,4,Frd
112,112,32.328,148.107,21,4,Frd
