,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,31,10,Chv
1,1,32.136,148.992,27,10,Chv
2,2,31.038,154.263,26,10,Chv
3,3,30.624,156.348,23,10,Chv
4,4,31.09,154.005,22,10,Chv
5,5,31.197,153.476,24,10,Chv
6,6,30.672,156.103,23,10,Chv
7,7,30.653,156.200,23,10,Chv
8,8,30.684,156.042,23,10,Chv
9,9,30.865,155.127,24,10,Chv
10,10,31.197,153.476,26,10,Chv
11,11,30.787,155.520,26,10,Chv
12,12,30.642,156.256,26,10,Chv
13,13,30.51,156.932,26,10,Chv
14,14,30.628,156.328,26,10,Chv
15,15,30.666,156.134,26,10,Chv
16,16,30.68,156.063,26,10,Chv
17,17,30.699,155.966,26,10,Chv
18,18,30.57,156.624,26,10,Chv
19,19,30.608,156.430,26,10,Chv
20,20,30.631,156.312,26,10,Chv
21,21,30.737,155.773,26,10,Chv
22,22,30.608,156.430,26,10,Chv
23,23,30.639,156.271,26,10,Chv
24,24,30.58,156.573,26,10,Chv
25,25,30.598,156.481,26,10,Chv
26,26,30.675,156.088,26,10,Chv
27,27,30.867,155.117,26,10,Chv
28,28,30.639,156.271,26,10,Chv
29,29,30.691,156.007,26,10,Chv
30,30,30.725,155.834,26,10,Chv
31,31,30.571,156.619,26,10,Chv
32,32,30.642,156.256,26,10,Chv
33,33,30.533,156.814,26,10,Chv
34,34,30.669,156.119,26,10,Chv
35,35,30.654,156.195,26,10,Chv
36,36,30.634,156.297,26,10,Chv
37,37,30.755,155.682,26,10,Chv
38,38,30.863,155.137,26,10,Chv
39,39,30.703,155.946,26,10,Chv
40,40,30.793,155.490,25,10,Chv
41,41,30.758,155.667,22,10,Chv
42,42,30.785,155.530,19,10,Chv
43,43,30.773,155.591,17,10,Chv
44,44,30.656,156.185,14,10,Chv
45,45,30.606,156.440,10,10,Chv
46,46,30.572,156.614,9,10,Chv
47,47,30.706,155.930,8,10,Chv
48,48,30.736,155.778,7,10,Chv
49,49,30.682,156.052,7,10,Chv
50,50,31.027,154.317,7,10,Chv
51,51,30.703,155.946,7,10,Chv
52,52,30.68,156.063,5,10,Chv
53,53,30.724,155.839,4,10,Chv
54,54,30.758,155.667,4,10,Chv
55,55,31.247,153.231,4,10,Chv
56,56,30.771,155.601,4,10,Chv
57,57,31.052,154.193,4,10,Chv
58,58,31.123,153.841,4,10,Chv
59,59,31.081,154.049,4,10,Chv
60,60,31.436,152.309,4,10,Chv
61,61,31.451,152.237,4,10,Chv
62,62,31.598,151.529,4,10,Chv
63,63,31.277,153.084,5,10,Chv
64,64,31.72,150.946,7,10,Chv
65,65,31.053,154.188,7,10,Chv
66,66,31.506,151.971,8,10,Chv
67,67,31.481,152.092,8,10,Chv
68,68,31.461,152.188,8,10,Chv
69,69,31.199,153.466,8,10,Chv
70,70,31.015,154.377,8,10,Chv
71,71,43.147,110.969,16,10,Chv
72,72,62.589,76.499,33,10,Chv
73,73,30.827,155.318,33,10,Chv
74,74,30.711,155.905,33,10,Chv
75,75,31.072,154.094,33,10,Chv
76,76,30.725,155.834,33,10,Chv
77,77,30.709,155.915,33,10,Chv
78,78,30.833,155.288,33,10,Chv
79,79,30.906,154.921,33,10,Chv
80,80,30.808,155.414,33,10,Chv
81,81,30.549,156.732,33,10,Chv
82,82,30.576,156.593,33,10,Chv
83,83,30.728,155.819,33,10,Chv
84,84,30.969,154.606,33,10,Chv
85,85,31.75,150.803,33,10,Chv
86,86,30.896,154.972,33,10,Chv
87,87,30.614,156.399,33,10,Chv
88,88,30.894,154.982,33,10,Chv
89,89,31.957,149.826,33,10,Chv
90,90,41.072,116.576,33,10,Chv
91,91,70.224,68.182,33,10,Chv
92,92,73.473,65.167,33,10,Chv
93,93,84.332,56.776,32,10,Chv
94,94,85.889,55.746,31,10,Chv
95,95,61.73,77.564,31,10,Chv
96,96,61.254,78.166,31,10,Chv
97,97,48.799,98.117,33,10,Chv
98,98,31.999,149.630,32,10,Chv
99,99,31.028,154.312,32,10,Chv
100,100,31.278,153.079,34,10,Chv
101,101,31.026,154.322,34,10,Chv
102,102,30.828,155.313,34,10,Chv
103,103,30.872,155.092,34,10,Chv
104,104,30.87,155.102,34,10,Chv
105,105,34.852,137.381,34,10,Chv
106,106,52.529,91.150,33,10,Chv
107,107,67.729,70.693,22,10,Chv
108,108,97.693,49.011,30,10,Chv
109,109,84.007,56.995,29,10,Chv
110,110,93.577,51.166,29,10,Chv
111,111,56.594,84.603,29,10,Chv
112,112,32.103,149.145,28,10,Chv
113,113,31.915,150.023,23,10,Chv
114,114,67.251,71.196,25,10,Chv
115,115,90.215,53.073,24,10,Chv
116,116,86.06,55.636,23,10,Chv
117,117,92.953,51.510,23,10,Chv
118,118,64.924,73.748,21,10,Chv
119,119,44.039,108.722,21,10,Chv
120,120,75.643,63.297,22,10,Chv
121,121,89.415,53.548,20,10,Chv
122,122,92.628,51.691,20,10,Chv
123,123,66.466,72.037,21,10,Chv
124,124,32.458,147.514,21,10,Chv
125,125,31.024,154.332,20,10,Chv
126,126,30.713,155.895,20,10,Chv
127,127,30.602,156.460,20,10,Chv
128,128,30.495,157.009,20,10,Chv
129,129,30.476,157.107,20,10,Chv
130,130,31.757,150.770,21,10,Chv
131,131,49.106,97.503,19,10,Chv
132,132,74.342,64.405,19,10,Chv
133,133,88.085,54.357,15,10,Chv
134,134,99.76,47.995,22,10,Chv
135,135,96.836,49.444,22,10,Chv
136,136,63.062,75.925,21,10,Chv
137,137,32.213,148.636,20,10,Chv
138,138,30.871,155.097,19,10,Chv
139,139,30.725,155.834,19,10,Chv
140,140,30.59,156.522,19,10,Chv
141,141,30.886,155.022,19,10,Chv
142,142,30.579,156.578,19,10,Chv
143,143,30.651,156.210,20,10,Chv
144,144,30.429,157.350,20,10,Chv
145,145,30.471,157.133,20,10,Chv
146,146,30.586,156.542,20,10,Chv
147,147,30.484,157.066,20,10,Chv
148,148,30.567,156.640,20,10,Chv
149,149,30.395,157.526,20,10,Chv
150,150,30.37,157.656,20,10,Chv
151,151,30.997,154.467,20,10,Chv
152,152,30.608,156.430,20,10,Chv
153,153,30.8,155.455,21,10,Chv
154,154,30.783,155.540,23,10,Chv
155,155,30.553,156.711,23,10,Chv
156,156,30.594,156.501,23,10,Chv
157,157,30.52,156.881,23,10,Chv
158,158,30.386,157.573,23,10,Chv
159,159,30.535,156.804,23,10,Chv
160,160,30.372,157.645,23,10,Chv
161,161,30.55,156.727,23,10,Chv
162,162,30.563,156.660,23,10,Chv
163,163,30.727,155.824,23,10,Chv
164,164,30.564,156.655,23,10,Chv
