,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,22,54,Tyt
1,1,32.33,148.098,21,54,Tyt
2,2,31.023,154.337,21,54,Tyt
3,3,30.99,154.501,22,54,Tyt
4,4,31.168,153.619,23,54,Tyt
5,5,30.654,156.195,21,54,Tyt
6,6,30.592,156.512,21,54,Tyt
7,7,30.66,156.164,21,54,Tyt
8,8,30.522,156.870,20,54,Tyt
9,9,30.607,156.435,20,54,Tyt
10,10,30.425,157.371,20,54,Tyt
11,11,30.422,157.386,19,54,Tyt
12,12,30.355,157.733,19,54,Tyt
13,13,30.364,157.687,19,54,Tyt
14,14,30.448,157.252,19,54,Tyt
15,15,30.419,157.402,19,54,Tyt
16,16,30.43,157.345,19,54,Tyt
17,17,30.493,157.020,19,54,Tyt
18,18,30.42,157.396,19,54,Tyt
19,19,30.452,157.231,19,54,Tyt
20,20,30.452,157.231,19,54,Tyt
21,21,30.486,157.056,19,54,Tyt
22,22,30.615,156.394,19,54,Tyt
23,23,30.556,156.696,19,54,Tyt
24,24,30.734,155.788,19,54,Tyt
25,25,30.774,155.586,19,54,Tyt
26,26,30.503,156.968,19,54,Tyt
27,27,30.447,157.257,19,54,Tyt
28,28,30.494,157.014,19,54,Tyt
29,29,30.626,156.338,19,54,Tyt
30,30,30.535,156.804,19,54,Tyt
31,31,30.575,156.599,19,54,Tyt
32,32,30.555,156.701,19,54,Tyt
33,33,30.639,156.271,19,54,Tyt
34,34,30.701,155.956,19,54,Tyt
35,35,30.875,155.077,19,54,Tyt
36,36,30.654,156.195,19,54,Tyt
37,37,30.594,156.501,19,54,Tyt
38,38,30.703,155.946,19,54,Tyt
39,39,30.826,155.323,19,54,Tyt
40,40,30.966,154.621,18,54,Tyt
41,41,30.691,156.007,16,54,Tyt
42,42,30.72,155.859,14,54,Tyt
43,43,30.634,156.297,11,54,Tyt
44,44,30.546,156.747,9,54,Tyt
45,45,30.566,156.645,5,54,Tyt
46,46,30.416,157.417,5,54,Tyt
47,47,30.657,156.180,4,54,Tyt
48,48,30.538,156.788,3,54,Tyt
49,49,30.558,156.686,3,54,Tyt
50,50,30.552,156.716,3,54,Tyt
51,51,30.733,155.793,3,54,Tyt
52,52,41.949,114.139,6,54,Tyt
53,53,56.702,84.441,26,54,Tyt
54,54,30.417,157.412,25,54,Tyt
55,55,30.031,159.435,24,54,Tyt
56,56,30.072,159.218,23,54,Tyt
57,57,30.008,159.557,23,54,Tyt
58,58,29.955,159.840,23,54,Tyt
59,59,30.045,159.361,23,54,Tyt
60,60,29.99,159.653,23,54,Tyt
61,61,30.258,158.239,22,54,Tyt
62,62,30.218,158.449,22,54,Tyt
63,63,30.29,158.072,22,54,Tyt
64,64,30.399,157.505,22,54,Tyt
65,65,30.603,156.455,21,54,Tyt
66,66,30.291,158.067,21,54,Tyt
67,67,30.184,158.627,21,54,Tyt
68,68,30.152,158.795,21,54,Tyt
69,69,30.27,158.176,20,54,Tyt
70,70,30.113,159.001,18,54,Tyt
71,71,30.147,158.822,17,54,Tyt
72,72,30.189,158.601,16,54,Tyt
73,73,30.665,156.139,16,54,Tyt
74,74,30.341,157.806,16,54,Tyt
75,75,30.278,158.135,16,54,Tyt
76,76,30.621,156.363,14,54,Tyt
77,77,30.385,157.578,14,54,Tyt
78,78,30.293,158.056,14,54,Tyt
79,79,30.418,157.407,14,54,Tyt
80,80,30.311,157.962,14,54,Tyt
81,81,30.36,157.708,14,54,Tyt
82,82,30.259,158.234,14,54,Tyt
83,83,30.199,158.548,14,54,Tyt
84,84,30.278,158.135,14,54,Tyt
85,85,30.291,158.067,14,54,Tyt
86,86,30.222,158.428,14,54,Tyt
87,87,30.249,158.286,14,54,Tyt
88,88,30.316,157.936,14,54,Tyt
89,89,30.398,157.510,14,54,Tyt
90,90,30.513,156.917,14,54,Tyt
91,91,46.472,103.030,14,54,Tyt
92,92,71.814,66.672,14,54,Tyt
93,93,77.934,61.437,9,54,Tyt
94,94,97.108,49.306,13,54,Tyt
95,95,84.8,56.462,13,54,Tyt
96,96,87.896,54.473,13,54,Tyt
97,97,70.185,68.220,14,54,Tyt
98,98,32.014,149.560,14,54,Tyt
99,99,30.588,156.532,14,54,Tyt
100,100,30.851,155.198,15,54,Tyt
101,101,30.74,155.758,16,54,Tyt
102,102,30.457,157.205,16,54,Tyt
103,103,30.489,157.040,16,54,Tyt
104,104,30.481,157.081,16,54,Tyt
105,105,30.999,154.457,16,54,Tyt
106,106,52.943,90.437,16,54,Tyt
107,107,68.424,69.975,11,54,Tyt
108,108,90.724,52.775,12,54,Tyt
109,109,85.311,56.124,11,54,Tyt
110,110,86.889,55.105,11,54,Tyt
111,111,74.326,64.419,12,54,Tyt
112,112,32.235,148.534,12,54,Tyt
113,113,31.113,153.891,12,54,Tyt
114,114,64.249,74.523,11,54,Tyt
115,115,88.408,54.158,11,54,Tyt
116,116,86.548,55.322,11,54,Tyt
117,117,87.112,54.964,11,54,Tyt
118,118,76.608,62.500,11,54,Tyt
119,119,42.537,112.561,10,54,Tyt
120,120,74.792,64.018,11,54,Tyt
121,121,87.339,54.821,11,54,Tyt
122,122,88.212,54.278,11,54,Tyt
123,123,75.3,63.586,12,54,Tyt
124,124,32.226,148.576,11,54,Tyt
125,125,30.424,157.376,10,54,Tyt
126,126,30.238,158.344,10,54,Tyt
127,127,30.319,157.921,9,54,Tyt
128,128,30.396,157.521,9,54,Tyt
129,129,30.288,158.082,9,54,Tyt
130,130,30.342,157.801,10,54,Tyt
131,131,46.593,102.762,10,54,Tyt
132,132,74.081,64.632,10,54,Tyt
133,133,91.979,52.055,10,54,Tyt
134,134,94.665,50.578,10,54,Tyt
135,135,91.558,52.295,10,54,Tyt
136,136,75.405,63.497,9,54,Tyt
137,137,32.164,148.862,9,54,Tyt
138,138,30.412,157.438,8,54,Tyt
139,139,30.467,157.154,9,54,Tyt
140,140,30.505,156.958,8,54,Tyt
141,141,30.371,157.650,8,54,Tyt
142,142,30.278,158.135,8,54,Tyt
143,143,30.065,159.255,8,54,Tyt
144,144,29.984,159.685,8,54,Tyt
145,145,30.068,159.239,8,54,Tyt
146,146,30.065,159.255,8,54,Tyt
147,147,30.119,158.969,8,54,Tyt
148,148,29.953,159.850,8,54,Tyt
149,149,30.118,158.975,8,54,Tyt
150,150,30.206,158.512,8,54,Tyt
151,151,30.233,158.370,8,54,Tyt
152,152,30.277,158.140,8,54,Tyt
153,153,30.152,158.795,8,54,Tyt
154,154,30.251,158.276,8,54,Tyt
155,155,30.212,158.480,8,54,Tyt
156,156,30.223,158.422,8,54,Tyt
157,157,30.373,157.640,8,54,Tyt
158,158,30.232,158.375,8,54,Tyt
159,159,30.459,157.195,8,54,Tyt
160,160,30.394,157.531,8,54,Tyt
161,161,30.331,157.858,8,54,Tyt
162,162,30.356,157.728,8,54,Tyt
163,163,30.449,157.247,8,54,Tyt
164,164,30.479,157.092,8,54,Tyt
165,165,30.562,156.665,8,54,Tyt
166,166,30.547,156.742,8,54,Tyt
167,167,30.481,157.081,8,54,Tyt
168,168,30.579,156.578,8,54,Tyt
169,169,30.538,156.788,8,54,Tyt
170,170,31.064,154.133,8,54,Tyt
171,171,31.244,153.245,8,54,Tyt
172,172,31.604,151.500,10,54,Tyt
173,173,31.189,153.516,11,54,Tyt
174,174,31.127,153.821,12,54,Tyt
175,175,31.763,150.741,14,54,Tyt
176,176,31.232,153.304,14,54,Tyt
177,177,31.041,154.248,14,54,Tyt
178,178,31.443,152.276,16,54,Tyt
179,179,31.487,152.063,16,54,Tyt
180,180,31.447,152.256,18,54,Tyt
181,181,31.05,154.203,18,54,Tyt
182,182,31.083,154.039,18,54,Tyt
183,183,31.552,151.749,20,54,Tyt
184,184,31.671,151.179,21,54,Tyt
185,185,32.24,148.511,22,54,Tyt
186,186,54.719,87.502,22,54,Tyt
187,187,75.116,63.741,22,54,Tyt
188,188,79.54,60.196,14,54,Tyt
189,189,105.81,45.251,28,54,Tyt
190,190,78.212,61.218,27,54,Tyt
191,191,93.82,51.034,27,54,Tyt
192,192,58.558,81.765,28,54,Tyt
193,193,32.284,148.309,28,54,Tyt
194,194,39.763,120.413,28,54,Tyt
195,195,78.764,60.789,28,54,Tyt
196,196,92.427,51.803,29,54,Tyt
197,197,105.966,45.184,29,54,Tyt
198,198,60.726,78.846,26,54,Tyt
199,199,32.493,147.355,28,54,Tyt
200,200,31.219,153.368,29,54,Tyt
201,201,31.046,154.223,30,54,Tyt
202,202,30.565,156.650,29,54,Tyt
203,203,30.691,156.007,29,54,Tyt
204,204,30.563,156.660,28,54,Tyt
205,205,30.867,155.117,29,54,Tyt
206,206,30.749,155.712,29,54,Tyt
207,207,30.672,156.103,28,54,Tyt
208,208,30.971,154.596,29,54,Tyt
209,209,30.636,156.287,29,54,Tyt
210,210,30.656,156.185,29,54,Tyt
211,211,30.49,157.035,29,54,Tyt
212,212,30.853,155.188,30,54,Tyt
213,213,30.531,156.824,30,54,Tyt
214,214,30.52,156.881,30,54,Tyt
215,215,30.42,157.396,30,54,Tyt
216,216,30.316,157.936,30,54,Tyt
217,217,30.37,157.656,30,54,Tyt
218,218,30.577,156.588,30,54,Tyt
219,219,30.437,157.309,30,54,Tyt
220,220,30.456,157.210,30,54,Tyt
221,221,30.483,157.071,30,54,Tyt
222,222,30.304,157.999,30,54,Tyt
223,223,30.427,157.360,30,54,Tyt
224,224,30.669,156.119,30,54,Tyt
225,225,30.523,156.865,30,54,Tyt
226,226,30.523,156.865,30,54,Tyt
227,227,30.488,157.045,30,54,Tyt
228,228,30.559,156.681,30,54,Tyt
229,229,30.484,157.066,30,54,Tyt
230,230,30.44,157.293,30,54,Tyt
231,231,30.489,157.040,30,54,Tyt
232,232,30.625,156.343,30,54,Tyt
233,233,30.717,155.875,30,54,Tyt
234,234,30.58,156.573,30,54,Tyt
235,235,30.639,156.271,30,54,Tyt
236,236,30.556,156.696,30,54,Tyt
237,237,30.643,156.251,30,54,Tyt
238,238,30.553,156.711,30,54,Tyt
239,239,30.675,156.088,30,54,Tyt
240,240,30.488,157.045,30,54,Tyt
241,241,30.661,156.159,30,54,Tyt
242,242,30.806,155.424,30,54,Tyt
243,243,30.686,156.032,28,54,Tyt
244,244,30.676,156.083,26,54,Tyt
245,245,30.739,155.763,25,54,Tyt
246,246,31.041,154.248,22,54,Tyt
247,247,30.975,154.576,19,54,Tyt
248,248,30.833,155.288,17,54,Tyt
249,249,30.793,155.490,14,54,Tyt
250,250,30.792,155.495,9,54,Tyt
251,251,30.501,156.978,8,54,Tyt
252,252,30.838,155.263,8,54,Tyt
253,253,30.502,156.973,8,54,Tyt
254,254,30.452,157.231,8,54,Tyt
255,255,30.722,155.849,7,54,Tyt
256,256,30.755,155.682,7,54,Tyt
257,257,30.953,154.686,6,54,Tyt
258,258,41.874,114.343,9,54,Tyt
259,259,56.656,84.510,32,54,Tyt
260,260,29.99,159.653,31,54,Tyt
261,261,29.849,160.407,31,54,Tyt
262,262,29.8,160.671,31,54,Tyt
263,263,29.856,160.370,31,54,Tyt
264,264,29.919,160.032,31,54,Tyt
265,265,29.928,159.984,31,54,Tyt
266,266,29.92,160.027,31,54,Tyt
267,267,30.076,159.197,31,54,Tyt
268,268,30.176,158.669,30,54,Tyt
269,269,30.307,157.983,30,54,Tyt
270,270,30.755,155.682,31,54,Tyt
271,271,30.609,156.425,31,54,Tyt
272,272,30.434,157.324,31,54,Tyt
273,273,30.397,157.516,31,54,Tyt
274,274,30.361,157.702,31,54,Tyt
275,275,30.241,158.328,31,54,Tyt
276,276,30.485,157.061,31,54,Tyt
277,277,30.487,157.051,31,54,Tyt
278,278,30.666,156.134,31,54,Tyt
279,279,31.024,154.332,31,54,Tyt
280,280,31.226,153.334,31,54,Tyt
281,281,30.542,156.768,31,54,Tyt
282,282,30.416,157.417,31,54,Tyt
283,283,30.337,157.827,31,54,Tyt
284,284,30.541,156.773,31,54,Tyt
285,285,30.35,157.759,31,54,Tyt
286,286,30.612,156.409,31,54,Tyt
287,287,30.571,156.619,31,54,Tyt
288,288,30.681,156.057,31,54,Tyt
289,289,30.62,156.368,31,54,Tyt
290,290,30.634,156.297,31,54,Tyt
291,291,30.384,157.583,31,54,Tyt
292,292,30.515,156.906,31,54,Tyt
293,293,30.485,157.061,31,54,Tyt
294,294,30.398,157.510,31,54,Tyt
295,295,30.539,156.783,31,54,Tyt
296,296,30.765,155.631,31,54,Tyt
297,297,30.74,155.758,31,54,Tyt
298,298,30.534,156.809,31,54,Tyt
299,299,31.041,154.248,31,54,Tyt
