,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,4,45,Tyt
1,1,31.597,151.533,3,45,Tyt
2,2,30.433,157.329,4,45,Tyt
3,3,29.97,159.760,4,45,Tyt
4,4,30.2,158.543,4,45,Tyt
5,5,30.015,159.520,4,45,Tyt
6,6,29.943,159.904,4,45,Tyt
7,7,29.969,159.765,4,45,Tyt
8,8,30.049,159.340,4,45,Tyt
9,9,30.04,159.387,4,45,Tyt
10,10,30.027,159.456,4,45,Tyt
11,11,30.083,159.160,4,45,Tyt
12,12,30.399,157.505,4,45,Tyt
13,13,30.079,159.181,4,45,Tyt
14,14,30.284,158.103,4,45,Tyt
15,15,30.252,158.271,4,45,Tyt
16,16,30.311,157.962,4,45,Tyt
17,17,30.32,157.916,4,45,Tyt
18,18,30.429,157.350,4,45,Tyt
19,19,30.335,157.837,4,45,Tyt
20,20,30.454,157.221,4,45,Tyt
21,21,30.139,158.864,4,45,Tyt
22,22,30.196,158.564,4,45,Tyt
23,23,30.304,157.999,4,45,Tyt
24,24,30.236,158.354,4,45,Tyt
25,25,30.249,158.286,4,45,Tyt
26,26,30.225,158.412,4,45,Tyt
27,27,30.17,158.701,4,45,Tyt
28,28,30.216,158.459,4,45,Tyt
29,29,30.315,157.942,4,45,Tyt
30,30,30.324,157.895,4,45,Tyt
31,31,30.312,157.957,4,45,Tyt
32,32,30.336,157.832,4,45,Tyt
33,33,30.392,157.541,4,45,Tyt
34,34,30.501,156.978,4,45,Tyt
35,35,30.382,157.593,4,45,Tyt
36,36,30.397,157.516,4,45,Tyt
37,37,30.367,157.671,4,45,Tyt
38,38,30.359,157.713,4,45,Tyt
39,39,30.448,157.252,4,45,Tyt
40,40,30.402,157.490,3,45,Tyt
41,41,30.91,154.901,1,45,Tyt
42,42,30.769,155.611,1,45,Tyt
43,43,30.322,157.905,1,45,Tyt
44,44,30.306,157.989,1,45,Tyt
45,45,30.361,157.702,1,45,Tyt
46,46,30.439,157.298,1,45,Tyt
47,47,41.698,114.826,3,45,Tyt
48,48,55.645,86.045,15,45,Tyt
49,49,30.086,159.144,14,45,Tyt
50,50,29.874,160.273,14,45,Tyt
51,51,30.156,158.774,14,45,Tyt
52,52,30.153,158.790,13,45,Tyt
53,53,30.211,158.485,11,45,Tyt
54,54,30.295,158.046,10,45,Tyt
55,55,30.194,158.575,10,45,Tyt
56,56,30.26,158.229,10,45,Tyt
57,57,30.232,158.375,10,45,Tyt
58,58,30.539,156.783,9,45,Tyt
59,59,30.525,156.855,8,45,Tyt
60,60,30.223,158.422,8,45,Tyt
61,61,30.295,158.046,8,45,Tyt
62,62,30.37,157.656,8,45,Tyt
63,63,30.508,156.942,8,45,Tyt
64,64,30.432,157.334,8,45,Tyt
65,65,30.466,157.159,8,45,Tyt
66,66,30.446,157.262,7,45,Tyt
67,67,30.441,157.288,7,45,Tyt
68,68,30.396,157.521,6,45,Tyt
69,69,30.442,157.283,6,45,Tyt
70,70,30.461,157.185,6,45,Tyt
71,71,30.422,157.386,4,45,Tyt
72,72,30.422,157.386,4,45,Tyt
73,73,30.412,157.438,4,45,Tyt
74,74,30.23,158.386,4,45,Tyt
75,75,30.17,158.701,4,45,Tyt
76,76,30.193,158.580,4,45,Tyt
77,77,30.218,158.449,4,45,Tyt
78,78,30.262,158.218,4,45,Tyt
79,79,30.542,156.768,4,45,Tyt
80,80,30.428,157.355,4,45,Tyt
81,81,30.482,157.076,4,45,Tyt
82,82,30.507,156.948,3,45,Tyt
83,83,30.557,156.691,3,45,Tyt
84,84,30.67,156.113,2,45,Tyt
85,85,30.676,156.083,2,45,Tyt
86,86,30.865,155.127,2,45,Tyt
87,87,30.598,156.481,2,45,Tyt
88,88,30.63,156.317,2,45,Tyt
89,89,30.794,155.485,2,45,Tyt
90,90,30.563,156.660,2,45,Tyt
91,91,44.46,107.692,2,45,Tyt
92,92,76.535,62.560,2,45,Tyt
93,93,85.909,55.733,1,45,Tyt
94,94,93.145,51.404,4,45,Tyt
95,95,86.928,55.080,4,45,Tyt
96,96,83.319,57.466,4,45,Tyt
97,97,79.406,60.298,4,45,Tyt
98,98,31.697,151.055,4,45,Tyt
99,99,30.358,157.718,4,45,Tyt
100,100,30.128,158.922,4,45,Tyt
101,101,29.98,159.706,4,45,Tyt
102,102,30.119,158.969,4,45,Tyt
103,103,30.058,159.292,4,45,Tyt
104,104,30.037,159.403,4,45,Tyt
105,105,30.119,158.969,4,45,Tyt
106,106,47.401,101.011,4,45,Tyt
