,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,19,16,Chv
1,1,40.892,176.074,21,16,Chv
2,2,38.834,185.405,19,16,Chv
3,3,38.537,186.833,17,16,Chv
4,4,38.261,188.181,17,16,Chv
5,5,38.297,188.004,17,16,Chv
6,6,38.919,185.000,17,16,Chv
7,7,38.535,186.843,17,16,Chv
8,8,38.477,187.125,17,16,Chv
9,9,38.637,186.350,17,16,Chv
10,10,38.479,187.115,18,16,Chv
11,11,38.604,186.509,18,16,Chv
12,12,38.62,186.432,18,16,Chv
13,13,38.815,185.495,18,16,Chv
14,14,38.961,184.800,18,16,Chv
15,15,38.493,187.047,17,16,Chv
16,16,38.672,186.181,17,16,Chv
17,17,38.58,186.625,17,16,Chv
18,18,38.563,186.707,17,16,Chv
19,19,38.735,185.878,16,16,Chv
20,20,38.618,186.442,16,16,Chv
21,21,38.71,185.998,16,16,Chv
22,22,38.691,186.090,16,16,Chv
23,23,38.597,186.543,15,16,Chv
24,24,38.729,185.907,15,16,Chv
25,25,38.769,185.715,15,16,Chv
26,26,38.617,186.446,15,16,Chv
27,27,38.761,185.754,15,16,Chv
28,28,39.044,184.407,15,16,Chv
29,29,39.624,181.708,15,16,Chv
30,30,38.72,185.950,15,16,Chv
31,31,38.67,186.191,15,16,Chv
32,32,38.573,186.659,15,16,Chv
33,33,38.56,186.722,15,16,Chv
34,34,38.535,186.843,15,16,Chv
35,35,38.537,186.833,15,16,Chv
36,36,38.581,186.620,15,16,Chv
37,37,38.664,186.220,15,16,Chv
38,38,38.556,186.741,15,16,Chv
39,39,38.657,186.253,15,16,Chv
40,40,38.633,186.369,15,16,Chv
41,41,38.642,186.326,15,16,Chv
42,42,38.629,186.388,15,16,Chv
43,43,38.661,186.234,15,16,Chv
44,44,38.624,186.413,15,16,Chv
45,45,38.857,185.295,15,16,Chv
46,46,59.525,120.958,15,16,Chv
47,47,90.943,79.170,15,16,Chv
48,48,124.144,57.997,26,16,Chv
49,49,103.995,69.234,21,16,Chv
50,50,107.633,66.894,20,16,Chv
51,51,116.829,61.629,19,16,Chv
52,52,91.683,78.531,19,16,Chv
53,53,41.437,173.758,20,16,Chv
54,54,38.551,186.766,17,16,Chv
55,55,38.66,186.239,16,16,Chv
56,56,38.555,186.746,17,16,Chv
57,57,38.502,187.003,15,16,Chv
58,58,38.204,188.462,15,16,Chv
59,59,38.641,186.331,15,16,Chv
60,60,45.09,159.681,15,16,Chv
61,61,96.609,74.527,15,16,Chv
62,62,124.409,57.874,28,16,Chv
63,63,104.207,69.093,22,16,Chv
64,64,117.417,61.320,22,16,Chv
65,65,90.519,79.541,23,16,Chv
