,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,16,48,Chv
1,1,40.786,176.531,13,48,Chv
2,2,38.863,185.266,14,48,Chv
3,3,38.775,185.687,14,48,Chv
4,4,38.069,189.130,14,48,Chv
5,5,38.14,188.778,14,48,Chv
6,6,38.636,186.355,14,48,Chv
7,7,38.285,188.063,14,48,Chv
8,8,38.434,187.334,14,48,Chv
9,9,38.431,187.349,14,48,Chv
10,10,38.384,187.578,13,48,Chv
11,11,38.842,185.366,13,48,Chv
12,12,38.481,187.105,13,48,Chv
13,13,38.704,186.027,13,48,Chv
14,14,38.662,186.229,13,48,Chv
15,15,38.677,186.157,13,48,Chv
16,16,38.75,185.806,13,48,Chv
17,17,38.642,186.326,13,48,Chv
18,18,38.723,185.936,13,48,Chv
19,19,38.706,186.018,13,48,Chv
20,20,38.882,185.176,13,48,Chv
21,21,38.936,184.919,13,48,Chv
22,22,39.029,184.478,13,48,Chv
23,23,39.704,181.342,16,48,Chv
24,24,39.659,181.548,19,48,Chv
25,25,39.962,180.171,21,48,Chv
26,26,39.411,182.690,22,48,Chv
27,27,39.322,183.104,23,48,Chv
28,28,39.877,180.555,25,48,Chv
29,29,39.847,180.691,26,48,Chv
30,30,39.993,180.032,27,48,Chv
31,31,39.288,183.262,27,48,Chv
32,32,39.41,182.695,27,48,Chv
33,33,39.394,182.769,27,48,Chv
34,34,40.275,178.771,29,48,Chv
35,35,39.838,180.732,30,48,Chv
36,36,39.334,183.048,30,48,Chv
37,37,39.815,180.836,31,48,Chv
38,38,39.245,183.463,31,48,Chv
39,39,39.434,182.584,31,48,Chv
40,40,39.795,180.927,33,48,Chv
41,41,39.461,182.459,32,48,Chv
42,42,39.056,184.351,32,48,Chv
43,43,39.151,183.903,33,48,Chv
44,44,39.374,182.862,32,48,Chv
45,45,44.2,162.896,32,48,Chv
46,46,61.84,116.429,32,48,Chv
47,47,76.478,94.145,32,48,Chv
48,48,113.654,63.350,29,48,Chv
49,49,106.971,67.308,25,48,Chv
50,50,106.719,67.467,24,48,Chv
51,51,119.779,60.111,23,48,Chv
52,52,85.619,84.093,23,48,Chv
53,53,41.694,172.687,29,48,Chv
54,54,39.025,184.497,29,48,Chv
55,55,38.757,185.773,27,48,Chv
56,56,38.688,186.104,26,48,Chv
57,57,38.844,185.357,26,48,Chv
58,58,39.224,183.561,26,48,Chv
59,59,39.199,183.678,28,48,Chv
60,60,50.178,143.489,26,48,Chv
61,61,96.742,74.425,26,48,Chv
62,62,119.436,60.283,33,48,Chv
63,63,104.407,68.961,27,48,Chv
64,64,119.49,60.256,30,48,Chv
65,65,84.986,84.720,26,48,Chv
66,66,41.377,174.010,29,48,Chv
