,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,28,3,Chv
1,1,40.383,178.293,19,3,Chv
2,2,39.229,183.538,21,3,Chv
3,3,39.073,184.270,22,3,Chv
4,4,38.558,186.732,22,3,Chv
5,5,38.353,187.730,22,3,Chv
6,6,38.875,185.209,23,3,Chv
7,7,38.559,186.727,22,3,Chv
8,8,38.571,186.669,22,3,Chv
9,9,38.448,187.266,22,3,Chv
10,10,38.651,186.282,22,3,Chv
11,11,38.574,186.654,22,3,Chv
12,12,38.743,185.840,22,3,Chv
13,13,38.622,186.422,22,3,Chv
14,14,38.882,185.176,22,3,Chv
15,15,39.263,183.379,24,3,Chv
16,16,39.419,182.653,24,3,Chv
17,17,39.05,184.379,25,3,Chv
18,18,39.336,183.038,26,3,Chv
19,19,38.75,185.806,26,3,Chv
20,20,38.812,185.510,26,3,Chv
21,21,38.821,185.467,26,3,Chv
22,22,39.058,184.341,26,3,Chv
23,23,38.688,186.104,26,3,Chv
24,24,38.841,185.371,26,3,Chv
25,25,38.804,185.548,26,3,Chv
26,26,38.912,185.033,26,3,Chv
27,27,39.087,184.204,26,3,Chv
28,28,38.911,185.038,26,3,Chv
29,29,39.2,183.673,25,3,Chv
30,30,39.087,184.204,25,3,Chv
31,31,39.138,183.964,25,3,Chv
32,32,39.091,184.186,25,3,Chv
33,33,38.793,185.600,25,3,Chv
34,34,38.816,185.491,25,3,Chv
35,35,38.87,185.233,25,3,Chv
36,36,39.161,183.856,25,3,Chv
37,37,38.957,184.819,25,3,Chv
38,38,39.321,183.108,24,3,Chv
39,39,38.969,184.762,24,3,Chv
40,40,39.071,184.280,24,3,Chv
41,41,38.88,185.185,24,3,Chv
42,42,38.718,185.960,24,3,Chv
43,43,38.859,185.285,24,3,Chv
44,44,38.923,184.981,24,3,Chv
45,45,40.232,178.962,24,3,Chv
46,46,60.008,119.984,24,3,Chv
47,47,84.452,85.256,24,3,Chv
48,48,123.061,58.508,32,3,Chv
49,49,107.657,66.879,30,3,Chv
50,50,105.399,68.312,29,3,Chv
51,51,123.326,58.382,28,3,Chv
52,52,80.136,89.847,28,3,Chv
53,53,41.061,175.349,25,3,Chv
54,54,38.632,186.374,23,3,Chv
55,55,39.174,183.795,24,3,Chv
56,56,38.442,187.295,24,3,Chv
57,57,38.553,186.756,21,3,Chv
58,58,38.93,184.947,22,3,Chv
59,59,38.46,187.207,22,3,Chv
60,60,46.162,155.972,20,3,Chv
61,61,96.384,74.701,20,3,Chv
62,62,115.882,62.132,25,3,Chv
63,63,106.497,67.608,16,3,Chv
64,64,114.209,63.042,16,3,Chv
65,65,97.248,74.038,17,3,Chv
66,66,41.351,174.119,19,3,Chv
67,67,54.108,133.067,23,3,Chv
68,68,902.974,7.974,14,3,Chv
