,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,27,6,Frd
1,1,41.217,174.685,29,6,Frd
2,2,38.455,187.232,25,6,Frd
3,3,38.987,184.677,24,6,Frd
4,4,38.867,185.247,24,6,Frd
5,5,38.113,188.912,24,6,Frd
6,6,38.64,186.335,24,6,Frd
7,7,38.874,185.214,24,6,Frd
8,8,38.456,187.227,24,6,Frd
9,9,38.877,185.199,24,6,Frd
10,10,38.264,188.166,24,6,Frd
11,11,38.623,186.417,23,6,Frd
12,12,38.579,186.630,23,6,Frd
13,13,38.665,186.215,23,6,Frd
14,14,38.729,185.907,23,6,Frd
15,15,39.139,183.960,23,6,Frd
16,16,38.862,185.271,23,6,Frd
17,17,38.496,187.032,22,6,Frd
18,18,38.807,185.534,23,6,Frd
19,19,38.696,186.066,22,6,Frd
20,20,38.496,187.032,22,6,Frd
21,21,38.509,186.969,22,6,Frd
22,22,39.123,184.035,23,6,Frd
23,23,39.059,184.337,23,6,Frd
24,24,38.839,185.381,23,6,Frd
25,25,38.966,184.776,24,6,Frd
26,26,39.419,182.653,24,6,Frd
27,27,39.118,184.058,24,6,Frd
28,28,39.221,183.575,23,6,Frd
29,29,38.714,185.979,23,6,Frd
30,30,38.273,188.122,23,6,Frd
31,31,38.527,186.882,23,6,Frd
32,32,38.944,184.881,22,6,Frd
33,33,39.063,184.318,22,6,Frd
34,34,38.457,187.222,22,6,Frd
35,35,38.504,186.994,22,6,Frd
36,36,38.836,185.395,22,6,Frd
37,37,38.812,185.510,22,6,Frd
38,38,38.534,186.848,22,6,Frd
39,39,38.86,185.280,21,6,Frd
40,40,38.484,187.091,21,6,Frd
41,41,38.55,186.770,21,6,Frd
42,42,38.578,186.635,21,6,Frd
43,43,38.654,186.268,21,6,Frd
44,44,38.407,187.466,21,6,Frd
45,45,39.923,180.347,21,6,Frd
46,46,63.453,113.470,21,6,Frd
47,47,86.377,83.356,21,6,Frd
48,48,129.396,55.643,35,6,Frd
49,49,107.838,66.767,36,6,Frd
50,50,113.382,63.502,36,6,Frd
51,51,117.6,61.224,34,6,Frd
52,52,73.541,97.905,34,6,Frd
53,53,40.944,175.850,35,6,Frd
54,54,39.392,182.778,35,6,Frd
55,55,38.527,186.882,33,6,Frd
56,56,38.996,184.634,31,6,Frd
57,57,39.245,183.463,35,6,Frd
58,58,38.792,185.605,33,6,Frd
59,59,39.232,183.524,33,6,Frd
