,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,14,77,Chv
1,1,40.865,176.190,12,77,Chv
2,2,38.221,188.378,10,77,Chv
3,3,38.232,188.324,10,77,Chv
4,4,38.045,189.250,10,77,Chv
5,5,38.258,188.196,9,77,Chv
6,6,38.36,187.696,9,77,Chv
7,7,38.165,188.655,9,77,Chv
8,8,38.399,187.505,9,77,Chv
9,9,38.394,187.529,9,77,Chv
10,10,38.374,187.627,9,77,Chv
11,11,38.371,187.642,9,77,Chv
12,12,38.416,187.422,9,77,Chv
13,13,38.524,186.896,9,77,Chv
14,14,38.437,187.320,9,77,Chv
15,15,38.382,187.588,9,77,Chv
16,16,38.515,186.940,9,77,Chv
17,17,38.436,187.324,9,77,Chv
18,18,38.708,186.008,10,77,Chv
19,19,39.008,184.578,10,77,Chv
20,20,38.854,185.309,9,77,Chv
21,21,38.67,186.191,9,77,Chv
22,22,38.673,186.176,9,77,Chv
23,23,38.707,186.013,9,77,Chv
24,24,38.527,186.882,9,77,Chv
25,25,38.507,186.979,9,77,Chv
26,26,38.491,187.057,9,77,Chv
27,27,38.634,186.364,9,77,Chv
28,28,38.601,186.524,9,77,Chv
29,29,38.503,186.998,9,77,Chv
30,30,38.58,186.625,9,77,Chv
31,31,38.548,186.780,9,77,Chv
32,32,38.557,186.737,9,77,Chv
33,33,38.513,186.950,9,77,Chv
34,34,38.603,186.514,9,77,Chv
35,35,39.209,183.631,10,77,Chv
36,36,38.688,186.104,10,77,Chv
37,37,38.782,185.653,10,77,Chv
38,38,38.598,186.538,10,77,Chv
39,39,38.718,185.960,10,77,Chv
40,40,38.578,186.635,10,77,Chv
41,41,38.788,185.624,10,77,Chv
42,42,38.647,186.302,10,77,Chv
43,43,38.646,186.306,10,77,Chv
44,44,38.662,186.229,10,77,Chv
45,45,38.628,186.393,10,77,Chv
46,46,58.982,122.071,10,77,Chv
47,47,93.421,77.070,10,77,Chv
48,48,107.598,66.916,6,77,Chv
49,49,111.614,64.508,4,77,Chv
50,50,110.128,65.378,3,77,Chv
51,51,111.113,64.799,3,77,Chv
52,52,106.826,67.399,3,77,Chv
53,53,40.889,176.086,2,77,Chv
54,54,38.337,187.808,3,77,Chv
55,55,37.763,190.663,3,77,Chv
56,56,38.213,188.418,4,77,Chv
57,57,38.746,185.826,4,77,Chv
58,58,38.003,189.459,4,77,Chv
59,59,38.067,189.140,4,77,Chv
60,60,42.09,171.062,4,77,Chv
61,61,97.547,73.811,4,77,Chv
62,62,111.613,64.509,4,77,Chv
63,63,110.716,65.031,4,77,Chv
64,64,111.459,64.598,4,77,Chv
65,65,107.067,67.248,5,77,Chv
66,66,40.752,176.678,5,77,Chv
67,67,48.338,148.951,5,77,Chv
68,68,905.748,7.949,4,77,Chv
69,69,129.16,55.745,22,77,Chv
70,70,91.599,78.603,19,77,Chv
71,71,41.323,174.237,20,77,Chv
72,72,38.849,185.333,16,77,Chv
73,73,76.315,94.346,15,77,Chv
74,74,98.69,72.956,15,77,Chv
75,75,110.23,65.318,15,77,Chv
76,76,114.246,63.022,14,77,Chv
77,77,97.21,74.066,12,77,Chv
78,78,41.212,174.706,14,77,Chv
79,79,38.733,185.888,13,77,Chv
80,80,38.929,184.952,13,77,Chv
81,81,38.479,187.115,13,77,Chv
82,82,38.116,188.897,13,77,Chv
83,83,38.354,187.725,11,77,Chv
84,84,38.538,186.829,11,77,Chv
85,85,38.564,186.703,10,77,Chv
86,86,38.623,186.417,10,77,Chv
87,87,38.526,186.887,10,77,Chv
88,88,38.697,186.061,10,77,Chv
89,89,38.661,186.234,8,77,Chv
90,90,38.449,187.261,8,77,Chv
91,91,38.32,187.891,8,77,Chv
92,92,38.346,187.764,8,77,Chv
93,93,38.238,188.294,8,77,Chv
94,94,38.252,188.225,8,77,Chv
95,95,38.298,187.999,8,77,Chv
96,96,38.415,187.427,8,77,Chv
97,97,38.334,187.823,8,77,Chv
98,98,38.328,187.852,8,77,Chv
99,99,38.72,185.950,8,77,Chv
100,100,38.747,185.821,7,77,Chv
101,101,38.389,187.554,7,77,Chv
102,102,38.357,187.710,7,77,Chv
103,103,38.27,188.137,7,77,Chv
104,104,38.25,188.235,7,77,Chv
105,105,38.436,187.324,7,77,Chv
106,106,38.511,186.960,6,77,Chv
107,107,38.509,186.969,6,77,Chv
108,108,38.51,186.964,6,77,Chv
109,109,49.372,145.832,6,77,Chv
110,110,86.383,83.350,4,77,Chv
111,111,113.512,63.429,7,77,Chv
112,112,111.466,64.594,6,77,Chv
113,113,102.487,70.253,6,77,Chv
114,114,41.007,175.580,7,77,Chv
115,115,38.472,187.149,5,77,Chv
116,116,38.115,188.902,5,77,Chv
117,117,38.189,188.536,5,77,Chv
118,118,37.992,189.514,5,77,Chv
119,119,38.242,188.275,3,77,Chv
120,120,38.46,187.207,3,77,Chv
121,121,60.024,119.952,3,77,Chv
122,122,101.262,71.103,3,77,Chv
123,123,110.193,65.340,2,77,Chv
124,124,110.322,65.264,2,77,Chv
125,125,111.516,64.565,2,77,Chv
126,126,107.226,67.148,2,77,Chv
127,127,40.399,178.222,2,77,Chv
128,128,37.487,192.067,2,77,Chv
129,129,37.456,192.226,2,77,Chv
130,130,37.55,191.744,2,77,Chv
131,131,37.555,191.719,2,77,Chv
132,132,37.869,190.129,2,77,Chv
133,133,37.921,189.868,2,77,Chv
134,134,37.862,190.164,2,77,Chv
135,135,37.974,189.603,2,77,Chv
136,136,38.041,189.269,2,77,Chv
137,137,38.107,188.942,2,77,Chv
138,138,38.094,189.006,2,77,Chv
139,139,38.115,188.902,2,77,Chv
140,140,38.046,189.245,2,77,Chv
141,141,38.005,189.449,2,77,Chv
142,142,38.004,189.454,2,77,Chv
143,143,38.011,189.419,2,77,Chv
144,144,38.051,189.220,2,77,Chv
145,145,38.142,188.768,2,77,Chv
146,146,40.662,177.069,2,77,Chv
147,147,97.876,73.562,2,77,Chv
148,148,111.729,64.442,1,77,Chv
149,149,110.312,65.269,2,77,Chv
150,150,110.772,64.998,2,77,Chv
151,151,108.673,66.254,1,77,Chv
152,152,40.423,178.116,1,77,Chv
153,153,37.647,191.250,1,77,Chv
154,154,37.421,192.405,1,77,Chv
155,155,37.462,192.195,1,77,Chv
156,156,37.605,191.464,1,77,Chv
157,157,37.644,191.266,1,77,Chv
158,158,37.872,190.114,1,77,Chv
159,159,38.126,188.848,1,77,Chv
160,160,38.217,188.398,1,77,Chv
161,161,38.191,188.526,1,77,Chv
162,162,38.124,188.857,1,77,Chv
163,163,38.22,188.383,1,77,Chv
164,164,38.187,188.546,1,77,Chv
165,165,38.206,188.452,1,77,Chv
166,166,38.248,188.245,1,77,Chv
167,167,38.21,188.432,1,77,Chv
168,168,38.392,187.539,1,77,Chv
169,169,38.278,188.098,1,77,Chv
170,170,38.192,188.521,1,77,Chv
171,171,38.227,188.349,1,77,Chv
172,172,38.055,189.200,1,77,Chv
173,173,38.338,187.803,1,77,Chv
174,174,38.323,187.877,1,77,Chv
175,175,38.307,187.955,1,77,Chv
176,176,38.476,187.130,1,77,Chv
177,177,38.389,187.554,1,77,Chv
178,178,38.647,186.302,1,77,Chv
179,179,38.308,187.950,1,77,Chv
180,180,38.333,187.828,1,77,Chv
181,181,38.299,187.994,1,77,Chv
182,182,54.204,132.832,26,77,Chv
183,183,75.948,94.802,30,77,Chv
184,184,38.14,188.778,30,77,Chv
185,185,38.286,188.058,30,77,Chv
186,186,37.729,190.835,30,77,Chv
187,187,37.858,190.184,30,77,Chv
188,188,38.047,189.240,30,77,Chv
189,189,38.079,189.081,30,77,Chv
190,190,38.103,188.961,30,77,Chv
191,191,38.199,188.487,30,77,Chv
192,192,38.557,186.737,30,77,Chv
193,193,38.214,188.413,30,77,Chv
194,194,38.002,189.464,29,77,Chv
195,195,38.263,188.171,29,77,Chv
196,196,38.385,187.573,29,77,Chv
197,197,38.357,187.710,29,77,Chv
198,198,38.495,187.037,29,77,Chv
199,199,38.737,185.869,29,77,Chv
