,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,1,19,Tyt
1,1,40.398,178.227,1,19,Tyt
2,2,37.853,190.209,1,19,Tyt
3,3,37.832,190.315,1,19,Tyt
4,4,37.85,190.225,1,19,Tyt
5,5,37.759,190.683,1,19,Tyt
6,6,37.875,190.099,1,19,Tyt
7,7,37.956,189.693,1,19,Tyt
8,8,37.988,189.534,1,19,Tyt
9,9,38.12,188.877,1,19,Tyt
10,10,38.071,189.120,1,19,Tyt
11,11,38.097,188.991,1,19,Tyt
12,12,38.746,185.826,2,19,Tyt
13,13,38.287,188.053,2,19,Tyt
14,14,38.322,187.882,2,19,Tyt
15,15,38.463,187.193,2,19,Tyt
16,16,38.455,187.232,2,19,Tyt
17,17,38.442,187.295,2,19,Tyt
18,18,38.918,185.004,3,19,Tyt
19,19,38.592,186.567,3,19,Tyt
20,20,38.381,187.593,3,19,Tyt
21,21,38.296,188.009,3,19,Tyt
22,22,38.539,186.824,3,19,Tyt
23,23,38.512,186.955,3,19,Tyt
24,24,38.455,187.232,3,19,Tyt
25,25,38.412,187.441,3,19,Tyt
26,26,38.439,187.310,3,19,Tyt
27,27,38.395,187.524,3,19,Tyt
28,28,38.44,187.305,3,19,Tyt
29,29,38.443,187.290,3,19,Tyt
30,30,38.79,185.615,3,19,Tyt
31,31,39.023,184.507,4,19,Tyt
32,32,38.515,186.940,4,19,Tyt
33,33,38.485,187.086,4,19,Tyt
34,34,38.314,187.921,4,19,Tyt
35,35,38.623,186.417,5,19,Tyt
36,36,38.596,186.548,4,19,Tyt
37,37,38.484,187.091,4,19,Tyt
38,38,38.582,186.616,4,19,Tyt
39,39,38.621,186.427,4,19,Tyt
40,40,38.637,186.350,4,19,Tyt
41,41,38.607,186.495,4,19,Tyt
42,42,38.581,186.620,4,19,Tyt
43,43,38.742,185.845,4,19,Tyt
44,44,38.948,184.862,4,19,Tyt
45,45,38.826,185.443,4,19,Tyt
46,46,56.496,127.443,4,19,Tyt
47,47,99.219,72.567,4,19,Tyt
48,48,109.826,65.558,2,19,Tyt
49,49,119.324,60.340,13,19,Tyt
50,50,109.804,65.571,12,19,Tyt
51,51,113.836,63.249,12,19,Tyt
52,52,98.867,72.825,13,19,Tyt
53,53,41.269,174.465,15,19,Tyt
54,54,38.856,185.300,14,19,Tyt
55,55,38.534,186.848,14,19,Tyt
56,56,38.629,186.388,14,19,Tyt
57,57,38.915,185.019,16,19,Tyt
58,58,38.367,187.661,16,19,Tyt
59,59,38.714,185.979,17,19,Tyt
60,60,45.433,158.475,16,19,Tyt
61,61,96.544,74.577,16,19,Tyt
62,62,109.823,65.560,13,19,Tyt
63,63,122.414,58.817,29,19,Tyt
64,64,120.628,59.688,32,19,Tyt
65,65,83.326,86.408,29,19,Tyt
66,66,41.386,173.972,31,19,Tyt
67,67,72.243,99.664,33,19,Tyt
68,68,894.915,8.045,32,19,Tyt
69,69,151.785,47.436,34,19,Tyt
70,70,64.448,111.718,34,19,Tyt
71,71,38.465,187.183,34,19,Tyt
72,72,43.137,166.910,33,19,Tyt
73,73,79.394,90.687,33,19,Tyt
74,74,95.49,75.401,33,19,Tyt
75,75,108.785,66.186,29,19,Tyt
76,76,155.082,46.427,33,19,Tyt
77,77,47.75,150.785,33,19,Tyt
78,78,40.502,177.769,32,19,Tyt
79,79,38.913,185.028,26,19,Tyt
80,80,39.281,183.295,25,19,Tyt
81,81,39.712,181.305,31,19,Tyt
82,82,39.0,184.615,31,19,Tyt
83,83,39.041,184.422,30,19,Tyt
84,84,38.659,186.244,31,19,Tyt
