,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,24,41,Frd
1,1,41.065,175.332,23,41,Frd
2,2,39.104,184.124,24,41,Frd
3,3,39.371,182.876,27,41,Frd
4,4,39.094,184.171,28,41,Frd
5,5,38.941,184.895,28,41,Frd
6,6,38.282,188.078,28,41,Frd
7,7,39.034,184.455,29,41,Frd
8,8,38.58,186.625,29,41,Frd
9,9,38.924,184.976,29,41,Frd
10,10,38.963,184.791,29,41,Frd
11,11,38.822,185.462,29,41,Frd
12,12,38.618,186.442,29,41,Frd
13,13,38.672,186.181,29,41,Frd
14,14,38.8,185.567,28,41,Frd
15,15,38.735,185.878,28,41,Frd
16,16,39.065,184.308,28,41,Frd
17,17,38.847,185.342,28,41,Frd
18,18,38.893,185.123,28,41,Frd
19,19,39.048,184.388,28,41,Frd
20,20,39.118,184.058,28,41,Frd
21,21,39.175,183.791,28,41,Frd
22,22,39.182,183.758,29,41,Frd
23,23,39.421,182.644,29,41,Frd
24,24,39.355,182.950,30,41,Frd
25,25,39.569,181.961,31,41,Frd
26,26,38.911,185.038,31,41,Frd
27,27,38.938,184.909,31,41,Frd
28,28,39.174,183.795,31,41,Frd
29,29,39.017,184.535,31,41,Frd
30,30,38.877,185.199,31,41,Frd
31,31,38.902,185.080,31,41,Frd
32,32,39.035,184.450,30,41,Frd
33,33,38.73,185.902,30,41,Frd
34,34,39.24,183.486,30,41,Frd
35,35,39.381,182.829,29,41,Frd
36,36,39.211,183.622,29,41,Frd
37,37,39.103,184.129,29,41,Frd
38,38,39.245,183.463,29,41,Frd
39,39,38.974,184.739,29,41,Frd
40,40,38.853,185.314,29,41,Frd
41,41,38.936,184.919,29,41,Frd
42,42,39.004,184.596,29,41,Frd
43,43,39.04,184.426,29,41,Frd
44,44,38.998,184.625,29,41,Frd
45,45,45.193,159.317,29,41,Frd
46,46,60.236,119.530,29,41,Frd
47,47,78.851,91.311,29,41,Frd
48,48,114.45,62.910,28,41,Frd
49,49,106.816,67.406,24,41,Frd
50,50,106.986,67.299,23,41,Frd
51,51,119.345,60.329,22,41,Frd
52,52,86.876,82.877,22,41,Frd
53,53,41.64,172.911,24,41,Frd
54,54,39.044,184.407,26,41,Frd
55,55,39.068,184.294,29,41,Frd
56,56,39.143,183.941,29,41,Frd
57,57,38.809,185.524,29,41,Frd
58,58,38.925,184.971,29,41,Frd
59,59,39.008,184.578,29,41,Frd
60,60,51.015,141.135,27,41,Frd
61,61,96.773,74.401,27,41,Frd
62,62,118.279,60.873,32,41,Frd
63,63,104.89,68.643,28,41,Frd
64,64,120.221,59.890,31,41,Frd
65,65,84.136,85.576,28,41,Frd
66,66,41.194,174.783,28,41,Frd
