,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,35,99,Chv
1,1,41.022,175.516,35,99,Chv
2,2,39.174,183.795,35,99,Chv
3,3,38.904,185.071,35,99,Chv
4,4,38.896,185.109,32,99,Chv
5,5,38.898,185.099,31,99,Chv
6,6,38.825,185.448,32,99,Chv
7,7,39.14,183.955,33,99,Chv
8,8,38.481,187.105,33,99,Chv
9,9,38.791,185.610,33,99,Chv
10,10,38.746,185.826,32,99,Chv
11,11,39.07,184.285,31,99,Chv
12,12,38.741,185.850,31,99,Chv
13,13,38.808,185.529,31,99,Chv
14,14,38.81,185.519,31,99,Chv
15,15,38.669,186.196,31,99,Chv
16,16,39.176,183.786,31,99,Chv
17,17,38.986,184.682,30,99,Chv
18,18,38.964,184.786,30,99,Chv
19,19,38.851,185.323,30,99,Chv
20,20,38.792,185.605,30,99,Chv
21,21,38.815,185.495,29,99,Chv
22,22,38.672,186.181,28,99,Chv
23,23,38.843,185.362,28,99,Chv
24,24,38.561,186.717,28,99,Chv
25,25,38.646,186.306,28,99,Chv
26,26,38.543,186.804,28,99,Chv
27,27,38.781,185.658,28,99,Chv
28,28,38.816,185.491,28,99,Chv
29,29,39.24,183.486,28,99,Chv
30,30,39.59,181.864,28,99,Chv
31,31,39.659,181.548,28,99,Chv
32,32,66.452,108.349,36,99,Chv
33,33,51.726,139.195,36,99,Chv
34,34,38.763,185.744,36,99,Chv
35,35,38.96,184.805,36,99,Chv
36,36,38.767,185.725,36,99,Chv
37,37,38.868,185.242,36,99,Chv
38,38,38.873,185.219,36,99,Chv
39,39,38.853,185.314,36,99,Chv
40,40,39.028,184.483,36,99,Chv
41,41,39.212,183.617,36,99,Chv
42,42,38.866,185.252,36,99,Chv
43,43,38.675,186.167,36,99,Chv
44,44,41.559,173.248,36,99,Chv
45,45,59.446,121.118,36,99,Chv
46,46,82.663,87.101,36,99,Chv
47,47,92.503,77.835,36,99,Chv
48,48,48.639,148.029,36,99,Chv
49,49,92.86,77.536,35,99,Chv
50,50,106.694,67.483,35,99,Chv
51,51,128.32,56.110,36,99,Chv
52,52,69.615,103.426,35,99,Chv
53,53,40.978,175.704,36,99,Chv
54,54,39.388,182.797,36,99,Chv
55,55,38.689,186.099,35,99,Chv
56,56,38.947,184.867,35,99,Chv
57,57,38.589,186.582,31,99,Chv
58,58,38.915,185.019,30,99,Chv
59,59,38.6,186.528,27,99,Chv
60,60,49.612,145.126,25,99,Chv
61,61,96.179,74.860,25,99,Chv
62,62,113.918,63.203,26,99,Chv
63,63,106.118,67.849,20,99,Chv
64,64,116.31,61.904,20,99,Chv
65,65,92.929,77.479,21,99,Chv
66,66,41.561,173.239,27,99,Chv
67,67,868.607,8.289,34,99,Chv
68,68,94.644,76.075,27,99,Chv
69,69,127.782,56.346,32,99,Chv
