,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,15,22,Frd
1,1,40.937,175.880,17,22,Frd
2,2,38.903,185.076,16,22,Frd
3,3,38.656,186.258,16,22,Frd
4,4,38.329,187.847,16,22,Frd
5,5,38.295,188.014,16,22,Frd
6,6,38.596,186.548,15,22,Frd
7,7,38.508,186.974,15,22,Frd
8,8,38.552,186.761,15,22,Frd
9,9,38.4,187.500,15,22,Frd
10,10,38.361,187.691,15,22,Frd
11,11,38.485,187.086,15,22,Frd
12,12,38.546,186.790,15,22,Frd
13,13,38.661,186.234,15,22,Frd
14,14,38.721,185.946,15,22,Frd
15,15,38.549,186.775,15,22,Frd
16,16,38.868,185.242,15,22,Frd
17,17,38.841,185.371,15,22,Frd
18,18,38.639,186.340,15,22,Frd
19,19,38.685,186.119,15,22,Frd
20,20,38.765,185.735,15,22,Frd
21,21,38.766,185.730,15,22,Frd
22,22,38.701,186.042,14,22,Frd
23,23,38.751,185.802,13,22,Frd
24,24,38.674,186.172,13,22,Frd
25,25,38.847,185.342,13,22,Frd
26,26,38.548,186.780,13,22,Frd
27,27,38.815,185.495,13,22,Frd
28,28,38.811,185.514,12,22,Frd
29,29,38.821,185.467,12,22,Frd
30,30,38.737,185.869,12,22,Frd
31,31,38.685,186.119,12,22,Frd
32,32,38.654,186.268,12,22,Frd
33,33,38.546,186.790,12,22,Frd
34,34,38.404,187.480,12,22,Frd
35,35,38.333,187.828,12,22,Frd
36,36,38.368,187.656,12,22,Frd
37,37,38.447,187.271,12,22,Frd
38,38,38.44,187.305,12,22,Frd
39,39,38.575,186.649,12,22,Frd
40,40,38.556,186.741,12,22,Frd
41,41,38.505,186.989,12,22,Frd
42,42,38.974,184.739,11,22,Frd
43,43,38.7,186.047,11,22,Frd
44,44,38.643,186.321,11,22,Frd
45,45,38.749,185.811,11,22,Frd
46,46,57.744,124.688,11,22,Frd
47,47,91.949,78.304,11,22,Frd
48,48,106.942,67.326,7,22,Frd
49,49,120.175,59.913,15,22,Frd
50,50,108.803,66.175,14,22,Frd
51,51,114.589,62.833,14,22,Frd
52,52,96.591,74.541,16,22,Frd
53,53,41.363,174.069,17,22,Frd
54,54,38.689,186.099,15,22,Frd
55,55,38.92,184.995,18,22,Frd
56,56,38.939,184.905,20,22,Frd
57,57,39.237,183.500,23,22,Frd
58,58,38.771,185.706,23,22,Frd
59,59,38.74,185.854,23,22,Frd
60,60,47.603,151.251,21,22,Frd
61,61,95.753,75.193,21,22,Frd
62,62,108.227,66.527,18,22,Frd
63,63,113.654,63.350,17,22,Frd
64,64,114.356,62.961,17,22,Frd
65,65,96.344,74.732,16,22,Frd
66,66,41.046,175.413,13,22,Frd
67,67,52.906,136.090,17,22,Frd
68,68,902.575,7.977,8,22,Frd
69,69,109.977,65.468,4,22,Frd
70,70,107.248,67.134,5,22,Frd
71,71,41.143,174.999,4,22,Frd
72,72,39.022,184.511,5,22,Frd
73,73,70.331,102.373,5,22,Frd
74,74,98.542,73.065,5,22,Frd
75,75,111.548,64.546,5,22,Frd
76,76,111.896,64.345,4,22,Frd
77,77,104.951,68.603,5,22,Frd
78,78,41.006,175.584,5,22,Frd
79,79,38.373,187.632,5,22,Frd
80,80,38.228,188.344,5,22,Frd
81,81,38.326,187.862,5,22,Frd
82,82,38.68,186.143,5,22,Frd
83,83,38.56,186.722,5,22,Frd
84,84,38.604,186.509,5,22,Frd
85,85,39.025,184.497,7,22,Frd
