,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,2,8,Chv
1,1,40.48,177.866,2,8,Chv
2,2,38.395,187.524,4,8,Chv
3,3,37.959,189.678,4,8,Chv
4,4,37.746,190.749,4,8,Chv
5,5,37.828,190.335,4,8,Chv
6,6,38.662,186.229,5,8,Chv
7,7,38.038,189.284,5,8,Chv
8,8,38.067,189.140,5,8,Chv
9,9,38.144,188.758,5,8,Chv
10,10,38.195,188.506,5,8,Chv
11,11,38.462,187.198,5,8,Chv
12,12,38.432,187.344,5,8,Chv
13,13,38.502,187.003,5,8,Chv
14,14,38.497,187.028,5,8,Chv
15,15,39.004,184.596,6,8,Chv
16,16,38.756,185.778,6,8,Chv
17,17,38.669,186.196,6,8,Chv
18,18,38.571,186.669,6,8,Chv
19,19,38.639,186.340,6,8,Chv
20,20,38.616,186.451,6,8,Chv
21,21,38.566,186.693,6,8,Chv
22,22,38.679,186.148,6,8,Chv
23,23,38.663,186.225,6,8,Chv
24,24,38.939,184.905,7,8,Chv
25,25,38.619,186.437,7,8,Chv
26,26,38.41,187.451,7,8,Chv
27,27,38.651,186.282,7,8,Chv
28,28,39.303,183.192,8,8,Chv
29,29,39.034,184.455,8,8,Chv
30,30,38.444,187.285,8,8,Chv
31,31,38.613,186.466,8,8,Chv
32,32,38.686,186.114,8,8,Chv
33,33,38.587,186.591,8,8,Chv
34,34,38.483,187.096,8,8,Chv
35,35,38.509,186.969,8,8,Chv
36,36,38.553,186.756,8,8,Chv
37,37,38.528,186.877,8,8,Chv
38,38,38.665,186.215,8,8,Chv
39,39,39.067,184.299,9,8,Chv
40,40,38.818,185.481,9,8,Chv
41,41,38.64,186.335,9,8,Chv
42,42,38.718,185.960,9,8,Chv
43,43,38.773,185.696,9,8,Chv
44,44,38.85,185.328,9,8,Chv
45,45,38.764,185.739,9,8,Chv
46,46,58.716,122.624,9,8,Chv
47,47,93.387,77.099,9,8,Chv
48,48,108.046,66.638,5,8,Chv
49,49,113.32,63.537,7,8,Chv
50,50,110.545,65.132,6,8,Chv
51,51,112.324,64.100,6,8,Chv
52,52,104.099,69.165,7,8,Chv
53,53,41.141,175.008,8,8,Chv
54,54,38.498,187.023,7,8,Chv
55,55,38.413,187.437,8,8,Chv
56,56,38.233,188.319,8,8,Chv
57,57,38.15,188.729,8,8,Chv
58,58,39.011,184.563,7,8,Chv
59,59,38.623,186.417,8,8,Chv
60,60,42.964,167.582,9,8,Chv
61,61,97.49,73.854,9,8,Chv
62,62,111.377,64.645,9,8,Chv
63,63,111.01,64.859,9,8,Chv
64,64,112.047,64.259,9,8,Chv
65,65,103.485,69.575,8,8,Chv
66,66,41.385,173.976,11,8,Chv
67,67,49.812,144.543,11,8,Chv
68,68,904.95,7.956,6,8,Chv
69,69,124.344,57.904,18,8,Chv
70,70,94.813,75.939,18,8,Chv
71,71,41.294,174.359,18,8,Chv
72,72,39.082,184.228,17,8,Chv
73,73,80.476,89.468,18,8,Chv
74,74,96.873,74.324,18,8,Chv
75,75,110.649,65.071,18,8,Chv
76,76,114.757,62.741,17,8,Chv
77,77,94.315,76.340,19,8,Chv
78,78,41.154,174.953,20,8,Chv
79,79,39.145,183.932,19,8,Chv
80,80,38.624,186.413,18,8,Chv
81,81,38.87,185.233,16,8,Chv
82,82,38.858,185.290,17,8,Chv
83,83,38.731,185.898,19,8,Chv
84,84,38.794,185.596,18,8,Chv
85,85,38.394,187.529,18,8,Chv
86,86,38.608,186.490,17,8,Chv
87,87,38.773,185.696,17,8,Chv
88,88,38.605,186.504,17,8,Chv
89,89,38.522,186.906,17,8,Chv
90,90,39.024,184.502,16,8,Chv
91,91,38.584,186.606,16,8,Chv
92,92,39.153,183.894,17,8,Chv
93,93,38.615,186.456,17,8,Chv
94,94,39.132,183.993,17,8,Chv
95,95,38.712,185.989,17,8,Chv
96,96,38.665,186.215,17,8,Chv
97,97,38.935,184.924,18,8,Chv
98,98,38.839,185.381,18,8,Chv
99,99,38.824,185.452,17,8,Chv
100,100,38.592,186.567,17,8,Chv
101,101,38.937,184.914,18,8,Chv
102,102,38.658,186.249,18,8,Chv
103,103,38.567,186.688,18,8,Chv
104,104,38.674,186.172,18,8,Chv
105,105,38.837,185.390,18,8,Chv
106,106,38.863,185.266,18,8,Chv
107,107,39.129,184.007,19,8,Chv
108,108,39.269,183.351,18,8,Chv
109,109,59.242,121.535,18,8,Chv
110,110,69.536,103.543,9,8,Chv
111,111,122.981,58.546,26,8,Chv
112,112,117.233,61.416,24,8,Chv
113,113,84.842,84.864,23,8,Chv
114,114,40.919,175.957,20,8,Chv
115,115,38.769,185.715,17,8,Chv
116,116,38.583,186.611,13,8,Chv
117,117,38.333,187.828,11,8,Chv
118,118,38.17,188.630,11,8,Chv
119,119,38.113,188.912,11,8,Chv
120,120,38.222,188.373,11,8,Chv
121,121,65.324,110.220,11,8,Chv
122,122,99.026,72.708,11,8,Chv
123,123,109.642,65.668,10,8,Chv
124,124,111.444,64.606,9,8,Chv
125,125,112.037,64.264,9,8,Chv
126,126,101.705,70.793,8,8,Chv
127,127,40.911,175.992,6,8,Chv
128,128,38.034,189.304,6,8,Chv
129,129,37.887,190.039,6,8,Chv
130,130,37.887,190.039,6,8,Chv
131,131,37.932,189.813,6,8,Chv
132,132,37.979,189.578,6,8,Chv
133,133,37.959,189.678,6,8,Chv
134,134,37.933,189.808,6,8,Chv
135,135,37.946,189.743,6,8,Chv
136,136,38.056,189.195,6,8,Chv
137,137,38.181,188.575,6,8,Chv
138,138,38.094,189.006,6,8,Chv
139,139,38.147,188.744,6,8,Chv
140,140,38.145,188.753,6,8,Chv
141,141,38.171,188.625,6,8,Chv
142,142,38.303,187.975,6,8,Chv
143,143,38.217,188.398,6,8,Chv
144,144,38.122,188.867,6,8,Chv
145,145,38.205,188.457,6,8,Chv
146,146,41.05,175.396,6,8,Chv
147,147,96.694,74.462,6,8,Chv
148,148,109.605,65.690,3,8,Chv
149,149,115.312,62.439,12,8,Chv
150,150,113.201,63.604,12,8,Chv
151,151,101.198,71.148,14,8,Chv
152,152,40.949,175.828,10,8,Chv
153,153,38.441,187.300,11,8,Chv
154,154,38.199,188.487,11,8,Chv
155,155,38.736,185.874,11,8,Chv
156,156,38.203,188.467,10,8,Chv
157,157,38.037,189.289,10,8,Chv
158,158,37.938,189.783,10,8,Chv
159,159,38.213,188.418,11,8,Chv
160,160,37.954,189.703,11,8,Chv
161,161,37.821,190.370,11,8,Chv
162,162,37.878,190.084,11,8,Chv
163,163,38.132,188.818,11,8,Chv
164,164,38.314,187.921,11,8,Chv
165,165,38.201,188.477,11,8,Chv
166,166,38.183,188.566,11,8,Chv
167,167,38.407,187.466,11,8,Chv
168,168,38.333,187.828,11,8,Chv
169,169,38.204,188.462,11,8,Chv
170,170,38.402,187.490,11,8,Chv
171,171,38.216,188.403,11,8,Chv
172,172,38.27,188.137,10,8,Chv
173,173,38.557,186.737,10,8,Chv
174,174,38.279,188.093,10,8,Chv
175,175,38.374,187.627,10,8,Chv
176,176,38.517,186.930,10,8,Chv
177,177,38.416,187.422,10,8,Chv
178,178,38.494,187.042,11,8,Chv
179,179,38.443,187.290,11,8,Chv
180,180,38.737,185.869,11,8,Chv
181,181,38.771,185.706,11,8,Chv
182,182,38.483,187.096,9,8,Chv
183,183,38.728,185.912,9,8,Chv
184,184,38.598,186.538,9,8,Chv
185,185,38.536,186.838,9,8,Chv
186,186,38.496,187.032,9,8,Chv
187,187,38.456,187.227,9,8,Chv
188,188,38.58,186.625,9,8,Chv
189,189,38.584,186.606,9,8,Chv
190,190,38.531,186.863,9,8,Chv
191,191,38.735,185.878,9,8,Chv
192,192,38.673,186.176,9,8,Chv
193,193,38.558,186.732,9,8,Chv
194,194,38.546,186.790,9,8,Chv
195,195,38.682,186.133,9,8,Chv
196,196,38.591,186.572,9,8,Chv
197,197,38.643,186.321,9,8,Chv
198,198,38.725,185.926,9,8,Chv
199,199,38.742,185.845,8,8,Chv
200,200,38.858,185.290,8,8,Chv
