,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,32,71,Chv
1,1,40.492,177.813,22,71,Chv
2,2,39.122,184.040,23,71,Chv
3,3,39.08,184.237,25,71,Chv
4,4,39.042,184.417,25,71,Chv
5,5,38.837,185.390,26,71,Chv
6,6,38.598,186.538,27,71,Chv
7,7,38.857,185.295,27,71,Chv
8,8,38.705,186.022,27,71,Chv
9,9,39.034,184.455,28,71,Chv
10,10,39.001,184.611,28,71,Chv
11,11,38.724,185.931,28,71,Chv
12,12,38.712,185.989,28,71,Chv
13,13,38.668,186.200,28,71,Chv
14,14,39.227,183.547,29,71,Chv
15,15,39.023,184.507,30,71,Chv
16,16,39.498,182.288,30,71,Chv
17,17,39.622,181.717,31,71,Chv
18,18,39.273,183.332,32,71,Chv
19,19,38.97,184.758,32,71,Chv
20,20,39.177,183.781,32,71,Chv
21,21,39.141,183.950,32,71,Chv
22,22,38.906,185.061,32,71,Chv
23,23,38.978,184.720,32,71,Chv
24,24,39.05,184.379,32,71,Chv
25,25,39.073,184.270,32,71,Chv
26,26,39.008,184.578,32,71,Chv
27,27,39.119,184.054,32,71,Chv
28,28,38.782,185.653,32,71,Chv
29,29,38.912,185.033,32,71,Chv
30,30,39.115,184.073,32,71,Chv
31,31,39.424,182.630,33,71,Chv
32,32,39.188,183.730,32,71,Chv
33,33,39.837,180.737,34,71,Chv
34,34,39.326,183.085,34,71,Chv
35,35,38.998,184.625,34,71,Chv
36,36,39.178,183.777,34,71,Chv
37,37,39.296,183.225,34,71,Chv
38,38,39.32,183.113,34,71,Chv
39,39,39.458,182.473,34,71,Chv
40,40,39.371,182.876,34,71,Chv
41,41,39.378,182.843,34,71,Chv
42,42,39.337,183.034,34,71,Chv
43,43,39.376,182.852,34,71,Chv
44,44,39.34,183.020,34,71,Chv
45,45,47.338,152.098,34,71,Chv
46,46,60.989,118.054,34,71,Chv
47,47,74.679,96.413,34,71,Chv
48,48,117.841,61.099,34,71,Chv
49,49,107.068,67.247,33,71,Chv
50,50,105.76,68.079,33,71,Chv
51,51,125.462,57.388,32,71,Chv
52,52,75.85,94.924,32,71,Chv
53,53,40.692,176.939,27,71,Chv
54,54,39.15,183.908,30,71,Chv
55,55,39.04,184.426,30,71,Chv
56,56,39.115,184.073,30,71,Chv
57,57,38.778,185.672,30,71,Chv
