,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,30,47,Chv
1,1,41.514,173.435,31,47,Chv
2,2,38.629,186.388,30,47,Chv
3,3,39.146,183.927,28,47,Chv
4,4,38.772,185.701,27,47,Chv
5,5,39.268,183.355,29,47,Chv
6,6,38.802,185.557,30,47,Chv
7,7,38.582,186.616,30,47,Chv
8,8,38.765,185.735,30,47,Chv
9,9,38.889,185.142,30,47,Chv
10,10,38.925,184.971,30,47,Chv
11,11,39.464,182.445,32,47,Chv
12,12,38.977,184.724,32,47,Chv
13,13,38.902,185.080,32,47,Chv
14,14,39.048,184.388,32,47,Chv
15,15,38.776,185.682,32,47,Chv
16,16,38.848,185.338,32,47,Chv
17,17,39.125,184.026,32,47,Chv
18,18,38.812,185.510,31,47,Chv
19,19,38.875,185.209,31,47,Chv
20,20,38.818,185.481,31,47,Chv
21,21,38.81,185.519,31,47,Chv
22,22,38.908,185.052,31,47,Chv
23,23,39.245,183.463,31,47,Chv
24,24,38.91,185.042,31,47,Chv
25,25,39.229,183.538,30,47,Chv
26,26,38.729,185.907,30,47,Chv
27,27,39.111,184.091,30,47,Chv
28,28,38.901,185.085,30,47,Chv
29,29,38.589,186.582,30,47,Chv
30,30,38.741,185.850,30,47,Chv
31,31,39.091,184.186,30,47,Chv
32,32,39.365,182.904,29,47,Chv
33,33,38.72,185.950,29,47,Chv
34,34,39.257,183.407,28,47,Chv
35,35,39.259,183.397,28,47,Chv
36,36,39.186,183.739,28,47,Chv
37,37,38.95,184.852,28,47,Chv
38,38,38.825,185.448,28,47,Chv
39,39,38.845,185.352,28,47,Chv
40,40,38.976,184.729,28,47,Chv
41,41,39.056,184.351,28,47,Chv
42,42,39.076,184.256,28,47,Chv
43,43,38.986,184.682,28,47,Chv
44,44,38.863,185.266,28,47,Chv
45,45,43.532,165.396,28,47,Chv
46,46,59.687,120.629,28,47,Chv
47,47,81.608,88.227,28,47,Chv
48,48,99.72,72.202,17,47,Chv
49,49,127.855,56.314,31,47,Chv
50,50,105.072,68.524,30,47,Chv
51,51,124.184,57.978,29,47,Chv
52,52,79.079,91.048,29,47,Chv
53,53,41.05,175.396,28,47,Chv
54,54,38.943,184.886,27,47,Chv
55,55,38.806,185.538,25,47,Chv
56,56,39.288,183.262,28,47,Chv
57,57,38.55,186.770,28,47,Chv
58,58,39.088,184.200,28,47,Chv
59,59,38.692,186.085,26,47,Chv
60,60,49.146,146.502,24,47,Chv
61,61,96.014,74.989,24,47,Chv
62,62,106.498,67.607,20,47,Chv
63,63,118.641,60.687,26,47,Chv
64,64,119.059,60.474,28,47,Chv
65,65,86.304,83.426,27,47,Chv
66,66,41.031,175.477,23,47,Chv
67,67,53.142,135.486,21,47,Chv
68,68,905.52,7.951,18,47,Chv
69,69,118.066,60.983,17,47,Chv
70,70,96.193,74.850,16,47,Chv
71,71,41.287,174.389,15,47,Chv
72,72,38.955,184.829,13,47,Chv
73,73,75.834,94.944,14,47,Chv
74,74,99.025,72.709,14,47,Chv
75,75,109.872,65.531,14,47,Chv
76,76,114.241,63.025,13,47,Chv
77,77,98.118,73.381,15,47,Chv
78,78,41.245,174.567,17,47,Chv
79,79,39.123,184.035,17,47,Chv
80,80,38.712,185.989,16,47,Chv
81,81,38.818,185.481,15,47,Chv
82,82,38.481,187.105,15,47,Chv
83,83,38.443,187.290,15,47,Chv
84,84,38.722,185.941,14,47,Chv
85,85,38.667,186.205,15,47,Chv
86,86,38.763,185.744,15,47,Chv
87,87,38.762,185.749,15,47,Chv
88,88,38.587,186.591,15,47,Chv
89,89,38.871,185.228,16,47,Chv
90,90,39.35,182.973,18,47,Chv
91,91,39.046,184.398,19,47,Chv
92,92,38.954,184.833,19,47,Chv
93,93,39.072,184.275,20,47,Chv
94,94,39.357,182.941,22,47,Chv
95,95,39.049,184.384,22,47,Chv
96,96,38.86,185.280,22,47,Chv
97,97,39.166,183.833,22,47,Chv
98,98,38.777,185.677,22,47,Chv
99,99,39.268,183.355,24,47,Chv
100,100,38.923,184.981,24,47,Chv
101,101,39.44,182.556,25,47,Chv
102,102,39.008,184.578,25,47,Chv
103,103,38.846,185.347,25,47,Chv
104,104,38.728,185.912,25,47,Chv
105,105,39.231,183.528,26,47,Chv
106,106,38.99,184.663,25,47,Chv
107,107,38.845,185.352,25,47,Chv
108,108,39.73,181.223,24,47,Chv
109,109,60.978,118.075,24,47,Chv
110,110,64.962,110.834,14,47,Chv
111,111,117.69,61.178,21,47,Chv
112,112,114.558,62.850,18,47,Chv
113,113,90.916,79.194,19,47,Chv
114,114,41.407,173.884,24,47,Chv
115,115,39.371,182.876,25,47,Chv
116,116,39.064,184.313,26,47,Chv
117,117,38.704,186.027,24,47,Chv
118,118,38.88,185.185,24,47,Chv
119,119,38.792,185.605,22,47,Chv
120,120,38.464,187.188,22,47,Chv
121,121,69.159,104.108,22,47,Chv
122,122,98.416,73.159,22,47,Chv
123,123,106.936,67.330,19,47,Chv
124,124,129.204,55.726,32,47,Chv
125,125,104.941,68.610,23,47,Chv
126,126,89.199,80.718,32,47,Chv
127,127,40.805,176.449,29,47,Chv
128,128,39.202,183.664,29,47,Chv
129,129,38.948,184.862,29,47,Chv
130,130,38.804,185.548,28,47,Chv
131,131,38.214,188.413,25,47,Chv
132,132,38.658,186.249,24,47,Chv
133,133,38.577,186.640,24,47,Chv
134,134,38.641,186.331,24,47,Chv
135,135,39.087,184.204,24,47,Chv
136,136,38.253,188.221,24,47,Chv
137,137,38.509,186.969,22,47,Chv
138,138,38.324,187.872,22,47,Chv
139,139,38.51,186.964,22,47,Chv
140,140,38.944,184.881,23,47,Chv
141,141,38.188,188.541,23,47,Chv
142,142,38.344,187.774,23,47,Chv
143,143,38.302,187.980,23,47,Chv
144,144,38.278,188.098,23,47,Chv
145,145,38.657,186.253,23,47,Chv
146,146,51.972,138.536,22,47,Chv
147,147,85.002,84.704,22,47,Chv
148,148,103.476,69.581,10,47,Chv
149,149,123.248,58.419,21,47,Chv
150,150,109.563,65.716,21,47,Chv
151,151,93.279,77.188,21,47,Chv
152,152,40.892,176.074,25,47,Chv
153,153,39.248,183.449,27,47,Chv
154,154,39.003,184.601,26,47,Chv
155,155,38.356,187.715,25,47,Chv
156,156,38.711,185.994,24,47,Chv
157,157,38.33,187.842,23,47,Chv
158,158,38.556,186.741,22,47,Chv
159,159,38.278,188.098,22,47,Chv
160,160,38.809,185.524,24,47,Chv
161,161,39.112,184.087,24,47,Chv
162,162,38.742,185.845,24,47,Chv
163,163,38.269,188.142,24,47,Chv
164,164,38.612,186.471,24,47,Chv
165,165,38.133,188.813,24,47,Chv
166,166,38.375,187.622,24,47,Chv
167,167,38.403,187.485,24,47,Chv
168,168,38.185,188.556,24,47,Chv
169,169,38.296,188.009,24,47,Chv
170,170,38.386,187.568,24,47,Chv
171,171,38.4,187.500,24,47,Chv
172,172,38.319,187.896,24,47,Chv
173,173,38.668,186.200,24,47,Chv
174,174,38.521,186.911,24,47,Chv
175,175,38.697,186.061,23,47,Chv
176,176,38.484,187.091,23,47,Chv
177,177,38.649,186.292,23,47,Chv
178,178,38.554,186.751,23,47,Chv
179,179,38.425,187.378,23,47,Chv
180,180,38.497,187.028,23,47,Chv
181,181,38.733,185.888,23,47,Chv
182,182,38.77,185.711,22,47,Chv
183,183,38.693,186.080,22,47,Chv
184,184,38.802,185.557,22,47,Chv
185,185,38.743,185.840,22,47,Chv
186,186,38.866,185.252,22,47,Chv
187,187,38.996,184.634,23,47,Chv
188,188,39.041,184.422,23,47,Chv
189,189,38.778,185.672,23,47,Chv
190,190,38.714,185.979,23,47,Chv
191,191,38.962,184.795,23,47,Chv
192,192,38.902,185.080,23,47,Chv
193,193,38.963,184.791,21,47,Chv
194,194,38.575,186.649,21,47,Chv
195,195,38.694,186.075,21,47,Chv
196,196,38.674,186.172,21,47,Chv
197,197,38.681,186.138,21,47,Chv
198,198,38.719,185.955,21,47,Chv
199,199,38.948,184.862,20,47,Chv
200,200,38.973,184.743,20,47,Chv
