,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,34,35,Tyt
1,1,41.28,174.419,30,35,Tyt
2,2,39.29,183.253,33,35,Tyt
3,3,38.887,185.152,34,35,Tyt
4,4,39.062,184.322,33,35,Tyt
5,5,39.299,183.211,34,35,Tyt
6,6,39.178,183.777,35,35,Tyt
7,7,38.862,185.271,34,35,Tyt
8,8,38.956,184.824,34,35,Tyt
9,9,39.102,184.134,34,35,Tyt
10,10,38.661,186.234,34,35,Tyt
11,11,38.794,185.596,34,35,Tyt
12,12,38.895,185.114,34,35,Tyt
13,13,39.161,183.856,34,35,Tyt
14,14,38.85,185.328,34,35,Tyt
15,15,38.948,184.862,34,35,Tyt
16,16,38.846,185.347,34,35,Tyt
17,17,38.789,185.620,34,35,Tyt
18,18,39.306,183.178,34,35,Tyt
19,19,39.104,184.124,34,35,Tyt
20,20,38.893,185.123,34,35,Tyt
21,21,39.125,184.026,34,35,Tyt
22,22,39.046,184.398,34,35,Tyt
23,23,38.774,185.691,34,35,Tyt
24,24,38.833,185.409,34,35,Tyt
25,25,39.093,184.176,33,35,Tyt
26,26,39.031,184.469,33,35,Tyt
27,27,38.923,184.981,33,35,Tyt
28,28,39.012,184.559,33,35,Tyt
29,29,39.007,184.582,33,35,Tyt
30,30,38.727,185.917,33,35,Tyt
31,31,38.832,185.414,32,35,Tyt
32,32,38.907,185.057,31,35,Tyt
33,33,38.772,185.701,31,35,Tyt
34,34,39.188,183.730,31,35,Tyt
35,35,39.262,183.383,31,35,Tyt
36,36,39.405,182.718,31,35,Tyt
37,37,39.179,183.772,30,35,Tyt
38,38,38.688,186.104,30,35,Tyt
39,39,39.076,184.256,30,35,Tyt
40,40,38.755,185.782,30,35,Tyt
41,41,39.085,184.214,30,35,Tyt
42,42,39.122,184.040,30,35,Tyt
43,43,38.817,185.486,30,35,Tyt
44,44,38.966,184.776,30,35,Tyt
45,45,46.018,156.461,30,35,Tyt
46,46,60.101,119.798,30,35,Tyt
47,47,78.459,91.768,30,35,Tyt
48,48,113.933,63.195,27,35,Tyt
49,49,104.137,69.140,22,35,Tyt
50,50,107.726,66.836,21,35,Tyt
51,51,118.01,61.012,20,35,Tyt
52,52,90.132,79.883,21,35,Tyt
53,53,41.421,173.825,22,35,Tyt
54,54,38.797,185.581,22,35,Tyt
55,55,38.715,185.974,21,35,Tyt
56,56,38.976,184.729,22,35,Tyt
57,57,38.905,185.066,22,35,Tyt
58,58,38.438,187.315,21,35,Tyt
59,59,38.42,187.402,21,35,Tyt
60,60,45.957,156.668,19,35,Tyt
61,61,96.204,74.841,19,35,Tyt
62,62,123.938,58.094,30,35,Tyt
63,63,103.825,69.347,24,35,Tyt
64,64,119.438,60.282,24,35,Tyt
65,65,87.751,82.050,25,35,Tyt
66,66,41.185,174.821,25,35,Tyt
67,67,55.083,130.712,27,35,Tyt
68,68,914.217,7.876,33,35,Tyt
69,69,119.937,60.032,31,35,Tyt
70,70,84.366,85.342,27,35,Tyt
71,71,41.181,174.838,23,35,Tyt
72,72,39.338,183.029,23,35,Tyt
73,73,83.815,85.903,23,35,Tyt
74,74,95.965,75.027,23,35,Tyt
75,75,111.283,64.700,23,35,Tyt
76,76,117.675,61.185,22,35,Tyt
77,77,87.928,81.885,24,35,Tyt
78,78,41.037,175.451,23,35,Tyt
79,79,39.336,183.038,22,35,Tyt
80,80,39.082,184.228,22,35,Tyt
81,81,39.129,184.007,24,35,Tyt
82,82,39.124,184.030,25,35,Tyt
83,83,38.815,185.495,26,35,Tyt
84,84,38.753,185.792,27,35,Tyt
85,85,39.131,183.997,27,35,Tyt
86,86,39.535,182.117,29,35,Tyt
87,87,39.04,184.426,28,35,Tyt
88,88,39.986,180.063,31,35,Tyt
89,89,38.93,184.947,30,35,Tyt
90,90,39.089,184.195,30,35,Tyt
91,91,39.103,184.129,32,35,Tyt
92,92,38.705,186.022,32,35,Tyt
93,93,38.88,185.185,32,35,Tyt
94,94,38.794,185.596,32,35,Tyt
95,95,38.913,185.028,32,35,Tyt
96,96,38.859,185.285,32,35,Tyt
97,97,38.681,186.138,32,35,Tyt
98,98,38.683,186.128,32,35,Tyt
99,99,39.192,183.711,32,35,Tyt
100,100,38.85,185.328,32,35,Tyt
101,101,39.342,183.011,32,35,Tyt
102,102,38.72,185.950,31,35,Tyt
103,103,38.709,186.003,30,35,Tyt
104,104,39.084,184.219,31,35,Tyt
105,105,38.573,186.659,31,35,Tyt
106,106,38.734,185.883,30,35,Tyt
107,107,38.893,185.123,30,35,Tyt
108,108,40.163,179.269,28,35,Tyt
109,109,61.185,117.676,28,35,Tyt
110,110,80.843,89.062,31,35,Tyt
111,111,106.475,67.622,30,35,Tyt
112,112,117.794,61.124,28,35,Tyt
113,113,80.785,89.125,27,35,Tyt
114,114,41.624,172.977,31,35,Tyt
115,115,38.956,184.824,32,35,Tyt
116,116,39.653,181.575,32,35,Tyt
117,117,38.404,187.480,32,35,Tyt
118,118,39.028,184.483,30,35,Tyt
119,119,39.384,182.815,32,35,Tyt
120,120,39.339,183.024,31,35,Tyt
121,121,71.27,101.024,31,35,Tyt
122,122,98.491,73.103,31,35,Tyt
123,123,151.457,47.538,32,35,Tyt
124,124,72.544,99.250,30,35,Tyt
125,125,121.286,59.364,31,35,Tyt
126,126,80.14,89.843,30,35,Tyt
127,127,41.207,174.728,31,35,Tyt
128,128,39.397,182.755,32,35,Tyt
129,129,39.185,183.744,32,35,Tyt
130,130,38.894,185.119,32,35,Tyt
131,131,38.894,185.119,31,35,Tyt
132,132,38.544,186.800,31,35,Tyt
133,133,38.639,186.340,29,35,Tyt
134,134,38.838,185.385,28,35,Tyt
135,135,38.463,187.193,28,35,Tyt
136,136,38.628,186.393,28,35,Tyt
137,137,38.183,188.566,27,35,Tyt
138,138,38.717,185.965,27,35,Tyt
139,139,38.464,187.188,27,35,Tyt
140,140,38.607,186.495,27,35,Tyt
141,141,38.618,186.442,27,35,Tyt
142,142,38.899,185.095,26,35,Tyt
143,143,38.323,187.877,26,35,Tyt
144,144,38.271,188.132,26,35,Tyt
145,145,38.181,188.575,26,35,Tyt
146,146,52.245,137.812,25,35,Tyt
147,147,84.845,84.861,25,35,Tyt
148,148,116.907,61.587,29,35,Tyt
149,149,109.946,65.487,23,35,Tyt
150,150,110.303,65.275,25,35,Tyt
151,151,91.025,79.099,23,35,Tyt
152,152,41.742,172.488,31,35,Tyt
153,153,38.792,185.605,31,35,Tyt
154,154,38.837,185.390,30,35,Tyt
155,155,38.782,185.653,30,35,Tyt
156,156,38.655,186.263,27,35,Tyt
157,157,38.494,187.042,26,35,Tyt
158,158,38.75,185.806,27,35,Tyt
159,159,38.733,185.888,26,35,Tyt
160,160,38.335,187.818,26,35,Tyt
161,161,38.492,187.052,26,35,Tyt
162,162,38.88,185.185,26,35,Tyt
163,163,38.483,187.096,26,35,Tyt
164,164,38.549,186.775,26,35,Tyt
165,165,38.418,187.412,26,35,Tyt
166,166,38.515,186.940,26,35,Tyt
167,167,38.307,187.955,26,35,Tyt
168,168,38.446,187.276,26,35,Tyt
169,169,38.238,188.294,26,35,Tyt
170,170,38.397,187.515,26,35,Tyt
171,171,38.591,186.572,26,35,Tyt
172,172,38.442,187.295,26,35,Tyt
173,173,38.315,187.916,26,35,Tyt
174,174,38.491,187.057,26,35,Tyt
175,175,38.458,187.217,25,35,Tyt
176,176,38.554,186.751,25,35,Tyt
177,177,38.803,185.553,26,35,Tyt
178,178,38.647,186.302,26,35,Tyt
179,179,38.639,186.340,26,35,Tyt
180,180,38.485,187.086,26,35,Tyt
181,181,38.461,187.203,26,35,Tyt
182,182,38.508,186.974,25,35,Tyt
183,183,38.93,184.947,25,35,Tyt
184,184,38.691,186.090,25,35,Tyt
185,185,38.753,185.792,25,35,Tyt
186,186,38.771,185.706,25,35,Tyt
187,187,39.168,183.824,25,35,Tyt
188,188,39.11,184.096,25,35,Tyt
189,189,38.792,185.605,25,35,Tyt
190,190,38.771,185.706,25,35,Tyt
191,191,38.843,185.362,25,35,Tyt
192,192,38.862,185.271,25,35,Tyt
193,193,38.79,185.615,24,35,Tyt
194,194,39.101,184.139,24,35,Tyt
195,195,39.139,183.960,24,35,Tyt
196,196,38.818,185.481,24,35,Tyt
197,197,38.695,186.071,24,35,Tyt
198,198,38.974,184.739,24,35,Tyt
199,199,39.657,181.557,26,35,Tyt
200,200,39.871,180.582,25,35,Tyt
