,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,26,88,Chv
1,1,41.363,174.069,25,88,Chv
2,2,39.017,184.535,27,88,Chv
3,3,38.857,185.295,26,88,Chv
4,4,39.006,184.587,26,88,Chv
5,5,38.564,186.703,25,88,Chv
6,6,38.291,188.034,25,88,Chv
7,7,38.655,186.263,25,88,Chv
8,8,38.612,186.471,25,88,Chv
9,9,38.975,184.734,25,88,Chv
10,10,39.046,184.398,26,88,Chv
11,11,39.29,183.253,27,88,Chv
12,12,38.628,186.393,27,88,Chv
13,13,38.628,186.393,27,88,Chv
14,14,38.564,186.703,27,88,Chv
15,15,38.646,186.306,27,88,Chv
16,16,39.147,183.922,27,88,Chv
17,17,38.947,184.867,27,88,Chv
18,18,38.822,185.462,27,88,Chv
19,19,38.779,185.668,27,88,Chv
20,20,38.758,185.768,27,88,Chv
21,21,38.828,185.433,27,88,Chv
22,22,38.982,184.701,27,88,Chv
23,23,38.807,185.534,27,88,Chv
24,24,38.759,185.763,27,88,Chv
25,25,38.659,186.244,27,88,Chv
26,26,38.917,185.009,27,88,Chv
27,27,39.058,184.341,27,88,Chv
28,28,39.03,184.473,27,88,Chv
29,29,39.339,183.024,27,88,Chv
30,30,39.158,183.870,26,88,Chv
31,31,38.852,185.319,26,88,Chv
32,32,39.042,184.417,26,88,Chv
33,33,39.052,184.370,26,88,Chv
34,34,38.735,185.878,26,88,Chv
35,35,38.96,184.805,26,88,Chv
36,36,38.977,184.724,26,88,Chv
37,37,39.147,183.922,26,88,Chv
38,38,39.347,182.987,26,88,Chv
39,39,39.546,182.066,25,88,Chv
40,40,38.88,185.185,25,88,Chv
41,41,38.885,185.161,25,88,Chv
42,42,38.77,185.711,25,88,Chv
43,43,38.672,186.181,25,88,Chv
44,44,38.746,185.826,25,88,Chv
45,45,41.85,172.043,25,88,Chv
46,46,60.534,118.941,25,88,Chv
47,47,82.354,87.427,25,88,Chv
48,48,102.308,70.376,14,88,Chv
49,49,121.653,59.185,23,88,Chv
50,50,107.046,67.261,22,88,Chv
51,51,119.015,60.497,21,88,Chv
52,52,88.242,81.594,20,88,Chv
53,53,41.239,174.592,18,88,Chv
54,54,38.808,185.529,18,88,Chv
55,55,39.175,183.791,22,88,Chv
