,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,18,10,Chv
1,1,40.723,176.804,15,10,Chv
2,2,39.451,182.505,20,10,Chv
3,3,38.952,184.843,21,10,Chv
4,4,38.526,186.887,21,10,Chv
5,5,38.424,187.383,21,10,Chv
6,6,38.601,186.524,19,10,Chv
7,7,38.33,187.842,19,10,Chv
8,8,38.717,185.965,19,10,Chv
9,9,38.391,187.544,19,10,Chv
10,10,38.449,187.261,19,10,Chv
11,11,38.538,186.829,19,10,Chv
12,12,38.758,185.768,19,10,Chv
13,13,39.035,184.450,19,10,Chv
14,14,39.16,183.861,21,10,Chv
15,15,39.037,184.440,21,10,Chv
16,16,38.777,185.677,21,10,Chv
17,17,38.732,185.893,21,10,Chv
18,18,38.713,185.984,21,10,Chv
19,19,38.503,186.998,21,10,Chv
20,20,38.573,186.659,21,10,Chv
21,21,38.734,185.883,21,10,Chv
22,22,39.104,184.124,22,10,Chv
23,23,39.066,184.303,22,10,Chv
24,24,38.841,185.371,22,10,Chv
25,25,38.88,185.185,22,10,Chv
26,26,39.946,180.243,25,10,Chv
27,27,39.214,183.608,25,10,Chv
28,28,39.266,183.365,24,10,Chv
29,29,38.798,185.577,24,10,Chv
30,30,38.806,185.538,24,10,Chv
31,31,38.902,185.080,24,10,Chv
32,32,38.914,185.023,24,10,Chv
33,33,38.901,185.085,24,10,Chv
34,34,38.836,185.395,24,10,Chv
35,35,39.35,182.973,24,10,Chv
36,36,39.666,181.516,23,10,Chv
37,37,38.931,184.943,23,10,Chv
38,38,38.742,185.845,23,10,Chv
39,39,38.68,186.143,23,10,Chv
40,40,38.963,184.791,23,10,Chv
41,41,38.791,185.610,23,10,Chv
42,42,38.899,185.095,23,10,Chv
43,43,38.905,185.066,23,10,Chv
44,44,38.979,184.715,23,10,Chv
45,45,39.912,180.397,23,10,Chv
46,46,59.936,120.128,23,10,Chv
47,47,85.744,83.971,23,10,Chv
48,48,121.405,59.306,30,10,Chv
49,49,107.397,67.041,27,10,Chv
50,50,105.885,67.998,26,10,Chv
51,51,121.364,59.326,25,10,Chv
52,52,83.42,86.310,24,10,Chv
53,53,41.217,174.685,21,10,Chv
54,54,39.225,183.556,24,10,Chv
55,55,39.002,184.606,26,10,Chv
56,56,38.447,187.271,25,10,Chv
57,57,39.043,184.412,24,10,Chv
58,58,39.363,182.913,27,10,Chv
59,59,39.554,182.030,30,10,Chv
60,60,51.135,140.804,28,10,Chv
61,61,96.657,74.490,28,10,Chv
62,62,119.585,60.208,34,10,Chv
63,63,104.033,69.209,30,10,Chv
64,64,121.122,59.444,33,10,Chv
65,65,82.571,87.198,30,10,Chv
66,66,40.843,176.285,24,10,Chv
67,67,53.872,133.650,24,10,Chv
68,68,911.506,7.899,28,10,Chv
69,69,114.021,63.146,19,10,Chv
70,70,93.582,76.938,17,10,Chv
71,71,40.688,176.956,10,10,Chv
72,72,39.315,183.136,11,10,Chv
73,73,75.359,95.543,12,10,Chv
74,74,97.773,73.640,12,10,Chv
75,75,110.391,65.223,12,10,Chv
76,76,113.337,63.527,11,10,Chv
77,77,99.913,72.063,10,10,Chv
78,78,41.122,175.089,8,10,Chv
79,79,38.831,185.419,10,10,Chv
80,80,38.876,185.204,12,10,Chv
81,81,38.423,187.388,12,10,Chv
82,82,38.36,187.696,12,10,Chv
83,83,38.751,185.802,12,10,Chv
84,84,38.629,186.388,12,10,Chv
85,85,38.594,186.557,12,10,Chv
86,86,38.538,186.829,12,10,Chv
87,87,38.736,185.874,12,10,Chv
88,88,38.855,185.304,12,10,Chv
89,89,39.025,184.497,13,10,Chv
90,90,38.895,185.114,13,10,Chv
91,91,39.462,182.454,15,10,Chv
92,92,38.941,184.895,15,10,Chv
93,93,38.74,185.854,15,10,Chv
94,94,38.818,185.481,15,10,Chv
95,95,38.787,185.629,15,10,Chv
96,96,38.771,185.706,15,10,Chv
97,97,38.797,185.581,15,10,Chv
98,98,38.563,186.707,14,10,Chv
99,99,38.664,186.220,14,10,Chv
100,100,38.623,186.417,14,10,Chv
101,101,38.599,186.533,14,10,Chv
102,102,38.494,187.042,14,10,Chv
103,103,38.71,185.998,15,10,Chv
104,104,39.482,182.362,17,10,Chv
105,105,39.169,183.819,17,10,Chv
106,106,38.823,185.457,16,10,Chv
107,107,38.741,185.850,16,10,Chv
108,108,39.075,184.261,15,10,Chv
109,109,56.728,126.921,15,10,Chv
110,110,86.116,83.608,24,10,Chv
111,111,100.703,71.497,14,10,Chv
112,112,115.172,62.515,13,10,Chv
113,113,95.253,75.588,12,10,Chv
114,114,40.811,176.423,8,10,Chv
115,115,38.745,185.830,6,10,Chv
116,116,38.681,186.138,8,10,Chv
117,117,38.39,187.549,8,10,Chv
118,118,38.367,187.661,9,10,Chv
119,119,38.128,188.838,9,10,Chv
120,120,38.352,187.735,9,10,Chv
121,121,63.835,112.791,9,10,Chv
122,122,99.987,72.009,9,10,Chv
123,123,124.122,58.007,28,10,Chv
124,124,105.415,68.301,20,10,Chv
125,125,116.218,61.953,20,10,Chv
126,126,90.936,79.177,20,10,Chv
127,127,41.557,173.256,25,10,Chv
128,128,39.089,184.195,24,10,Chv
129,129,38.711,185.994,23,10,Chv
130,130,38.461,187.203,22,10,Chv
131,131,38.857,185.295,23,10,Chv
132,132,38.513,186.950,23,10,Chv
133,133,38.721,185.946,23,10,Chv
134,134,38.441,187.300,23,10,Chv
135,135,38.393,187.534,23,10,Chv
136,136,38.507,186.979,23,10,Chv
137,137,38.98,184.710,21,10,Chv
138,138,38.551,186.766,21,10,Chv
139,139,38.631,186.379,21,10,Chv
140,140,38.413,187.437,21,10,Chv
141,141,38.423,187.388,21,10,Chv
142,142,38.447,187.271,21,10,Chv
143,143,38.255,188.211,21,10,Chv
144,144,38.476,187.130,21,10,Chv
145,145,38.663,186.225,22,10,Chv
146,146,51.808,138.975,21,10,Chv
147,147,84.803,84.903,21,10,Chv
148,148,117.903,61.067,28,10,Chv
149,149,108.566,66.319,20,10,Chv
150,150,109.592,65.698,20,10,Chv
151,151,93.907,76.672,19,10,Chv
152,152,40.763,176.631,17,10,Chv
153,153,39.294,183.234,21,10,Chv
154,154,38.377,187.612,20,10,Chv
155,155,39.61,181.772,27,10,Chv
156,156,38.934,184.928,26,10,Chv
157,157,38.868,185.242,28,10,Chv
158,158,38.563,186.707,28,10,Chv
159,159,39.019,184.525,28,10,Chv
160,160,38.386,187.568,28,10,Chv
161,161,38.49,187.062,28,10,Chv
162,162,38.797,185.581,28,10,Chv
163,163,38.662,186.229,28,10,Chv
164,164,38.66,186.239,28,10,Chv
165,165,38.424,187.383,28,10,Chv
166,166,38.359,187.700,28,10,Chv
167,167,38.396,187.520,28,10,Chv
168,168,38.446,187.276,28,10,Chv
169,169,38.315,187.916,28,10,Chv
170,170,38.401,187.495,28,10,Chv
171,171,38.427,187.368,28,10,Chv
172,172,38.532,186.858,28,10,Chv
173,173,38.52,186.916,28,10,Chv
174,174,38.565,186.698,28,10,Chv
175,175,38.728,185.912,27,10,Chv
176,176,38.606,186.500,27,10,Chv
177,177,38.601,186.524,27,10,Chv
178,178,38.723,185.936,27,10,Chv
179,179,38.574,186.654,27,10,Chv
180,180,38.588,186.587,27,10,Chv
181,181,38.587,186.591,27,10,Chv
182,182,38.686,186.114,27,10,Chv
183,183,38.652,186.278,26,10,Chv
184,184,38.654,186.268,26,10,Chv
185,185,38.596,186.548,26,10,Chv
186,186,38.735,185.878,26,10,Chv
187,187,38.717,185.965,26,10,Chv
188,188,38.912,185.033,26,10,Chv
189,189,38.966,184.776,26,10,Chv
190,190,38.742,185.845,26,10,Chv
191,191,38.822,185.462,26,10,Chv
192,192,38.698,186.056,26,10,Chv
193,193,38.734,185.883,25,10,Chv
194,194,39.009,184.573,25,10,Chv
195,195,39.253,183.425,25,10,Chv
196,196,38.748,185.816,25,10,Chv
197,197,38.914,185.023,25,10,Chv
198,198,38.87,185.233,25,10,Chv
199,199,39.25,183.439,25,10,Chv
200,200,39.361,182.922,24,10,Chv
