,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,12,45,Tyt
1,1,40.453,177.984,24,45,Tyt
2,2,38.678,186.152,22,45,Tyt
3,3,38.462,187.198,20,45,Tyt
4,4,38.371,187.642,19,45,Tyt
5,5,38.565,186.698,19,45,Tyt
6,6,38.88,185.185,20,45,Tyt
7,7,38.514,186.945,20,45,Tyt
8,8,38.533,186.853,20,45,Tyt
9,9,38.619,186.437,20,45,Tyt
10,10,38.483,187.096,20,45,Tyt
11,11,38.602,186.519,20,45,Tyt
12,12,38.588,186.587,20,45,Tyt
13,13,39.012,184.559,21,45,Tyt
14,14,38.866,185.252,20,45,Tyt
15,15,38.66,186.239,20,45,Tyt
16,16,38.722,185.941,20,45,Tyt
17,17,38.507,186.979,20,45,Tyt
18,18,38.918,185.004,20,45,Tyt
19,19,38.516,186.935,20,45,Tyt
20,20,38.816,185.491,20,45,Tyt
21,21,38.732,185.893,20,45,Tyt
22,22,38.737,185.869,19,45,Tyt
23,23,38.576,186.645,19,45,Tyt
24,24,38.632,186.374,18,45,Tyt
25,25,38.99,184.663,18,45,Tyt
26,26,38.647,186.302,18,45,Tyt
27,27,38.732,185.893,18,45,Tyt
28,28,38.835,185.400,18,45,Tyt
29,29,39.184,183.748,19,45,Tyt
30,30,38.722,185.941,17,45,Tyt
31,31,38.807,185.534,17,45,Tyt
32,32,38.729,185.907,18,45,Tyt
33,33,38.769,185.715,18,45,Tyt
34,34,38.67,186.191,18,45,Tyt
35,35,38.626,186.403,17,45,Tyt
36,36,38.472,187.149,17,45,Tyt
37,37,38.557,186.737,17,45,Tyt
38,38,38.529,186.872,17,45,Tyt
39,39,38.645,186.311,17,45,Tyt
40,40,38.547,186.785,17,45,Tyt
41,41,38.397,187.515,17,45,Tyt
42,42,38.553,186.756,17,45,Tyt
43,43,38.601,186.524,17,45,Tyt
44,44,38.52,186.916,17,45,Tyt
45,45,38.907,185.057,17,45,Tyt
46,46,59.957,120.086,17,45,Tyt
47,47,91.01,79.112,17,45,Tyt
48,48,121.796,59.115,24,45,Tyt
49,49,102.255,70.412,16,45,Tyt
50,50,108.387,66.429,15,45,Tyt
51,51,114.744,62.748,15,45,Tyt
52,52,95.631,75.289,14,45,Tyt
