,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,20,2,Frd
1,1,130.067,66.981,21,2,Frd
2,2,185.952,46.851,10,2,Frd
3,3,197.038,44.215,2,2,Frd
4,4,206.393,42.211,1,2,Frd
5,5,121.952,71.438,10,2,Frd
6,6,120.244,72.453,18,2,Frd
7,7,135.331,64.375,13,2,Frd
8,8,195.457,44.572,11,2,Frd
9,9,201.656,43.202,19,2,Frd
10,10,124.321,70.077,26,2,Frd
11,11,118.97,73.229,29,2,Frd
12,12,117.351,74.239,31,2,Frd
13,13,115.482,75.440,31,2,Frd
14,14,114.106,76.350,31,2,Frd
15,15,112.665,77.327,31,2,Frd
16,16,111.486,78.144,31,2,Frd
17,17,111.388,78.213,23,2,Frd
18,18,109.79,79.351,20,2,Frd
19,19,107.341,81.162,19,2,Frd
20,20,108.486,80.305,19,2,Frd
21,21,124.287,70.096,19,2,Frd
22,22,178.84,48.714,13,2,Frd
23,23,196.502,44.335,7,2,Frd
24,24,203.1,42.895,7,2,Frd
25,25,101.822,85.561,5,2,Frd
26,26,96.681,90.111,4,2,Frd
27,27,95.064,91.644,3,2,Frd
28,28,94.8,91.899,3,2,Frd
29,29,94.83,91.870,3,2,Frd
30,30,95.579,91.150,4,2,Frd
31,31,94.956,91.748,4,2,Frd
32,32,116.172,74.992,4,2,Frd
33,33,222.186,39.210,4,2,Frd
34,34,198.929,43.795,4,2,Frd
35,35,96.603,90.184,3,2,Frd
36,36,94.55,92.142,3,2,Frd
37,37,95.988,90.761,4,2,Frd
38,38,94.672,92.023,4,2,Frd
39,39,94.861,91.840,4,2,Frd
40,40,94.99,91.715,4,2,Frd
41,41,124.195,70.148,29,2,Frd
42,42,105.673,82.443,27,2,Frd
43,43,94.883,91.818,22,2,Frd
44,44,95.008,91.698,22,2,Frd
45,45,99.487,87.569,22,2,Frd
46,46,118.932,73.252,22,2,Frd
47,47,177.807,48.997,18,2,Frd
48,48,201.316,43.275,16,2,Frd
49,49,194.301,44.838,15,2,Frd
50,50,102.305,85.157,12,2,Frd
51,51,96.413,90.361,11,2,Frd
52,52,95.346,91.372,10,2,Frd
53,53,95.892,90.852,10,2,Frd
54,54,95.413,91.308,9,2,Frd
55,55,95.486,91.239,8,2,Frd
56,56,95.506,91.219,7,2,Frd
57,57,95.502,91.223,6,2,Frd
58,58,96.082,90.673,5,2,Frd
59,59,96.091,90.664,5,2,Frd
60,60,96.246,90.518,5,2,Frd
61,61,96.463,90.314,4,2,Frd
62,62,96.693,90.100,4,2,Frd
63,63,96.504,90.276,4,2,Frd
64,64,96.467,90.311,3,2,Frd
65,65,103.212,84.409,3,2,Frd
66,66,189.566,45.958,3,2,Frd
67,67,213.313,40.841,21,2,Frd
68,68,191.418,45.513,16,2,Frd
69,69,101.216,86.073,15,2,Frd
70,70,97.148,89.678,15,2,Frd
71,71,95.945,90.802,16,2,Frd
72,72,94.731,91.966,16,2,Frd
73,73,94.92,91.783,15,2,Frd
74,74,95.149,91.562,15,2,Frd
75,75,94.999,91.706,15,2,Frd
76,76,95.287,91.429,15,2,Frd
77,77,95.411,91.310,15,2,Frd
78,78,96.663,90.128,15,2,Frd
79,79,98.807,88.172,16,2,Frd
80,80,95.519,91.207,16,2,Frd
81,81,96.146,90.612,16,2,Frd
82,82,96.349,90.421,16,2,Frd
83,83,96.017,90.734,16,2,Frd
84,84,96.391,90.382,16,2,Frd
85,85,96.482,90.297,16,2,Frd
86,86,97.131,89.693,16,2,Frd
87,87,98.373,88.561,17,2,Frd
88,88,98.559,88.394,17,2,Frd
89,89,97.014,89.801,17,2,Frd
90,90,96.995,89.819,17,2,Frd
91,91,97.023,89.793,17,2,Frd
92,92,97.063,89.756,17,2,Frd
93,93,97.201,89.629,17,2,Frd
94,94,97.881,89.006,17,2,Frd
95,95,97.444,89.405,17,2,Frd
96,96,97.918,88.972,17,2,Frd
97,97,99.078,87.931,17,2,Frd
98,98,100.419,86.756,18,2,Frd
99,99,98.816,88.164,18,2,Frd
100,100,99.496,87.561,18,2,Frd
