,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,21,3,Chv
1,1,135.395,64.345,25,3,Chv
2,2,206.338,42.222,22,3,Chv
3,3,189.245,46.036,20,3,Chv
4,4,191.841,45.413,22,3,Chv
5,5,124.608,69.915,34,3,Chv
6,6,117.572,74.099,33,3,Chv
7,7,145.479,59.885,28,3,Chv
8,8,191.844,45.412,25,3,Chv
9,9,192.586,45.237,23,3,Chv
10,10,122.446,71.150,25,3,Chv
11,11,114.099,76.355,24,3,Chv
12,12,113.847,76.524,25,3,Chv
13,13,113.869,76.509,25,3,Chv
14,14,112.284,77.589,25,3,Chv
15,15,111.34,78.247,25,3,Chv
16,16,110.114,79.118,24,3,Chv
17,17,136.496,63.826,28,3,Chv
18,18,124.622,69.907,28,3,Chv
19,19,109.882,79.285,28,3,Chv
20,20,116.73,74.634,28,3,Chv
21,21,123.833,70.353,28,3,Chv
22,22,153.558,56.734,22,3,Chv
23,23,195.818,44.490,15,3,Chv
24,24,195.335,44.600,17,3,Chv
25,25,104.893,83.056,15,3,Chv
26,26,98.721,88.249,15,3,Chv
27,27,97.366,89.477,14,3,Chv
28,28,99.022,87.980,11,3,Chv
29,29,95.822,90.919,11,3,Chv
30,30,95.303,91.414,11,3,Chv
31,31,99.725,87.360,11,3,Chv
32,32,129.148,67.457,12,3,Chv
33,33,197.437,44.125,12,3,Chv
34,34,192.909,45.161,11,3,Chv
35,35,98.871,88.115,10,3,Chv
36,36,95.859,90.883,10,3,Chv
37,37,95.187,91.525,10,3,Chv
38,38,95.816,90.924,10,3,Chv
39,39,96.379,90.393,11,3,Chv
40,40,95.324,91.394,11,3,Chv
41,41,96.234,90.529,10,3,Chv
42,42,96.681,90.111,7,3,Chv
43,43,96.983,89.830,6,3,Chv
44,44,96.243,90.521,6,3,Chv
45,45,96.51,90.270,6,3,Chv
46,46,124.795,69.810,6,3,Chv
47,47,209.426,41.599,26,3,Chv
48,48,202.635,42.994,26,3,Chv
49,49,186.759,46.648,26,3,Chv
50,50,104.713,83.199,29,3,Chv
51,51,101.554,85.787,31,3,Chv
52,52,97.837,89.046,30,3,Chv
53,53,96.022,90.729,29,3,Chv
54,54,97.884,89.003,27,3,Chv
55,55,95.633,91.098,27,3,Chv
56,56,96.046,90.707,27,3,Chv
57,57,96.141,90.617,27,3,Chv
58,58,96.609,90.178,27,3,Chv
59,59,99.104,87.908,26,3,Chv
60,60,96.25,90.514,26,3,Chv
61,61,96.255,90.510,24,3,Chv
62,62,96.504,90.276,21,3,Chv
63,63,99.27,87.761,19,3,Chv
64,64,97.961,88.933,15,3,Chv
65,65,108.321,80.428,15,3,Chv
66,66,173.246,50.287,15,3,Chv
67,67,206.42,42.205,27,3,Chv
68,68,187.488,46.467,21,3,Chv
69,69,102.053,85.367,18,3,Chv
70,70,96.856,89.948,18,3,Chv
71,71,96.641,90.148,19,3,Chv
72,72,117.528,74.127,31,3,Chv
73,73,96.817,89.984,31,3,Chv
74,74,95.6,91.130,31,3,Chv
75,75,95.721,91.015,31,3,Chv
76,76,95.654,91.078,31,3,Chv
77,77,96.226,90.537,31,3,Chv
78,78,96.784,90.015,31,3,Chv
79,79,96.109,90.647,31,3,Chv
80,80,96.121,90.636,31,3,Chv
81,81,96.163,90.596,31,3,Chv
82,82,121.531,71.685,32,3,Chv
83,83,105.538,82.548,32,3,Chv
84,84,97.377,89.467,32,3,Chv
85,85,96.015,90.736,31,3,Chv
86,86,95.393,91.327,31,3,Chv
87,87,95.573,91.155,31,3,Chv
88,88,95.114,91.595,31,3,Chv
89,89,95.688,91.046,31,3,Chv
90,90,96.009,90.741,31,3,Chv
91,91,95.98,90.769,31,3,Chv
92,92,96.146,90.612,31,3,Chv
93,93,97.201,89.629,30,3,Chv
94,94,96.246,90.518,30,3,Chv
95,95,96.049,90.704,30,3,Chv
96,96,96.628,90.160,30,3,Chv
97,97,96.311,90.457,29,3,Chv
98,98,96.431,90.344,29,3,Chv
99,99,97.248,89.585,28,3,Chv
100,100,96.442,90.334,28,3,Chv
