,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,25,23,Tyt
1,1,136.626,63.765,26,23,Tyt
2,2,209.475,41.590,28,23,Tyt
3,3,190.649,45.697,26,23,Tyt
4,4,187.214,46.535,26,23,Tyt
5,5,120.241,72.454,25,23,Tyt
6,6,118.322,73.630,23,23,Tyt
7,7,137.172,63.512,17,23,Tyt
8,8,196.679,44.296,17,23,Tyt
9,9,196.494,44.337,16,23,Tyt
10,10,118.719,73.383,16,23,Tyt
11,11,114.759,75.916,16,23,Tyt
12,12,112.881,77.179,16,23,Tyt
13,13,112.021,77.771,16,23,Tyt
14,14,111.775,77.942,15,23,Tyt
15,15,109.912,79.263,15,23,Tyt
16,16,109.506,79.557,14,23,Tyt
17,17,108.476,80.313,12,23,Tyt
18,18,107.681,80.906,10,23,Tyt
19,19,104.98,82.987,8,23,Tyt
20,20,104.838,83.100,8,23,Tyt
21,21,140.214,62.134,8,23,Tyt
22,22,210.484,41.390,23,23,Tyt
23,23,203.428,42.826,24,23,Tyt
24,24,187.204,46.537,24,23,Tyt
25,25,106.714,81.639,26,23,Tyt
26,26,99.348,87.692,24,23,Tyt
27,27,97.548,89.310,22,23,Tyt
28,28,98.195,88.721,21,23,Tyt
29,29,98.318,88.610,20,23,Tyt
30,30,95.434,91.288,20,23,Tyt
31,31,103.404,84.252,20,23,Tyt
32,32,127.659,68.244,19,23,Tyt
33,33,195.161,44.640,19,23,Tyt
34,34,187.793,46.392,15,23,Tyt
35,35,99.565,87.501,11,23,Tyt
36,36,95.481,91.243,11,23,Tyt
37,37,95.162,91.549,11,23,Tyt
38,38,95.416,91.305,11,23,Tyt
39,39,95.619,91.112,10,23,Tyt
40,40,95.467,91.257,10,23,Tyt
41,41,95.888,90.856,8,23,Tyt
42,42,121.324,71.808,26,23,Tyt
43,43,105.509,82.571,25,23,Tyt
44,44,95.779,90.959,25,23,Tyt
45,45,102.513,84.984,25,23,Tyt
46,46,120.579,72.251,25,23,Tyt
47,47,172.184,50.597,21,23,Tyt
48,48,200.455,43.461,19,23,Tyt
49,49,192.12,45.347,19,23,Tyt
50,50,103.618,84.078,19,23,Tyt
51,51,100.222,86.927,22,23,Tyt
52,52,96.339,90.431,20,23,Tyt
53,53,96.244,90.520,19,23,Tyt
54,54,95.403,91.318,18,23,Tyt
55,55,95.383,91.337,18,23,Tyt
56,56,96.075,90.679,19,23,Tyt
57,57,99.65,87.426,20,23,Tyt
58,58,98.018,88.882,19,23,Tyt
59,59,96.409,90.365,19,23,Tyt
60,60,95.99,90.759,19,23,Tyt
61,61,96.63,90.158,18,23,Tyt
62,62,97.624,89.240,14,23,Tyt
63,63,96.828,89.974,13,23,Tyt
64,64,97.661,89.207,11,23,Tyt
65,65,108.394,80.373,11,23,Tyt
66,66,175.678,49.591,11,23,Tyt
67,67,209.703,41.544,26,23,Tyt
68,68,187.976,46.346,23,23,Tyt
69,69,102.368,85.105,19,23,Tyt
70,70,97.129,89.695,19,23,Tyt
71,71,96.265,90.500,20,23,Tyt
72,72,95.031,91.675,18,23,Tyt
73,73,94.915,91.787,17,23,Tyt
74,74,95.238,91.476,17,23,Tyt
75,75,95.219,91.494,17,23,Tyt
76,76,96.016,90.735,17,23,Tyt
77,77,95.938,90.809,17,23,Tyt
78,78,95.506,91.219,17,23,Tyt
79,79,96.819,89.982,17,23,Tyt
80,80,95.902,90.843,17,23,Tyt
81,81,96.157,90.602,17,23,Tyt
82,82,96.188,90.573,17,23,Tyt
83,83,96.146,90.612,17,23,Tyt
84,84,96.417,90.358,17,23,Tyt
85,85,96.199,90.562,17,23,Tyt
86,86,96.857,89.947,17,23,Tyt
87,87,98.011,88.888,16,23,Tyt
88,88,98.108,88.800,16,23,Tyt
89,89,96.82,89.981,16,23,Tyt
90,90,96.757,90.040,16,23,Tyt
91,91,96.98,89.833,16,23,Tyt
92,92,96.686,90.106,16,23,Tyt
93,93,96.865,89.940,16,23,Tyt
94,94,96.913,89.895,16,23,Tyt
95,95,97.57,89.290,15,23,Tyt
96,96,97.382,89.462,15,23,Tyt
97,97,98.156,88.757,14,23,Tyt
98,98,97.331,89.509,14,23,Tyt
99,99,97.754,89.122,13,23,Tyt
100,100,99.128,87.886,12,23,Tyt
