,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,19,19,Tyt
1,1,128.243,67.934,19,19,Tyt
2,2,210.503,41.387,20,19,Tyt
3,3,190.824,45.655,18,19,Tyt
4,4,192.264,45.313,17,19,Tyt
5,5,120.307,72.415,12,19,Tyt
6,6,114.944,75.793,11,19,Tyt
7,7,302.127,28.836,34,19,Tyt
8,8,288.894,30.156,33,19,Tyt
9,9,122.81,70.939,34,19,Tyt
10,10,112.052,77.750,33,19,Tyt
11,11,111.05,78.451,33,19,Tyt
12,12,110.782,78.641,33,19,Tyt
13,13,109.898,79.274,33,19,Tyt
14,14,108.205,80.514,33,19,Tyt
15,15,107.497,81.044,33,19,Tyt
16,16,105.575,82.520,33,19,Tyt
17,17,105.618,82.486,33,19,Tyt
18,18,104.715,83.197,33,19,Tyt
19,19,107.958,80.698,33,19,Tyt
20,20,117.878,73.907,33,19,Tyt
21,21,121.266,71.842,33,19,Tyt
22,22,138.922,62.711,33,19,Tyt
23,23,150.805,57.770,33,19,Tyt
24,24,277.479,31.397,34,19,Tyt
25,25,106.793,81.578,34,19,Tyt
26,26,95.561,91.167,34,19,Tyt
27,27,95.622,91.109,34,19,Tyt
28,28,94.972,91.732,34,19,Tyt
29,29,96.831,89.971,33,19,Tyt
30,30,102.104,85.325,33,19,Tyt
31,31,129.273,67.392,33,19,Tyt
32,32,117.923,73.879,33,19,Tyt
33,33,172.814,50.413,32,19,Tyt
34,34,106.522,81.786,32,19,Tyt
35,35,95.398,91.323,32,19,Tyt
36,36,94.037,92.644,32,19,Tyt
37,37,94.209,92.475,32,19,Tyt
38,38,94.985,91.720,31,19,Tyt
39,39,95.503,91.222,30,19,Tyt
40,40,96.445,90.331,29,19,Tyt
41,41,95.698,91.036,25,19,Tyt
42,42,96.097,90.658,20,19,Tyt
43,43,94.769,91.929,19,19,Tyt
44,44,96.326,90.443,18,19,Tyt
45,45,97.424,89.424,17,19,Tyt
46,46,130.124,66.952,17,19,Tyt
47,47,182.795,47.660,13,19,Tyt
48,48,202.01,43.127,13,19,Tyt
49,49,197.747,44.056,14,19,Tyt
50,50,103.057,84.536,15,19,Tyt
51,51,98.436,88.504,14,19,Tyt
52,52,95.235,91.479,13,19,Tyt
53,53,95.091,91.618,13,19,Tyt
54,54,95.303,91.414,12,19,Tyt
55,55,95.736,91.000,12,19,Tyt
56,56,98.813,88.167,11,19,Tyt
57,57,96.051,90.702,11,19,Tyt
58,58,97.469,89.382,12,19,Tyt
59,59,98.117,88.792,14,19,Tyt
60,60,97.75,89.125,15,19,Tyt
61,61,97.076,89.744,13,19,Tyt
62,62,98.138,88.773,12,19,Tyt
63,63,98.184,88.731,12,19,Tyt
64,64,127.99,68.068,25,19,Tyt
65,65,132.118,65.941,28,19,Tyt
66,66,137.792,63.226,28,19,Tyt
67,67,184.476,47.226,12,19,Tyt
68,68,196.42,44.354,5,19,Tyt
69,69,100.336,86.828,10,19,Tyt
70,70,94.855,91.845,10,19,Tyt
71,71,94.63,92.064,10,19,Tyt
72,72,95.092,91.617,10,19,Tyt
73,73,96.01,90.741,10,19,Tyt
74,74,95.241,91.473,11,19,Tyt
75,75,94.859,91.842,11,19,Tyt
76,76,95.093,91.616,11,19,Tyt
77,77,95.576,91.153,11,19,Tyt
78,78,95.083,91.625,11,19,Tyt
79,79,95.893,90.851,11,19,Tyt
80,80,95.653,91.079,10,19,Tyt
81,81,95.612,91.118,10,19,Tyt
82,82,95.858,90.884,10,19,Tyt
83,83,95.982,90.767,10,19,Tyt
84,84,96.23,90.533,10,19,Tyt
85,85,96.217,90.545,10,19,Tyt
86,86,96.452,90.325,10,19,Tyt
87,87,97.095,89.727,9,19,Tyt
88,88,96.563,90.221,9,19,Tyt
89,89,96.507,90.273,9,19,Tyt
90,90,97.909,88.981,10,19,Tyt
91,91,98.908,88.082,9,19,Tyt
92,92,97.313,89.526,9,19,Tyt
93,93,97.355,89.487,9,19,Tyt
94,94,97.156,89.670,9,19,Tyt
95,95,97.758,89.118,8,19,Tyt
96,96,97.477,89.375,8,19,Tyt
97,97,97.483,89.369,8,19,Tyt
98,98,97.973,88.922,8,19,Tyt
99,99,98.152,88.760,7,19,Tyt
100,100,98.133,88.777,7,19,Tyt
