,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,16,17,Frd
1,1,125.661,69.329,16,17,Frd
2,2,189.543,45.963,8,17,Frd
3,3,197.402,44.133,1,17,Frd
4,4,207.42,42.002,4,17,Frd
5,5,123.321,70.645,16,17,Frd
6,6,121.343,71.796,29,17,Frd
7,7,143.938,60.526,26,17,Frd
8,8,214.984,40.524,31,17,Frd
9,9,176.922,49.242,31,17,Frd
10,10,118.243,73.679,27,17,Frd
11,11,114.864,75.846,26,17,Frd
12,12,113.15,76.995,26,17,Frd
13,13,113.847,76.524,27,17,Frd
14,14,111.831,77.903,27,17,Frd
15,15,111.654,78.027,27,17,Frd
16,16,110.991,78.493,27,17,Frd
17,17,136.272,63.931,29,17,Frd
18,18,123.596,70.488,29,17,Frd
19,19,109.525,79.543,29,17,Frd
20,20,117.257,74.298,29,17,Frd
21,21,123.694,70.432,29,17,Frd
22,22,155.005,56.205,24,17,Frd
23,23,194.946,44.689,16,17,Frd
24,24,194.124,44.879,15,17,Frd
25,25,105.058,82.926,16,17,Frd
26,26,100.499,86.687,19,17,Frd
27,27,98.097,88.810,15,17,Frd
28,28,97.194,89.635,15,17,Frd
29,29,96.316,90.452,14,17,Frd
30,30,95.206,91.507,14,17,Frd
31,31,100.454,86.726,14,17,Frd
32,32,128.536,67.779,14,17,Frd
33,33,197.651,44.078,13,17,Frd
34,34,191.498,45.494,12,17,Frd
35,35,100.119,87.016,12,17,Frd
36,36,95.37,91.349,12,17,Frd
37,37,95.151,91.560,12,17,Frd
38,38,95.34,91.378,12,17,Frd
39,39,98.156,88.757,14,17,Frd
40,40,95.346,91.372,14,17,Frd
41,41,95.36,91.359,12,17,Frd
42,42,96.011,90.740,9,17,Frd
43,43,96.718,90.076,7,17,Frd
44,44,96.493,90.286,7,17,Frd
45,45,96.235,90.528,7,17,Frd
46,46,125.56,69.385,7,17,Frd
47,47,192.208,45.326,5,17,Frd
48,48,201.322,43.274,5,17,Frd
49,49,202.895,42.938,6,17,Frd
50,50,99.367,87.675,5,17,Frd
51,51,95.926,90.820,5,17,Frd
52,52,96.808,89.993,5,17,Frd
53,53,95.633,91.098,5,17,Frd
54,54,95.427,91.295,5,17,Frd
55,55,97.039,89.778,6,17,Frd
56,56,96.383,90.389,6,17,Frd
57,57,97.13,89.694,7,17,Frd
58,58,97.091,89.730,7,17,Frd
59,59,97.427,89.421,7,17,Frd
60,60,98.322,88.607,8,17,Frd
61,61,99.877,87.227,10,17,Frd
62,62,129.078,67.494,33,17,Frd
63,63,105.372,82.679,32,17,Frd
64,64,97.37,89.473,28,17,Frd
65,65,119.76,72.745,27,17,Frd
66,66,144.819,60.158,27,17,Frd
67,67,185.875,46.870,13,17,Frd
68,68,195.045,44.667,6,17,Frd
69,69,98.447,88.494,6,17,Frd
70,70,94.931,91.772,6,17,Frd
71,71,94.747,91.950,6,17,Frd
72,72,94.705,91.991,6,17,Frd
73,73,95.164,91.547,6,17,Frd
74,74,94.409,92.279,6,17,Frd
75,75,96.265,90.500,7,17,Frd
76,76,95.103,91.606,7,17,Frd
77,77,95.332,91.386,7,17,Frd
78,78,95.725,91.011,7,17,Frd
79,79,95.734,91.002,7,17,Frd
80,80,95.515,91.211,7,17,Frd
81,81,96.131,90.626,7,17,Frd
82,82,96.294,90.473,7,17,Frd
83,83,96.048,90.705,7,17,Frd
84,84,96.107,90.649,7,17,Frd
85,85,96.254,90.511,7,17,Frd
86,86,96.535,90.247,7,17,Frd
87,87,96.639,90.150,7,17,Frd
88,88,96.905,89.902,7,17,Frd
89,89,97.131,89.693,7,17,Frd
90,90,97.37,89.473,7,17,Frd
91,91,97.371,89.472,7,17,Frd
92,92,97.507,89.347,7,17,Frd
93,93,97.689,89.181,8,17,Frd
94,94,98.911,88.079,8,17,Frd
95,95,98.985,88.013,9,17,Frd
96,96,98.021,88.879,9,17,Frd
97,97,98.334,88.596,9,17,Frd
98,98,98.797,88.181,9,17,Frd
99,99,99.528,87.533,10,17,Frd
100,100,99.07,87.938,10,17,Frd
