,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,34,51,Frd
1,1,143.375,60.764,35,51,Frd
2,2,213.281,40.848,35,51,Frd
3,3,187.021,46.583,35,51,Frd
4,4,183.963,47.357,35,51,Frd
5,5,118.561,73.481,33,51,Frd
6,6,118.823,73.319,36,51,Frd
7,7,145.346,59.940,30,51,Frd
8,8,192.175,45.334,27,51,Frd
9,9,193.255,45.080,27,51,Frd
10,10,121.521,71.691,28,51,Frd
11,11,115.222,75.611,27,51,Frd
12,12,113.237,76.936,27,51,Frd
13,13,112.745,77.272,26,51,Frd
14,14,112.0,77.786,26,51,Frd
15,15,111.465,78.159,26,51,Frd
16,16,111.387,78.214,26,51,Frd
17,17,145.1,60.041,32,51,Frd
18,18,126.603,68.814,32,51,Frd
19,19,112.17,77.668,32,51,Frd
20,20,122.695,71.005,32,51,Frd
21,21,110.496,78.844,32,51,Frd
22,22,150.754,57.790,29,51,Frd
23,23,195.266,44.616,19,51,Frd
24,24,191.867,45.406,20,51,Frd
25,25,108.302,80.442,28,51,Frd
26,26,101.168,86.114,28,51,Frd
27,27,99.721,87.364,27,51,Frd
28,28,99.265,87.765,27,51,Frd
29,29,97.49,89.363,26,51,Frd
30,30,97.577,89.283,26,51,Frd
31,31,102.961,84.615,25,51,Frd
32,32,210.465,41.394,32,51,Frd
33,33,234.261,37.189,33,51,Frd
34,34,108.198,80.519,33,51,Frd
35,35,95.795,90.944,33,51,Frd
36,36,95.609,91.121,33,51,Frd
37,37,95.808,90.932,33,51,Frd
38,38,96.151,90.607,33,51,Frd
39,39,97.402,89.444,32,51,Frd
40,40,96.398,90.375,32,51,Frd
41,41,96.588,90.198,32,51,Frd
42,42,96.965,89.847,32,51,Frd
43,43,96.897,89.910,31,51,Frd
44,44,97.208,89.622,31,51,Frd
45,45,109.302,79.706,31,51,Frd
46,46,125.047,69.670,31,51,Frd
47,47,171.539,50.787,32,51,Frd
48,48,180.562,48.249,30,51,Frd
49,49,183.227,47.548,30,51,Frd
50,50,103.98,83.785,26,51,Frd
51,51,101.269,86.028,27,51,Frd
52,52,98.355,88.577,28,51,Frd
53,53,96.97,89.842,30,51,Frd
54,54,97.823,89.059,28,51,Frd
55,55,97.759,89.117,28,51,Frd
56,56,96.877,89.928,28,51,Frd
57,57,97.512,89.343,29,51,Frd
58,58,98.912,88.078,30,51,Frd
59,59,96.972,89.840,30,51,Frd
60,60,97.682,89.187,30,51,Frd
61,61,98.268,88.656,30,51,Frd
62,62,97.747,89.128,26,51,Frd
63,63,98.071,88.834,23,51,Frd
64,64,98.378,88.556,22,51,Frd
65,65,111.889,77.863,22,51,Frd
66,66,167.845,51.905,22,51,Frd
67,67,207.603,41.965,31,51,Frd
68,68,179.719,48.476,28,51,Frd
69,69,104.52,83.352,27,51,Frd
70,70,97.202,89.628,28,51,Frd
71,71,97.662,89.206,29,51,Frd
72,72,98.724,88.246,28,51,Frd
73,73,96.387,90.386,26,51,Frd
74,74,97.187,89.642,27,51,Frd
75,75,95.893,90.851,27,51,Frd
76,76,96.453,90.324,27,51,Frd
77,77,98.722,88.248,29,51,Frd
78,78,97.038,89.779,29,51,Frd
79,79,96.941,89.869,29,51,Frd
80,80,97.063,89.756,29,51,Frd
81,81,97.503,89.351,29,51,Frd
82,82,97.76,89.116,29,51,Frd
83,83,97.718,89.155,28,51,Frd
84,84,97.757,89.119,27,51,Frd
85,85,98.114,88.795,27,51,Frd
86,86,97.43,89.418,27,51,Frd
87,87,98.391,88.545,27,51,Frd
88,88,98.985,88.013,27,51,Frd
89,89,98.53,88.420,27,51,Frd
90,90,98.896,88.093,27,51,Frd
91,91,99.3,87.734,27,51,Frd
92,92,99.9,87.207,27,51,Frd
93,93,100.757,86.465,29,51,Frd
94,94,99.889,87.217,29,51,Frd
95,95,99.286,87.747,29,51,Frd
96,96,99.444,87.607,29,51,Frd
97,97,101.126,86.150,31,51,Frd
98,98,100.326,86.837,31,51,Frd
99,99,100.478,86.706,31,51,Frd
100,100,100.927,86.320,31,51,Frd
