,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,14,43,Tyt
1,1,126.497,68.871,17,43,Tyt
2,2,193.039,45.131,12,43,Tyt
3,3,207.195,42.047,15,43,Tyt
4,4,195.241,44.622,16,43,Tyt
5,5,121.262,71.844,14,43,Tyt
6,6,115.572,75.382,14,43,Tyt
7,7,134.799,64.630,8,43,Tyt
8,8,196.123,44.421,8,43,Tyt
9,9,203.142,42.886,7,43,Tyt
10,10,116.983,74.472,9,43,Tyt
11,11,114.044,76.392,9,43,Tyt
12,12,113.528,76.739,11,43,Tyt
13,13,112.662,77.329,12,43,Tyt
14,14,111.22,78.331,12,43,Tyt
15,15,110.014,79.190,11,43,Tyt
16,16,109.307,79.702,10,43,Tyt
17,17,108.51,80.288,8,43,Tyt
18,18,106.352,81.917,7,43,Tyt
19,19,106.695,81.653,6,43,Tyt
20,20,104.826,83.109,6,43,Tyt
21,21,140.654,61.939,6,43,Tyt
22,22,194.436,44.807,6,43,Tyt
23,23,219.146,39.754,22,43,Tyt
24,24,189.052,46.083,22,43,Tyt
25,25,108.079,80.608,29,43,Tyt
26,26,99.445,87.606,25,43,Tyt
27,27,97.252,89.582,24,43,Tyt
28,28,98.148,88.764,23,43,Tyt
29,29,98.883,88.104,23,43,Tyt
30,30,95.558,91.170,22,43,Tyt
31,31,103.222,84.401,22,43,Tyt
32,32,130.681,66.666,22,43,Tyt
33,33,191.572,45.476,21,43,Tyt
34,34,188.288,46.270,26,43,Tyt
35,35,101.572,85.772,23,43,Tyt
36,36,96.292,90.475,22,43,Tyt
37,37,96.668,90.123,22,43,Tyt
38,38,126.561,68.836,32,43,Tyt
39,39,133.843,65.091,33,43,Tyt
40,40,95.092,91.617,33,43,Tyt
41,41,95.284,91.432,33,43,Tyt
42,42,94.678,92.017,33,43,Tyt
43,43,94.819,91.880,33,43,Tyt
44,44,97.515,89.340,33,43,Tyt
45,45,104.178,83.626,33,43,Tyt
46,46,114.372,76.172,33,43,Tyt
47,47,150.541,57.871,30,43,Tyt
48,48,220.303,39.546,32,43,Tyt
49,49,160.773,54.188,29,43,Tyt
50,50,103.109,84.493,20,43,Tyt
51,51,99.069,87.939,18,43,Tyt
52,52,95.514,91.212,17,43,Tyt
53,53,96.798,90.002,16,43,Tyt
54,54,95.807,90.933,16,43,Tyt
55,55,94.999,91.706,16,43,Tyt
56,56,96.287,90.480,13,43,Tyt
57,57,95.761,90.976,13,43,Tyt
58,58,97.05,89.768,13,43,Tyt
59,59,97.735,89.139,13,43,Tyt
60,60,96.481,90.298,12,43,Tyt
61,61,96.846,89.957,11,43,Tyt
62,62,97.378,89.466,9,43,Tyt
63,63,97.393,89.452,8,43,Tyt
64,64,97.615,89.249,8,43,Tyt
65,65,108.182,80.531,8,43,Tyt
66,66,177.025,49.213,8,43,Tyt
67,67,193.815,44.950,2,43,Tyt
68,68,206.096,42.272,17,43,Tyt
69,69,101.543,85.796,16,43,Tyt
70,70,96.783,90.016,16,43,Tyt
71,71,95.483,91.241,15,43,Tyt
72,72,94.698,91.998,15,43,Tyt
73,73,94.924,91.779,14,43,Tyt
74,74,95.142,91.568,14,43,Tyt
75,75,94.766,91.932,14,43,Tyt
76,76,95.019,91.687,14,43,Tyt
77,77,94.926,91.777,14,43,Tyt
78,78,97.458,89.392,13,43,Tyt
79,79,96.532,90.250,13,43,Tyt
80,80,96.214,90.548,13,43,Tyt
81,81,96.289,90.478,13,43,Tyt
82,82,96.26,90.505,13,43,Tyt
83,83,96.459,90.318,13,43,Tyt
84,84,96.456,90.321,13,43,Tyt
85,85,96.359,90.412,13,43,Tyt
86,86,96.456,90.321,13,43,Tyt
87,87,96.428,90.347,13,43,Tyt
88,88,97.933,88.959,14,43,Tyt
89,89,97.178,89.650,14,43,Tyt
90,90,98.015,88.884,15,43,Tyt
91,91,98.104,88.804,15,43,Tyt
92,92,97.373,89.470,15,43,Tyt
93,93,97.195,89.634,15,43,Tyt
94,94,97.358,89.484,15,43,Tyt
95,95,99.081,87.928,16,43,Tyt
96,96,98.067,88.837,16,43,Tyt
97,97,98.125,88.785,16,43,Tyt
98,98,98.502,88.445,16,43,Tyt
99,99,99.014,87.988,16,43,Tyt
100,100,99.725,87.360,17,43,Tyt
