,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,32,42,Tyt
1,1,141.367,61.627,32,42,Tyt
2,2,207.494,41.987,30,42,Tyt
3,3,189.352,46.010,29,42,Tyt
4,4,185.388,46.993,28,42,Tyt
5,5,122.551,71.089,32,42,Tyt
6,6,117.526,74.128,31,42,Tyt
7,7,139.612,62.402,23,42,Tyt
8,8,197.298,44.157,23,42,Tyt
9,9,194.094,44.885,25,42,Tyt
10,10,125.86,69.220,31,42,Tyt
11,11,115.665,75.321,28,42,Tyt
12,12,112.715,77.292,28,42,Tyt
13,13,112.938,77.140,28,42,Tyt
14,14,113.802,76.554,30,42,Tyt
15,15,109.821,79.329,30,42,Tyt
16,16,109.163,79.807,29,42,Tyt
17,17,136.84,63.666,30,42,Tyt
18,18,124.457,70.000,31,42,Tyt
19,19,108.549,80.259,31,42,Tyt
20,20,118.26,73.668,31,42,Tyt
21,21,122.807,70.941,31,42,Tyt
22,22,154.999,56.207,28,42,Tyt
23,23,194.874,44.706,18,42,Tyt
24,24,192.847,45.176,18,42,Tyt
25,25,105.842,82.311,20,42,Tyt
26,26,108.288,80.452,32,42,Tyt
27,27,96.316,90.452,29,42,Tyt
28,28,97.087,89.734,26,42,Tyt
29,29,96.276,90.490,25,42,Tyt
30,30,97.441,89.408,25,42,Tyt
31,31,102.068,85.355,23,42,Tyt
32,32,131.1,66.453,23,42,Tyt
33,33,205.716,42.350,28,42,Tyt
34,34,171.908,50.678,27,42,Tyt
35,35,102.197,85.247,27,42,Tyt
36,36,97.533,89.324,26,42,Tyt
37,37,95.549,91.178,26,42,Tyt
38,38,96.021,90.730,22,42,Tyt
39,39,96.454,90.323,22,42,Tyt
40,40,95.771,90.967,22,42,Tyt
41,41,96.363,90.408,19,42,Tyt
42,42,95.849,90.893,15,42,Tyt
43,43,95.596,91.134,14,42,Tyt
44,44,95.539,91.188,14,42,Tyt
45,45,95.987,90.762,14,42,Tyt
46,46,132.575,65.714,14,42,Tyt
47,47,185.013,47.089,12,42,Tyt
48,48,202.215,43.083,12,42,Tyt
49,49,198.208,43.954,12,42,Tyt
50,50,102.116,85.315,9,42,Tyt
51,51,97.436,89.413,12,42,Tyt
52,52,95.708,91.027,12,42,Tyt
53,53,95.73,91.006,12,42,Tyt
54,54,96.624,90.164,13,42,Tyt
55,55,96.134,90.624,13,42,Tyt
56,56,99.254,87.775,14,42,Tyt
57,57,96.482,90.297,14,42,Tyt
58,58,97.85,89.034,16,42,Tyt
59,59,97.121,89.703,16,42,Tyt
60,60,98.582,88.373,18,42,Tyt
61,61,97.307,89.531,17,42,Tyt
62,62,100.799,86.429,19,42,Tyt
63,63,99.394,87.651,17,42,Tyt
64,64,129.002,67.534,29,42,Tyt
65,65,127.711,68.217,30,42,Tyt
66,66,137.16,63.517,30,42,Tyt
67,67,184.63,47.186,14,42,Tyt
68,68,194.462,44.801,7,42,Tyt
69,69,97.059,89.760,4,42,Tyt
70,70,95.004,91.701,4,42,Tyt
71,71,94.653,92.041,4,42,Tyt
72,72,94.342,92.345,4,42,Tyt
73,73,94.485,92.205,4,42,Tyt
74,74,95.254,91.461,4,42,Tyt
75,75,95.133,91.577,4,42,Tyt
76,76,95.197,91.515,4,42,Tyt
77,77,95.663,91.070,4,42,Tyt
78,78,95.869,90.874,4,42,Tyt
79,79,96.399,90.374,5,42,Tyt
80,80,95.666,91.067,5,42,Tyt
81,81,95.982,90.767,5,42,Tyt
82,82,95.624,91.107,5,42,Tyt
83,83,96.164,90.595,5,42,Tyt
84,84,96.017,90.734,5,42,Tyt
85,85,96.837,89.966,5,42,Tyt
86,86,96.787,90.012,5,42,Tyt
87,87,96.634,90.155,5,42,Tyt
88,88,96.604,90.183,5,42,Tyt
89,89,96.371,90.401,5,42,Tyt
90,90,97.028,89.789,5,42,Tyt
91,91,97.296,89.541,5,42,Tyt
92,92,97.338,89.503,5,42,Tyt
93,93,97.067,89.752,5,42,Tyt
94,94,97.874,89.012,5,42,Tyt
95,95,97.332,89.508,5,42,Tyt
96,96,97.612,89.251,5,42,Tyt
97,97,97.554,89.304,5,42,Tyt
98,98,98.003,88.895,5,42,Tyt
99,99,99.597,87.473,6,42,Tyt
100,100,98.741,88.231,6,42,Tyt
