,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,37,78,Chv
1,1,146.014,59.666,37,78,Chv
2,2,214.913,40.537,37,78,Chv
3,3,184.374,47.252,37,78,Chv
4,4,184.311,47.268,37,78,Chv
5,5,123.981,70.269,37,78,Chv
6,6,123.167,70.733,37,78,Chv
7,7,141.562,61.542,32,78,Chv
8,8,185.456,46.976,30,78,Chv
9,9,193.192,45.095,30,78,Chv
10,10,121.639,71.622,30,78,Chv
11,11,119.873,72.677,31,78,Chv
12,12,117.31,74.265,32,78,Chv
13,13,116.076,75.054,32,78,Chv
14,14,116.16,75.000,32,78,Chv
15,15,113.637,76.665,32,78,Chv
16,16,111.883,77.867,32,78,Chv
17,17,113.826,76.538,27,78,Chv
18,18,109.753,79.378,23,78,Chv
19,19,108.628,80.200,23,78,Chv
20,20,110.883,78.569,23,78,Chv
21,21,120.473,72.315,23,78,Chv
22,22,200.585,43.433,32,78,Chv
23,23,191.407,45.516,31,78,Chv
24,24,180.991,48.135,31,78,Chv
25,25,108.486,80.305,32,78,Chv
26,26,101.274,86.024,31,78,Chv
27,27,100.207,86.940,30,78,Chv
28,28,98.163,88.750,28,78,Chv
29,29,96.904,89.903,27,78,Chv
30,30,97.165,89.662,27,78,Chv
31,31,102.694,84.835,26,78,Chv
32,32,131.871,66.065,25,78,Chv
33,33,206.661,42.156,29,78,Chv
34,34,168.226,51.787,30,78,Chv
35,35,102.735,84.801,31,78,Chv
36,36,97.481,89.371,31,78,Chv
37,37,96.88,89.926,31,78,Chv
38,38,96.464,90.313,30,78,Chv
39,39,97.714,89.158,31,78,Chv
40,40,96.617,90.170,31,78,Chv
41,41,97.596,89.266,28,78,Chv
42,42,96.684,90.108,22,78,Chv
43,43,96.734,90.061,21,78,Chv
44,44,96.48,90.299,20,78,Chv
45,45,97.302,89.536,20,78,Chv
46,46,127.987,68.069,20,78,Chv
47,47,202.331,43.058,31,78,Chv
48,48,192.912,45.160,29,78,Chv
49,49,184.371,47.253,31,78,Chv
50,50,106.307,81.951,33,78,Chv
51,51,101.786,85.591,33,78,Chv
52,52,97.986,88.911,33,78,Chv
53,53,96.88,89.926,33,78,Chv
54,54,97.478,89.374,31,78,Chv
55,55,96.98,89.833,31,78,Chv
56,56,97.017,89.799,31,78,Chv
57,57,96.656,90.134,30,78,Chv
58,58,97.188,89.641,29,78,Chv
59,59,97.242,89.591,29,78,Chv
60,60,97.523,89.333,29,78,Chv
61,61,97.386,89.458,29,78,Chv
62,62,97.854,89.031,25,78,Chv
63,63,97.602,89.260,22,78,Chv
64,64,99.35,87.690,21,78,Chv
65,65,111.939,77.828,21,78,Chv
66,66,168.27,51.774,21,78,Chv
67,67,216.805,40.184,33,78,Chv
68,68,171.684,50.744,31,78,Chv
69,69,131.828,66.086,33,78,Chv
70,70,95.331,91.387,32,78,Chv
71,71,95.712,91.023,32,78,Chv
72,72,95.958,90.790,32,78,Chv
73,73,95.71,91.025,32,78,Chv
74,74,96.234,90.529,32,78,Chv
75,75,95.976,90.773,32,78,Chv
76,76,95.917,90.829,32,78,Chv
77,77,96.496,90.284,32,78,Chv
78,78,96.626,90.162,32,78,Chv
79,79,97.176,89.652,32,78,Chv
80,80,96.619,90.169,32,78,Chv
81,81,96.592,90.194,32,78,Chv
82,82,97.063,89.756,31,78,Chv
83,83,97.944,88.949,30,78,Chv
84,84,98.063,88.841,30,78,Chv
85,85,98.023,88.877,29,78,Chv
86,86,98.323,88.606,29,78,Chv
87,87,98.166,88.748,29,78,Chv
88,88,98.542,88.409,30,78,Chv
89,89,99.855,87.247,30,78,Chv
90,90,98.535,88.415,30,78,Chv
91,91,98.371,88.563,30,78,Chv
92,92,97.844,89.040,30,78,Chv
93,93,100.441,86.737,32,78,Chv
94,94,98.551,88.401,32,78,Chv
95,95,98.516,88.432,32,78,Chv
96,96,98.496,88.450,32,78,Chv
97,97,99.716,87.368,32,78,Chv
98,98,98.936,88.057,32,78,Chv
99,99,98.954,88.041,32,78,Chv
