,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,33,47,Chv
1,1,142.133,61.295,33,47,Chv
2,2,207.124,42.062,31,47,Chv
3,3,189.865,45.885,30,47,Chv
4,4,185.114,47.063,30,47,Chv
5,5,119.62,72.831,27,47,Chv
6,6,118.997,73.212,27,47,Chv
7,7,138.812,62.761,20,47,Chv
8,8,196.027,44.443,20,47,Chv
9,9,195.3,44.608,20,47,Chv
10,10,132.121,65.940,32,47,Chv
11,11,113.456,76.787,30,47,Chv
12,12,111.475,78.152,29,47,Chv
13,13,112.135,77.692,29,47,Chv
14,14,110.139,79.100,28,47,Chv
15,15,110.394,78.917,28,47,Chv
16,16,109.244,79.748,25,47,Chv
17,17,108.239,80.489,18,47,Chv
18,18,105.987,82.199,16,47,Chv
19,19,104.384,83.461,15,47,Chv
20,20,104.361,83.479,15,47,Chv
21,21,138.851,62.744,15,47,Chv
22,22,189.041,46.085,8,47,Chv
23,23,197.52,44.107,4,47,Chv
24,24,206.465,42.196,4,47,Chv
25,25,103.271,84.361,6,47,Chv
26,26,97.618,89.246,7,47,Chv
27,27,99.723,87.362,10,47,Chv
28,28,101.398,85.919,14,47,Chv
29,29,131.263,66.371,32,47,Chv
30,30,107.789,80.825,32,47,Chv
31,31,106.006,82.184,32,47,Chv
32,32,115.318,75.548,31,47,Chv
33,33,167.276,52.082,27,47,Chv
34,34,182.548,47.724,22,47,Chv
35,35,101.695,85.668,19,47,Chv
36,36,96.016,90.735,19,47,Chv
37,37,97.154,89.672,20,47,Chv
38,38,96.693,90.100,20,47,Chv
39,39,96.622,90.166,20,47,Chv
40,40,96.29,90.477,21,47,Chv
41,41,96.31,90.458,18,47,Chv
42,42,96.672,90.119,17,47,Chv
43,43,96.595,90.191,15,47,Chv
44,44,96.297,90.470,15,47,Chv
45,45,96.486,90.293,15,47,Chv
46,46,130.532,66.742,15,47,Chv
47,47,203.666,42.776,29,47,Chv
48,48,196.896,44.247,28,47,Chv
49,49,185.287,47.019,27,47,Chv
50,50,104.043,83.735,25,47,Chv
51,51,124.64,69.897,34,47,Chv
52,52,96.812,89.989,34,47,Chv
53,53,95.525,91.201,34,47,Chv
54,54,95.534,91.193,34,47,Chv
55,55,96.432,90.343,33,47,Chv
56,56,95.895,90.849,33,47,Chv
57,57,95.623,91.108,33,47,Chv
58,58,95.81,90.930,33,47,Chv
59,59,95.803,90.937,33,47,Chv
60,60,95.914,90.831,33,47,Chv
61,61,96.107,90.649,33,47,Chv
62,62,96.499,90.281,31,47,Chv
63,63,96.294,90.473,26,47,Chv
64,64,96.722,90.073,23,47,Chv
65,65,111.658,78.024,23,47,Chv
66,66,167.479,52.018,23,47,Chv
67,67,205.848,42.322,30,47,Chv
68,68,181.749,47.934,33,47,Chv
69,69,104.052,83.727,28,47,Chv
70,70,96.567,90.217,26,47,Chv
71,71,96.503,90.277,26,47,Chv
72,72,98.207,88.711,25,47,Chv
73,73,96.585,90.200,23,47,Chv
74,74,95.755,90.982,23,47,Chv
75,75,95.782,90.957,23,47,Chv
76,76,95.216,91.497,23,47,Chv
77,77,96.051,90.702,23,47,Chv
78,78,95.486,91.239,23,47,Chv
79,79,95.871,90.872,23,47,Chv
80,80,95.954,90.794,23,47,Chv
81,81,96.7,90.093,23,47,Chv
82,82,96.631,90.157,23,47,Chv
83,83,95.922,90.824,23,47,Chv
84,84,96.647,90.142,23,47,Chv
85,85,97.24,89.593,23,47,Chv
86,86,96.651,90.139,23,47,Chv
87,87,96.866,89.939,23,47,Chv
88,88,96.867,89.938,23,47,Chv
89,89,104.365,83.476,26,47,Chv
90,90,98.02,88.880,26,47,Chv
91,91,97.77,89.107,26,47,Chv
92,92,98.577,88.378,26,47,Chv
93,93,98.65,88.312,26,47,Chv
94,94,101.375,85.938,26,47,Chv
95,95,98.891,88.097,26,47,Chv
96,96,97.979,88.917,26,47,Chv
97,97,98.683,88.283,26,47,Chv
98,98,98.446,88.495,26,47,Chv
99,99,99.049,87.956,27,47,Chv
100,100,102.163,85.275,27,47,Chv
