,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,5,41,Frd
1,1,56.806,158.434,4,41,Frd
2,2,53.743,167.464,4,41,Frd
3,3,54.152,166.199,5,41,Frd
4,4,54.106,166.340,6,41,Frd
5,5,54.29,165.776,6,41,Frd
6,6,53.922,166.908,6,41,Frd
7,7,54.019,166.608,6,41,Frd
8,8,53.897,166.985,6,41,Frd
9,9,53.778,167.355,6,41,Frd
10,10,54.098,166.365,6,41,Frd
11,11,54.085,166.405,6,41,Frd
12,12,54.144,166.223,6,41,Frd
13,13,54.167,166.153,6,41,Frd
14,14,54.164,166.162,6,41,Frd
15,15,54.428,165.356,6,41,Frd
16,16,54.453,165.280,6,41,Frd
17,17,54.383,165.493,6,41,Frd
18,18,54.244,165.917,6,41,Frd
19,19,54.413,165.402,6,41,Frd
20,20,54.428,165.356,6,41,Frd
21,21,54.789,164.267,6,41,Frd
22,22,54.613,164.796,6,41,Frd
23,23,54.773,164.315,6,41,Frd
24,24,55.334,162.649,5,41,Frd
25,25,55.123,163.271,6,41,Frd
26,26,54.716,164.486,7,41,Frd
27,27,62.734,143.463,11,41,Frd
28,28,82.697,108.831,31,41,Frd
29,29,54.513,165.098,32,41,Frd
30,30,63.463,141.815,32,41,Frd
31,31,84.453,106.568,32,41,Frd
32,32,88.928,101.205,26,41,Frd
33,33,117.493,76.600,5,41,Frd
34,34,129.224,69.647,4,41,Frd
35,35,126.474,71.161,4,41,Frd
36,36,57.24,157.233,5,41,Frd
37,37,53.987,166.707,6,41,Frd
38,38,53.928,166.889,6,41,Frd
39,39,54.052,166.506,6,41,Frd
40,40,54.119,166.300,6,41,Frd
41,41,54.469,165.232,7,41,Frd
42,42,63.034,142.780,7,41,Frd
43,43,127.032,70.848,7,41,Frd
44,44,128.973,69.782,7,41,Frd
45,45,134.151,67.089,7,41,Frd
46,46,139.535,64.500,7,41,Frd
47,47,138.025,65.206,7,41,Frd
48,48,124.5,72.289,6,41,Frd
49,49,57.319,157.016,7,41,Frd
50,50,54.557,164.965,8,41,Frd
51,51,54.288,165.782,7,41,Frd
52,52,54.945,163.800,9,41,Frd
53,53,53.975,166.744,9,41,Frd
54,54,54.171,166.141,9,41,Frd
55,55,80.347,112.014,9,41,Frd
56,56,116.423,77.304,9,41,Frd
57,57,128.748,69.904,9,41,Frd
58,58,129.276,69.618,9,41,Frd
59,59,150.538,59.786,30,41,Frd
60,60,104.169,86.398,29,41,Frd
61,61,58.5,153.846,33,41,Frd
62,62,55.43,162.367,32,41,Frd
63,63,55.433,162.358,33,41,Frd
64,64,55.074,163.416,31,41,Frd
65,65,54.687,164.573,31,41,Frd
66,66,54.728,164.450,31,41,Frd
67,67,54.85,164.084,30,41,Frd
68,68,54.893,163.955,30,41,Frd
69,69,54.474,165.216,30,41,Frd
70,70,54.591,164.862,30,41,Frd
71,71,55.071,163.425,30,41,Frd
72,72,55.219,162.987,30,41,Frd
73,73,55.039,163.520,29,41,Frd
74,74,54.6,164.835,28,41,Frd
75,75,54.505,165.122,27,41,Frd
76,76,54.576,164.908,27,41,Frd
77,77,61.046,147.430,27,41,Frd
78,78,104.436,86.177,19,41,Frd
79,79,132.88,67.730,15,41,Frd
80,80,118.702,75.820,15,41,Frd
81,81,58.047,155.047,20,41,Frd
82,82,55.233,162.946,20,41,Frd
83,83,60.636,148.427,20,41,Frd
84,84,125.976,71.442,20,41,Frd
85,85,127.128,70.795,20,41,Frd
86,86,132.581,67.883,18,41,Frd
87,87,114.565,78.558,18,41,Frd
88,88,57.886,155.478,23,41,Frd
89,89,55.25,162.896,21,41,Frd
90,90,55.144,163.209,21,41,Frd
91,91,55.202,163.038,21,41,Frd
92,92,55.435,162.352,20,41,Frd
93,93,55.224,162.973,22,41,Frd
94,94,55.683,161.629,24,41,Frd
