,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,26,8,Chv
1,1,58.964,152.636,27,8,Chv
2,2,56.122,160.365,29,8,Chv
3,3,55.681,161.635,30,8,Chv
4,4,55.208,163.020,31,8,Chv
5,5,54.671,164.621,31,8,Chv
6,6,54.586,164.877,29,8,Chv
7,7,54.64,164.714,29,8,Chv
8,8,54.785,164.279,28,8,Chv
9,9,54.744,164.402,28,8,Chv
10,10,54.363,165.554,27,8,Chv
11,11,54.434,165.338,26,8,Chv
12,12,54.387,165.481,26,8,Chv
13,13,54.64,164.714,27,8,Chv
14,14,55.247,162.905,26,8,Chv
15,15,54.624,164.763,26,8,Chv
16,16,54.566,164.938,26,8,Chv
17,17,54.458,165.265,26,8,Chv
18,18,54.653,164.675,26,8,Chv
19,19,55.042,163.512,26,8,Chv
20,20,54.912,163.899,26,8,Chv
21,21,54.808,164.210,26,8,Chv
22,22,54.68,164.594,26,8,Chv
23,23,54.853,164.075,26,8,Chv
24,24,54.858,164.060,26,8,Chv
25,25,55.252,162.890,26,8,Chv
26,26,54.934,163.833,25,8,Chv
27,27,54.803,164.225,22,8,Chv
28,28,54.836,164.126,19,8,Chv
29,29,55.498,162.168,20,8,Chv
30,30,55.71,161.551,20,8,Chv
31,31,97.396,92.406,20,8,Chv
32,32,92.588,97.205,19,8,Chv
33,33,147.78,60.901,30,8,Chv
34,34,128.744,69.906,22,8,Chv
35,35,108.884,82.657,34,8,Chv
36,36,57.702,155.974,31,8,Chv
37,37,55.477,162.229,31,8,Chv
38,38,55.805,161.276,31,8,Chv
39,39,54.607,164.814,29,8,Chv
40,40,54.712,164.498,28,8,Chv
41,41,54.52,165.077,26,8,Chv
42,42,72.292,124.495,26,8,Chv
43,43,124.066,72.542,26,8,Chv
44,44,130.883,68.764,26,8,Chv
45,45,126.881,70.933,24,8,Chv
46,46,147.576,60.986,27,8,Chv
47,47,143.937,62.527,28,8,Chv
48,48,103.48,86.973,27,8,Chv
49,49,58.115,154.865,26,8,Chv
50,50,55.003,163.627,24,8,Chv
51,51,55.277,162.816,25,8,Chv
52,52,54.797,164.243,21,8,Chv
53,53,54.343,165.615,21,8,Chv
54,54,54.373,165.523,21,8,Chv
55,55,89.185,100.914,21,8,Chv
56,56,111.998,80.359,21,8,Chv
57,57,128.943,69.798,21,8,Chv
58,58,123.914,72.631,21,8,Chv
59,59,140.61,64.007,23,8,Chv
60,60,110.346,81.562,23,8,Chv
61,61,57.753,155.836,20,8,Chv
62,62,55.208,163.020,19,8,Chv
63,63,55.131,163.248,21,8,Chv
64,64,54.811,164.201,22,8,Chv
65,65,55.016,163.589,23,8,Chv
66,66,54.463,165.250,23,8,Chv
67,67,54.757,164.363,23,8,Chv
68,68,55.214,163.002,25,8,Chv
69,69,54.672,164.618,25,8,Chv
70,70,54.933,163.836,25,8,Chv
71,71,54.825,164.159,24,8,Chv
72,72,54.728,164.450,24,8,Chv
73,73,54.507,165.116,24,8,Chv
74,74,54.657,164.663,23,8,Chv
75,75,54.393,165.462,22,8,Chv
76,76,54.435,165.335,22,8,Chv
77,77,59.36,151.617,22,8,Chv
78,78,107.276,83.896,18,8,Chv
79,79,143.389,62.766,25,8,Chv
80,80,110.866,81.179,26,8,Chv
81,81,57.234,157.249,24,8,Chv
82,82,55.341,162.628,24,8,Chv
83,83,91.527,98.332,33,8,Chv
84,84,144.213,62.408,33,8,Chv
85,85,84.803,106.128,27,8,Chv
86,86,171.103,52.600,31,8,Chv
