,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,32,34,Frd
1,1,58.786,153.098,29,34,Frd
2,2,55.901,160.999,28,34,Frd
3,3,55.417,162.405,28,34,Frd
4,4,54.899,163.937,28,34,Frd
5,5,54.726,164.456,28,34,Frd
6,6,54.965,163.741,28,34,Frd
7,7,54.806,164.216,28,34,Frd
8,8,55.63,161.783,30,34,Frd
9,9,55.872,161.082,33,34,Frd
10,10,55.136,163.233,33,34,Frd
11,11,55.114,163.298,34,34,Frd
12,12,55.52,162.104,34,34,Frd
13,13,55.257,162.875,34,34,Frd
14,14,55.843,161.166,35,34,Frd
15,15,55.035,163.532,35,34,Frd
16,16,54.914,163.893,35,34,Frd
17,17,54.967,163.735,35,34,Frd
18,18,55.184,163.091,35,34,Frd
19,19,55.068,163.434,35,34,Frd
20,20,55.017,163.586,35,34,Frd
21,21,55.125,163.265,35,34,Frd
22,22,55.318,162.696,35,34,Frd
23,23,55.108,163.316,35,34,Frd
24,24,55.216,162.996,35,34,Frd
25,25,55.157,163.171,35,34,Frd
26,26,55.121,163.277,34,34,Frd
27,27,55.136,163.233,34,34,Frd
28,28,55.847,161.155,28,34,Frd
29,29,55.605,161.856,28,34,Frd
30,30,56.461,159.402,28,34,Frd
31,31,93.489,96.268,28,34,Frd
32,32,87.844,102.454,23,34,Frd
33,33,155.792,57.769,36,34,Frd
34,34,146.263,61.533,36,34,Frd
35,35,80.675,111.559,36,34,Frd
36,36,57.63,156.169,35,34,Frd
37,37,55.594,161.888,34,34,Frd
38,38,55.92,160.944,34,34,Frd
39,39,55.461,162.276,34,34,Frd
40,40,55.03,163.547,33,34,Frd
41,41,55.429,162.370,35,34,Frd
42,42,74.5,120.805,34,34,Frd
43,43,125.042,71.976,34,34,Frd
44,44,130.029,69.215,34,34,Frd
45,45,124.511,72.283,29,34,Frd
46,46,151.817,59.282,35,34,Frd
47,47,138.644,64.914,31,34,Frd
48,48,103.048,87.338,36,34,Frd
49,49,57.839,155.604,33,34,Frd
50,50,55.614,161.830,32,34,Frd
51,51,54.993,163.657,31,34,Frd
52,52,55.181,163.100,31,34,Frd
53,53,55.839,161.178,31,34,Frd
54,54,55.342,162.625,30,34,Frd
55,55,92.675,97.114,30,34,Frd
56,56,110.032,81.794,30,34,Frd
57,57,132.206,68.076,30,34,Frd
58,58,114.268,78.762,18,34,Frd
59,59,130.997,68.704,9,34,Frd
60,60,120.216,74.865,9,34,Frd
61,61,58.146,154.783,14,34,Frd
62,62,54.625,164.760,13,34,Frd
63,63,54.375,165.517,13,34,Frd
64,64,54.594,164.853,13,34,Frd
65,65,54.038,166.549,13,34,Frd
66,66,54.273,165.828,13,34,Frd
67,67,54.277,165.816,13,34,Frd
68,68,54.389,165.475,13,34,Frd
69,69,55.738,161.470,16,34,Frd
70,70,54.565,164.941,15,34,Frd
71,71,54.552,164.980,15,34,Frd
72,72,54.935,163.830,16,34,Frd
73,73,55.413,162.417,18,34,Frd
74,74,54.689,164.567,17,34,Frd
75,75,54.476,165.210,17,34,Frd
76,76,54.73,164.444,17,34,Frd
77,77,59.218,151.981,17,34,Frd
78,78,107.993,83.339,14,34,Frd
79,79,147.051,61.203,26,34,Frd
80,80,109.89,81.900,33,34,Frd
81,81,56.845,158.325,30,34,Frd
82,82,55.598,161.876,31,34,Frd
83,83,62.924,143.030,27,34,Frd
84,84,127.924,70.354,28,34,Frd
85,85,174.992,51.431,31,34,Frd
86,86,86.412,104.152,25,34,Frd
87,87,109.486,82.202,31,34,Frd
88,88,57.12,157.563,28,34,Frd
89,89,54.897,163.943,28,34,Frd
90,90,55.275,162.822,29,34,Frd
91,91,55.54,162.045,29,34,Frd
92,92,55.169,163.135,25,34,Frd
93,93,55.878,161.065,26,34,Frd
94,94,55.181,163.100,26,34,Frd
95,95,55.265,162.852,26,34,Frd
96,96,99.468,90.481,27,34,Frd
97,97,154.456,58.269,31,34,Frd
98,98,91.2,98.684,29,34,Frd
99,99,160.82,55.963,31,34,Frd
100,100,74.858,120.228,30,34,Frd
101,101,57.326,156.997,29,34,Frd
102,102,56.183,160.191,30,34,Frd
103,103,55.487,162.200,30,34,Frd
104,104,54.663,164.645,30,34,Frd
105,105,54.911,163.902,30,34,Frd
106,106,54.714,164.492,30,34,Frd
107,107,55.002,163.630,30,34,Frd
108,108,54.776,164.306,30,34,Frd
109,109,54.834,164.132,30,34,Frd
110,110,55.007,163.616,30,34,Frd
111,111,54.909,163.908,30,34,Frd
112,112,54.892,163.958,30,34,Frd
113,113,54.902,163.928,30,34,Frd
114,114,54.717,164.483,30,34,Frd
115,115,54.701,164.531,30,34,Frd
116,116,54.598,164.841,30,34,Frd
117,117,54.697,164.543,29,34,Frd
118,118,54.807,164.213,27,34,Frd
119,119,54.766,164.336,24,34,Frd
120,120,54.698,164.540,18,34,Frd
121,121,54.619,164.778,14,34,Frd
122,122,54.455,165.274,11,34,Frd
123,123,54.595,164.850,11,34,Frd
124,124,54.578,164.902,7,34,Frd
125,125,64.335,139.893,5,34,Frd
126,126,104.701,85.959,5,34,Frd
127,127,128.088,70.264,7,34,Frd
128,128,150.004,59.998,29,34,Frd
129,129,140.869,63.889,30,34,Frd
130,130,96.388,93.373,30,34,Frd
131,131,57.683,156.025,29,34,Frd
132,132,55.068,163.434,28,34,Frd
133,133,54.918,163.881,28,34,Frd
134,134,55.102,163.333,29,34,Frd
135,135,54.93,163.845,29,34,Frd
136,136,54.651,164.681,28,34,Frd
137,137,54.59,164.865,28,34,Frd
138,138,54.679,164.597,28,34,Frd
139,139,54.498,165.144,28,34,Frd
140,140,54.445,165.304,28,34,Frd
141,141,54.397,165.450,28,34,Frd
142,142,54.334,165.642,28,34,Frd
143,143,54.654,164.672,28,34,Frd
144,144,54.518,165.083,28,34,Frd
145,145,54.581,164.893,28,34,Frd
146,146,54.465,165.244,28,34,Frd
147,147,54.497,165.147,28,34,Frd
148,148,54.428,165.356,28,34,Frd
149,149,54.588,164.871,28,34,Frd
150,150,54.43,165.350,28,34,Frd
151,151,54.481,165.195,28,34,Frd
152,152,55.02,163.577,28,34,Frd
153,153,54.811,164.201,28,34,Frd
154,154,54.634,164.733,28,34,Frd
155,155,54.565,164.941,28,34,Frd
156,156,55.21,163.014,28,34,Frd
157,157,54.564,164.944,28,34,Frd
158,158,54.492,165.162,28,34,Frd
159,159,54.528,165.053,28,34,Frd
160,160,54.649,164.687,28,34,Frd
