,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,7,54,Tyt
1,1,57.505,156.508,7,54,Tyt
2,2,54.325,165.670,7,54,Tyt
3,3,54.243,165.920,8,54,Tyt
4,4,53.921,166.911,8,54,Tyt
5,5,54.126,166.279,8,54,Tyt
6,6,54.031,166.571,8,54,Tyt
7,7,53.941,166.849,8,54,Tyt
8,8,53.994,166.685,8,54,Tyt
9,9,54.025,166.590,8,54,Tyt
10,10,53.881,167.035,8,54,Tyt
11,11,54.185,166.098,8,54,Tyt
12,12,54.192,166.076,8,54,Tyt
13,13,54.166,166.156,8,54,Tyt
14,14,54.492,165.162,8,54,Tyt
15,15,54.279,165.810,8,54,Tyt
16,16,54.239,165.932,8,54,Tyt
17,17,54.708,164.510,7,54,Tyt
18,18,54.199,166.055,7,54,Tyt
19,19,54.45,165.289,7,54,Tyt
20,20,54.421,165.377,7,54,Tyt
21,21,54.31,165.715,7,54,Tyt
22,22,54.445,165.304,7,54,Tyt
23,23,54.649,164.687,7,54,Tyt
24,24,54.724,164.462,7,54,Tyt
25,25,55.482,162.215,8,54,Tyt
26,26,54.57,164.926,8,54,Tyt
27,27,76.863,117.091,30,54,Tyt
28,28,68.061,132.234,32,54,Tyt
29,29,53.785,167.333,31,54,Tyt
30,30,63.0,142.857,31,54,Tyt
31,31,84.046,107.084,31,54,Tyt
32,32,86.138,104.484,25,54,Tyt
33,33,120.603,74.625,3,54,Tyt
34,34,129.142,69.691,3,54,Tyt
35,35,127.683,70.487,2,54,Tyt
36,36,56.612,158.977,3,54,Tyt
37,37,53.648,167.760,3,54,Tyt
38,38,53.564,168.023,3,54,Tyt
39,39,53.656,167.735,3,54,Tyt
40,40,53.826,167.205,3,54,Tyt
41,41,53.858,167.106,3,54,Tyt
42,42,62.855,143.187,3,54,Tyt
43,43,127.159,70.778,3,54,Tyt
44,44,129.488,69.505,3,54,Tyt
45,45,133.934,67.197,3,54,Tyt
46,46,140.037,64.269,3,54,Tyt
47,47,136.333,66.015,3,54,Tyt
48,48,128.013,70.305,3,54,Tyt
49,49,57.179,157.400,6,54,Tyt
50,50,54.476,165.210,6,54,Tyt
51,51,54.386,165.484,6,54,Tyt
52,52,53.702,167.592,6,54,Tyt
53,53,53.697,167.607,6,54,Tyt
54,54,53.808,167.261,6,54,Tyt
55,55,77.47,116.174,6,54,Tyt
56,56,119.827,75.108,6,54,Tyt
57,57,128.68,69.941,6,54,Tyt
58,58,144.288,62.375,32,54,Tyt
59,59,131.709,68.332,25,54,Tyt
60,60,109.095,82.497,21,54,Tyt
61,61,58.053,155.031,22,54,Tyt
62,62,55.559,161.990,24,54,Tyt
63,63,55.615,161.827,27,54,Tyt
64,64,54.873,164.015,28,54,Tyt
65,65,54.744,164.402,28,54,Tyt
66,66,55.282,162.802,28,54,Tyt
67,67,54.561,164.953,27,54,Tyt
68,68,54.204,166.039,27,54,Tyt
69,69,54.876,164.006,27,54,Tyt
70,70,54.661,164.651,27,54,Tyt
71,71,55.231,162.952,27,54,Tyt
72,72,55.144,163.209,26,54,Tyt
73,73,54.271,165.834,26,54,Tyt
74,74,54.418,165.386,25,54,Tyt
75,75,54.486,165.180,24,54,Tyt
76,76,54.808,164.210,24,54,Tyt
77,77,59.656,150.865,24,54,Tyt
78,78,116.198,77.454,28,54,Tyt
79,79,121.953,73.799,13,54,Tyt
80,80,120.567,74.647,11,54,Tyt
81,81,57.942,155.328,16,54,Tyt
82,82,55.393,162.475,18,54,Tyt
83,83,61.062,147.391,21,54,Tyt
84,84,126.598,71.091,21,54,Tyt
85,85,142.37,63.216,28,54,Tyt
86,86,124.716,72.164,27,54,Tyt
87,87,106.992,84.118,27,54,Tyt
88,88,57.49,156.549,26,54,Tyt
89,89,55.239,162.928,25,54,Tyt
90,90,55.567,161.967,27,54,Tyt
91,91,55.247,162.905,26,54,Tyt
92,92,54.669,164.627,21,54,Tyt
93,93,54.285,165.792,20,54,Tyt
94,94,54.584,164.883,20,54,Tyt
95,95,54.706,164.516,20,54,Tyt
96,96,94.82,94.917,20,54,Tyt
97,97,108.946,82.610,18,54,Tyt
98,98,131.8,68.285,15,54,Tyt
99,99,131.425,68.480,15,54,Tyt
100,100,116.041,77.559,15,54,Tyt
101,101,57.705,155.966,16,54,Tyt
102,102,56.83,158.367,25,54,Tyt
103,103,54.523,165.068,25,54,Tyt
104,104,55.262,162.861,27,54,Tyt
105,105,54.719,164.477,28,54,Tyt
106,106,55.209,163.017,29,54,Tyt
107,107,55.162,163.156,28,54,Tyt
108,108,54.341,165.621,28,54,Tyt
109,109,54.387,165.481,28,54,Tyt
110,110,54.974,163.714,28,54,Tyt
111,111,54.879,163.997,28,54,Tyt
112,112,54.761,164.351,28,54,Tyt
113,113,54.737,164.423,28,54,Tyt
114,114,55.075,163.414,29,54,Tyt
115,115,54.922,163.869,29,54,Tyt
116,116,54.644,164.702,29,54,Tyt
117,117,54.585,164.880,28,54,Tyt
118,118,54.66,164.654,26,54,Tyt
119,119,54.655,164.669,23,54,Tyt
120,120,54.499,165.141,16,54,Tyt
121,121,54.49,165.168,13,54,Tyt
122,122,54.433,165.341,10,54,Tyt
123,123,54.382,165.496,10,54,Tyt
124,124,79.112,113.763,20,54,Tyt
125,125,94.712,95.025,25,54,Tyt
126,126,97.701,92.118,25,54,Tyt
127,127,91.412,98.455,23,54,Tyt
128,128,131.653,68.362,18,54,Tyt
129,129,133.025,67.656,18,54,Tyt
130,130,111.764,80.527,19,54,Tyt
131,131,57.022,157.834,12,54,Tyt
132,132,54.754,164.372,12,54,Tyt
133,133,53.933,166.874,12,54,Tyt
134,134,53.916,166.926,12,54,Tyt
135,135,53.863,167.091,12,54,Tyt
136,136,53.865,167.084,12,54,Tyt
137,137,53.958,166.796,12,54,Tyt
138,138,53.865,167.084,12,54,Tyt
139,139,53.964,166.778,12,54,Tyt
140,140,53.882,167.032,12,54,Tyt
141,141,54.414,165.399,12,54,Tyt
142,142,55.0,163.636,14,54,Tyt
143,143,54.053,166.503,14,54,Tyt
144,144,54.188,166.088,14,54,Tyt
145,145,54.166,166.156,14,54,Tyt
146,146,54.036,166.556,14,54,Tyt
147,147,53.989,166.701,14,54,Tyt
148,148,54.154,166.193,14,54,Tyt
149,149,54.075,166.436,14,54,Tyt
150,150,54.256,165.880,14,54,Tyt
151,151,54.107,166.337,14,54,Tyt
152,152,54.138,166.242,14,54,Tyt
153,153,54.162,166.168,14,54,Tyt
154,154,54.267,165.847,14,54,Tyt
155,155,54.189,166.085,14,54,Tyt
156,156,54.381,165.499,14,54,Tyt
157,157,54.525,165.062,14,54,Tyt
158,158,54.465,165.244,14,54,Tyt
159,159,54.389,165.475,14,54,Tyt
160,160,54.568,164.932,14,54,Tyt
