,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,25,48,Chv
1,1,58.15,154.772,21,48,Chv
2,2,55.566,161.970,19,48,Chv
3,3,54.099,166.362,19,48,Chv
4,4,54.672,164.618,19,48,Chv
5,5,54.643,164.705,19,48,Chv
6,6,54.411,165.408,19,48,Chv
7,7,54.578,164.902,19,48,Chv
8,8,54.471,165.226,19,48,Chv
9,9,54.354,165.581,19,48,Chv
10,10,54.558,164.962,18,48,Chv
11,11,54.202,166.046,18,48,Chv
12,12,54.173,166.134,18,48,Chv
13,13,54.465,165.244,18,48,Chv
14,14,54.524,165.065,18,48,Chv
15,15,54.724,164.462,18,48,Chv
16,16,55.043,163.509,17,48,Chv
17,17,54.783,164.285,17,48,Chv
18,18,54.616,164.787,17,48,Chv
19,19,54.533,165.038,17,48,Chv
20,20,54.825,164.159,16,48,Chv
21,21,54.612,164.799,16,48,Chv
22,22,54.699,164.537,16,48,Chv
23,23,54.658,164.660,16,48,Chv
24,24,54.521,165.074,16,48,Chv
25,25,54.646,164.696,15,48,Chv
26,26,54.599,164.838,15,48,Chv
27,27,54.649,164.687,12,48,Chv
28,28,55.261,162.864,10,48,Chv
29,29,54.935,163.830,10,48,Chv
30,30,54.742,164.408,10,48,Chv
31,31,93.704,96.047,10,48,Chv
32,32,115.776,77.736,28,48,Chv
33,33,125.333,71.809,16,48,Chv
34,34,131.14,68.629,15,48,Chv
35,35,115.703,77.785,15,48,Chv
36,36,58.604,153.573,20,48,Chv
37,37,54.723,164.465,18,48,Chv
38,38,54.553,164.977,17,48,Chv
39,39,54.15,166.205,17,48,Chv
40,40,54.202,166.046,16,48,Chv
41,41,54.351,165.590,15,48,Chv
42,42,67.628,133.081,15,48,Chv
43,43,124.715,72.165,15,48,Chv
44,44,130.691,68.865,15,48,Chv
45,45,138.626,64.923,31,48,Chv
46,46,137.735,65.343,18,48,Chv
47,47,139.196,64.657,18,48,Chv
48,48,113.974,78.965,18,48,Chv
49,49,57.863,155.540,17,48,Chv
50,50,55.045,163.503,18,48,Chv
51,51,55.232,162.949,18,48,Chv
52,52,54.945,163.800,19,48,Chv
53,53,54.483,165.189,19,48,Chv
54,54,54.659,164.657,19,48,Chv
55,55,87.871,102.423,19,48,Chv
56,56,112.501,79.999,19,48,Chv
57,57,128.546,70.014,19,48,Chv
58,58,121.82,73.879,8,48,Chv
59,59,128.777,69.888,4,48,Chv
60,60,124.721,72.161,4,48,Chv
61,61,56.091,160.454,2,48,Chv
62,62,53.862,167.094,2,48,Chv
63,63,53.475,168.303,1,48,Chv
64,64,54.092,166.383,1,48,Chv
65,65,53.983,166.719,1,48,Chv
66,66,54.0,166.667,1,48,Chv
67,67,54.07,166.451,1,48,Chv
68,68,53.867,167.078,1,48,Chv
69,69,54.054,166.500,1,48,Chv
70,70,54.068,166.457,1,48,Chv
71,71,54.285,165.792,1,48,Chv
72,72,54.218,165.997,1,48,Chv
73,73,54.236,165.941,1,48,Chv
74,74,54.263,165.859,1,48,Chv
75,75,54.222,165.984,1,48,Chv
76,76,54.393,165.462,1,48,Chv
77,77,54.714,164.492,1,48,Chv
78,78,132.994,67.672,26,48,Chv
79,79,122.946,73.203,11,48,Chv
80,80,122.272,73.606,12,48,Chv
81,81,57.781,155.761,14,48,Chv
82,82,55.086,163.381,15,48,Chv
83,83,58.088,154.937,15,48,Chv
84,84,123.96,72.604,15,48,Chv
85,85,128.57,70.001,15,48,Chv
86,86,131.258,68.567,13,48,Chv
87,87,119.135,75.545,14,48,Chv
88,88,57.864,155.537,17,48,Chv
89,89,55.167,163.141,18,48,Chv
