,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,14,6,Frd
1,1,58.224,154.575,13,6,Frd
2,2,54.347,165.603,11,6,Frd
3,3,54.247,165.908,11,6,Frd
4,4,54.321,165.682,11,6,Frd
5,5,54.095,166.374,11,6,Frd
6,6,54.044,166.531,11,6,Frd
7,7,54.128,166.273,11,6,Frd
8,8,54.055,166.497,11,6,Frd
9,9,54.485,165.183,11,6,Frd
10,10,53.907,166.954,11,6,Frd
11,11,54.453,165.280,11,6,Frd
12,12,54.703,164.525,10,6,Frd
13,13,53.954,166.809,10,6,Frd
14,14,54.083,166.411,10,6,Frd
15,15,54.097,166.368,10,6,Frd
16,16,54.0,166.667,10,6,Frd
17,17,54.198,166.058,10,6,Frd
18,18,54.491,165.165,9,6,Frd
19,19,54.684,164.582,8,6,Frd
20,20,53.926,166.895,8,6,Frd
21,21,54.092,166.383,8,6,Frd
22,22,54.007,166.645,8,6,Frd
23,23,54.389,165.475,8,6,Frd
24,24,54.416,165.393,8,6,Frd
25,25,54.709,164.507,7,6,Frd
26,26,54.266,165.850,6,6,Frd
27,27,62.095,144.939,10,6,Frd
28,28,82.178,109.518,29,6,Frd
29,29,53.694,167.616,29,6,Frd
30,30,62.882,143.125,30,6,Frd
31,31,84.139,106.966,29,6,Frd
32,32,82.127,109.586,18,6,Frd
33,33,124.086,72.530,1,6,Frd
34,34,129.266,69.624,1,6,Frd
35,35,129.761,69.358,1,6,Frd
36,36,55.449,162.311,1,6,Frd
37,37,53.279,168.922,1,6,Frd
38,38,53.404,168.527,1,6,Frd
39,39,53.437,168.423,1,6,Frd
40,40,53.652,167.748,1,6,Frd
41,41,53.495,168.240,1,6,Frd
42,42,61.992,145.180,1,6,Frd
43,43,128.598,69.986,1,6,Frd
44,44,129.755,69.361,1,6,Frd
45,45,134.518,66.906,1,6,Frd
46,46,139.476,64.527,1,6,Frd
47,47,135.987,66.183,1,6,Frd
48,48,129.851,69.310,1,6,Frd
49,49,55.641,161.751,1,6,Frd
50,50,53.307,168.833,1,6,Frd
51,51,53.261,168.979,1,6,Frd
52,52,53.471,168.316,1,6,Frd
53,53,53.48,168.287,1,6,Frd
54,54,53.526,168.143,1,6,Frd
55,55,76.479,117.679,1,6,Frd
56,56,122.01,73.764,1,6,Frd
57,57,131.599,68.390,4,6,Frd
58,58,138.302,65.075,27,6,Frd
59,59,128.19,70.208,11,6,Frd
60,60,120.363,74.774,33,6,Frd
61,61,57.562,156.353,28,6,Frd
62,62,55.139,163.224,27,6,Frd
63,63,55.08,163.399,26,6,Frd
64,64,54.363,165.554,24,6,Frd
65,65,54.597,164.844,22,6,Frd
66,66,54.296,165.758,22,6,Frd
67,67,54.6,164.835,21,6,Frd
68,68,54.077,166.429,20,6,Frd
69,69,54.213,166.012,20,6,Frd
70,70,54.584,164.883,19,6,Frd
71,71,54.498,165.144,18,6,Frd
72,72,54.193,166.073,18,6,Frd
73,73,54.675,164.609,16,6,Frd
74,74,54.164,166.162,15,6,Frd
75,75,54.601,164.832,15,6,Frd
76,76,55.126,163.262,16,6,Frd
77,77,59.193,152.045,16,6,Frd
78,78,103.954,86.577,3,6,Frd
79,79,129.454,69.523,3,6,Frd
80,80,129.138,69.693,4,6,Frd
81,81,57.18,157.398,6,6,Frd
82,82,54.008,166.642,6,6,Frd
83,83,56.507,159.272,6,6,Frd
84,84,122.673,73.366,6,6,Frd
85,85,129.128,69.698,6,6,Frd
86,86,129.837,69.318,5,6,Frd
87,87,124.554,72.258,5,6,Frd
88,88,56.814,158.412,5,6,Frd
89,89,55.297,162.757,9,6,Frd
90,90,54.449,165.292,8,6,Frd
91,91,53.98,166.728,8,6,Frd
92,92,61.886,145.429,27,6,Frd
93,93,81.059,111.030,29,6,Frd
94,94,53.229,169.081,29,6,Frd
95,95,72.134,124.768,30,6,Frd
96,96,68.68,131.043,30,6,Frd
97,97,94.936,94.801,28,6,Frd
98,98,128.786,69.883,20,6,Frd
99,99,133.086,67.625,19,6,Frd
100,100,112.385,80.082,19,6,Frd
101,101,57.568,156.337,18,6,Frd
102,102,55.064,163.446,17,6,Frd
103,103,54.02,166.605,15,6,Frd
104,104,54.006,166.648,14,6,Frd
105,105,53.997,166.676,11,6,Frd
106,106,53.78,167.348,11,6,Frd
107,107,53.789,167.320,10,6,Frd
108,108,53.99,166.698,10,6,Frd
109,109,54.018,166.611,10,6,Frd
110,110,54.005,166.651,10,6,Frd
111,111,54.093,166.380,9,6,Frd
112,112,53.644,167.773,9,6,Frd
113,113,53.741,167.470,9,6,Frd
114,114,53.889,167.010,9,6,Frd
115,115,53.946,166.834,9,6,Frd
116,116,53.884,167.025,9,6,Frd
117,117,53.707,167.576,9,6,Frd
118,118,53.748,167.448,7,6,Frd
119,119,53.451,168.379,6,6,Frd
120,120,53.379,168.606,3,6,Frd
121,121,54.22,165.990,3,6,Frd
122,122,53.916,166.926,2,6,Frd
123,123,53.663,167.713,2,6,Frd
124,124,53.75,167.442,1,6,Frd
125,125,63.964,140.704,1,6,Frd
126,126,124.025,72.566,1,6,Frd
127,127,130.805,68.805,2,6,Frd
128,128,146.499,61.434,24,6,Frd
129,129,134.92,66.706,24,6,Frd
130,130,105.992,84.912,24,6,Frd
131,131,57.376,156.860,20,6,Frd
132,132,54.387,165.481,17,6,Frd
133,133,54.386,165.484,16,6,Frd
134,134,53.88,167.038,15,6,Frd
135,135,53.843,167.153,15,6,Frd
136,136,53.951,166.818,15,6,Frd
137,137,53.774,167.367,14,6,Frd
138,138,54.005,166.651,14,6,Frd
139,139,53.714,167.554,13,6,Frd
140,140,53.691,167.626,13,6,Frd
141,141,53.945,166.837,13,6,Frd
142,142,53.756,167.423,12,6,Frd
143,143,53.918,166.920,12,6,Frd
144,144,53.805,167.271,12,6,Frd
145,145,53.778,167.355,12,6,Frd
146,146,54.005,166.651,12,6,Frd
147,147,53.813,167.246,12,6,Frd
148,148,54.376,165.514,12,6,Frd
149,149,53.712,167.560,12,6,Frd
150,150,54.173,166.134,12,6,Frd
151,151,54.041,166.540,12,6,Frd
152,152,54.369,165.536,11,6,Frd
153,153,53.917,166.923,11,6,Frd
154,154,54.156,166.187,11,6,Frd
155,155,54.038,166.549,10,6,Frd
156,156,54.003,166.657,10,6,Frd
157,157,54.019,166.608,10,6,Frd
158,158,54.081,166.417,10,6,Frd
159,159,54.268,165.844,10,6,Frd
160,160,54.476,165.210,9,6,Frd
