,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,1,11,Tyt
1,1,56.092,160.451,1,11,Tyt
2,2,53.545,168.083,1,11,Tyt
3,3,53.64,167.785,1,11,Tyt
4,4,53.686,167.641,1,11,Tyt
5,5,53.763,167.401,1,11,Tyt
6,6,53.866,167.081,1,11,Tyt
7,7,53.874,167.056,1,11,Tyt
8,8,53.815,167.240,1,11,Tyt
9,9,53.997,166.676,1,11,Tyt
10,10,53.941,166.849,1,11,Tyt
11,11,53.958,166.796,1,11,Tyt
12,12,53.919,166.917,1,11,Tyt
13,13,53.934,166.871,1,11,Tyt
14,14,53.983,166.719,1,11,Tyt
15,15,54.048,166.519,1,11,Tyt
16,16,53.902,166.970,1,11,Tyt
17,17,53.964,166.778,1,11,Tyt
18,18,53.855,167.115,1,11,Tyt
19,19,53.826,167.205,1,11,Tyt
20,20,53.952,166.815,1,11,Tyt
21,21,54.062,166.476,1,11,Tyt
22,22,53.808,167.261,1,11,Tyt
23,23,53.875,167.053,1,11,Tyt
24,24,54.007,166.645,1,11,Tyt
25,25,54.291,165.773,1,11,Tyt
26,26,53.946,166.834,1,11,Tyt
27,27,53.954,166.809,1,11,Tyt
28,28,53.77,167.380,1,11,Tyt
29,29,54.316,165.697,1,11,Tyt
30,30,54.245,165.914,1,11,Tyt
31,31,92.101,97.719,1,11,Tyt
32,32,125.374,71.785,1,11,Tyt
33,33,136.174,66.092,10,11,Tyt
34,34,131.116,68.642,9,11,Tyt
35,35,121.129,74.301,8,11,Tyt
36,36,57.297,157.076,7,11,Tyt
37,37,53.45,168.382,5,11,Tyt
38,38,53.536,168.111,5,11,Tyt
39,39,53.591,167.939,5,11,Tyt
40,40,53.586,167.954,4,11,Tyt
41,41,53.811,167.252,4,11,Tyt
42,42,64.108,140.388,4,11,Tyt
43,43,126.299,71.259,4,11,Tyt
44,44,129.106,69.710,4,11,Tyt
45,45,134.245,67.042,4,11,Tyt
46,46,139.698,64.425,4,11,Tyt
47,47,136.404,65.980,4,11,Tyt
48,48,127.507,70.584,4,11,Tyt
49,49,56.956,158.017,4,11,Tyt
50,50,53.646,167.766,4,11,Tyt
51,51,53.325,168.776,4,11,Tyt
52,52,53.525,168.146,3,11,Tyt
53,53,53.386,168.584,3,11,Tyt
54,54,53.562,168.030,3,11,Tyt
55,55,77.432,116.231,3,11,Tyt
56,56,120.636,74.605,3,11,Tyt
57,57,129.257,69.629,2,11,Tyt
58,58,130.121,69.166,3,11,Tyt
59,59,137.69,65.364,12,11,Tyt
60,60,118.149,76.175,11,11,Tyt
61,61,57.842,155.596,11,11,Tyt
62,62,53.957,166.799,10,11,Tyt
63,63,53.991,166.694,8,11,Tyt
64,64,53.726,167.517,8,11,Tyt
65,65,54.111,166.325,8,11,Tyt
66,66,54.247,165.908,8,11,Tyt
67,67,54.225,165.975,8,11,Tyt
68,68,54.242,165.923,8,11,Tyt
69,69,54.488,165.174,8,11,Tyt
70,70,54.285,165.792,8,11,Tyt
71,71,54.218,165.997,8,11,Tyt
72,72,54.349,165.596,8,11,Tyt
73,73,54.315,165.700,7,11,Tyt
74,74,54.254,165.886,7,11,Tyt
75,75,54.265,165.853,7,11,Tyt
76,76,54.366,165.545,7,11,Tyt
77,77,56.29,159.886,7,11,Tyt
78,78,114.72,78.452,6,11,Tyt
79,79,141.63,63.546,18,11,Tyt
80,80,116.973,76.941,20,11,Tyt
81,81,57.062,157.723,15,11,Tyt
82,82,54.572,164.920,12,11,Tyt
83,83,57.912,155.408,11,11,Tyt
84,84,122.073,73.726,11,11,Tyt
85,85,129.077,69.726,11,11,Tyt
86,86,130.86,68.776,10,11,Tyt
87,87,121.355,74.163,9,11,Tyt
88,88,56.851,158.309,8,11,Tyt
