,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,28,71,Chv
1,1,58.42,154.057,24,71,Chv
2,2,56.374,159.648,27,71,Chv
3,3,55.195,163.058,26,71,Chv
4,4,54.692,164.558,26,71,Chv
5,5,54.99,163.666,26,71,Chv
6,6,54.588,164.871,26,71,Chv
7,7,54.847,164.093,26,71,Chv
8,8,54.967,163.735,26,71,Chv
9,9,54.737,164.423,26,71,Chv
10,10,54.657,164.663,26,71,Chv
11,11,55.538,162.051,28,71,Chv
12,12,55.951,160.855,30,71,Chv
13,13,55.976,160.783,32,71,Chv
14,14,55.044,163.506,32,71,Chv
15,15,54.865,164.039,32,71,Chv
16,16,55.41,162.426,33,71,Chv
17,17,54.836,164.126,33,71,Chv
18,18,54.771,164.321,33,71,Chv
19,19,55.064,163.446,33,71,Chv
20,20,55.075,163.414,33,71,Chv
21,21,54.809,164.207,33,71,Chv
22,22,54.926,163.857,33,71,Chv
23,23,54.915,163.890,33,71,Chv
24,24,54.912,163.899,33,71,Chv
25,25,55.135,163.236,33,71,Chv
26,26,55.362,162.566,32,71,Chv
27,27,55.072,163.422,29,71,Chv
28,28,54.847,164.093,26,71,Chv
29,29,55.114,163.298,26,71,Chv
30,30,56.937,158.069,26,71,Chv
31,31,96.355,93.405,26,71,Chv
32,32,82.562,109.009,7,71,Chv
33,33,130.959,68.724,4,71,Chv
34,34,166.25,54.135,35,71,Chv
35,35,91.927,97.904,33,71,Chv
36,36,57.85,155.575,33,71,Chv
37,37,55.12,163.280,28,71,Chv
38,38,55.384,162.502,27,71,Chv
39,39,54.76,164.354,27,71,Chv
40,40,55.128,163.256,27,71,Chv
41,41,55.879,161.062,29,71,Chv
42,42,72.972,123.335,29,71,Chv
43,43,124.848,72.088,29,71,Chv
44,44,130.359,69.040,29,71,Chv
45,45,125.67,71.616,26,71,Chv
46,46,152.044,59.193,33,71,Chv
47,47,143.848,62.566,35,71,Chv
48,48,98.726,91.161,33,71,Chv
49,49,58.434,154.020,34,71,Chv
50,50,55.487,162.200,33,71,Chv
51,51,55.286,162.790,33,71,Chv
52,52,55.013,163.598,32,71,Chv
53,53,55.899,161.005,33,71,Chv
54,54,56.289,159.889,32,71,Chv
55,55,92.992,96.783,32,71,Chv
56,56,110.766,81.252,32,71,Chv
57,57,131.525,68.428,32,71,Chv
58,58,115.27,78.078,23,71,Chv
59,59,129.324,69.593,10,71,Chv
60,60,119.358,75.403,10,71,Chv
61,61,58.144,154.788,15,71,Chv
62,62,55.064,163.446,15,71,Chv
63,63,54.548,164.992,16,71,Chv
64,64,55.214,163.002,18,71,Chv
65,65,54.851,164.081,19,71,Chv
66,66,54.459,165.262,19,71,Chv
67,67,54.576,164.908,19,71,Chv
68,68,55.216,162.996,21,71,Chv
69,69,54.96,163.755,22,71,Chv
70,70,55.091,163.366,22,71,Chv
71,71,55.951,160.855,26,71,Chv
72,72,56.085,160.471,29,71,Chv
73,73,131.291,68.550,35,71,Chv
