,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,23,41,Frd
1,1,99.83,79.335,23,41,Frd
2,2,94.15,84.121,23,41,Frd
3,3,155.769,50.845,32,41,Frd
4,4,1290.669,6.136,33,41,Frd
5,5,234.799,33.731,34,41,Frd
6,6,104.508,75.784,33,41,Frd
7,7,92.514,85.609,33,41,Frd
8,8,92.765,85.377,33,41,Frd
9,9,92.525,85.598,33,41,Frd
10,10,92.532,85.592,33,41,Frd
11,11,92.501,85.621,33,41,Frd
12,12,92.346,85.764,33,41,Frd
13,13,92.091,86.002,33,41,Frd
14,14,92.27,85.835,33,41,Frd
15,15,93.349,84.843,33,41,Frd
16,16,94.062,84.200,33,41,Frd
17,17,92.977,85.182,33,41,Frd
18,18,93.132,85.041,33,41,Frd
19,19,93.542,84.668,33,41,Frd
20,20,106.786,74.167,33,41,Frd
21,21,182.413,43.418,32,41,Frd
22,22,249.193,31.783,34,41,Frd
23,23,4559.997,1.737,34,41,Frd
24,24,115.58,68.524,34,41,Frd
25,25,127.326,62.203,34,41,Frd
26,26,206.956,38.269,34,41,Frd
27,27,194.534,40.713,34,41,Frd
28,28,100.678,78.667,34,41,Frd
29,29,94.466,83.840,33,41,Frd
