,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,34,43,Tyt
1,1,99.726,79.418,27,43,Tyt
2,2,94.684,83.647,27,43,Tyt
3,3,117.87,67.193,22,43,Tyt
4,4,1199.049,6.605,19,43,Tyt
5,5,217.515,36.411,18,43,Tyt
6,6,183.636,43.129,27,43,Tyt
7,7,98.352,80.527,25,43,Tyt
8,8,94.351,83.942,24,43,Tyt
9,9,92.069,86.022,24,43,Tyt
10,10,92.11,85.984,24,43,Tyt
11,11,92.512,85.611,24,43,Tyt
12,12,93.879,84.364,23,43,Tyt
13,13,92.094,85.999,22,43,Tyt
14,14,91.628,86.436,22,43,Tyt
15,15,92.173,85.925,22,43,Tyt
16,16,93.122,85.050,19,43,Tyt
17,17,101.145,78.303,17,43,Tyt
18,18,119.329,66.371,25,43,Tyt
19,19,93.077,85.091,24,43,Tyt
20,20,104.003,76.152,23,43,Tyt
21,21,145.178,54.554,23,43,Tyt
22,22,139.343,56.838,20,43,Tyt
23,23,202.237,39.162,18,43,Tyt
24,24,177.826,44.538,17,43,Tyt
25,25,98.767,80.189,17,43,Tyt
26,26,92.424,85.692,16,43,Tyt
27,27,91.891,86.189,16,43,Tyt
28,28,92.316,85.792,16,43,Tyt
29,29,93.82,84.417,15,43,Tyt
30,30,92.163,85.935,13,43,Tyt
31,31,143.4,55.230,12,43,Tyt
32,32,211.247,37.492,10,43,Tyt
33,33,216.826,36.527,10,43,Tyt
34,34,95.999,82.501,8,43,Tyt
35,35,92.091,86.002,8,43,Tyt
36,36,91.94,86.143,8,43,Tyt
37,37,91.988,86.098,7,43,Tyt
38,38,93.603,84.613,7,43,Tyt
39,39,92.359,85.752,7,43,Tyt
40,40,94.758,83.581,7,43,Tyt
41,41,95.541,82.896,9,43,Tyt
42,42,95.376,83.040,9,43,Tyt
43,43,93.881,84.362,6,43,Tyt
44,44,94.654,83.673,6,43,Tyt
45,45,96.258,82.279,9,43,Tyt
46,46,153.925,51.454,11,43,Tyt
47,47,430.311,18.405,31,43,Tyt
48,48,92.497,85.624,31,43,Tyt
49,49,92.377,85.736,31,43,Tyt
50,50,92.2,85.900,30,43,Tyt
51,51,92.352,85.759,30,43,Tyt
52,52,92.476,85.644,30,43,Tyt
53,53,92.416,85.699,30,43,Tyt
54,54,92.43,85.686,30,43,Tyt
55,55,92.768,85.374,30,43,Tyt
56,56,92.513,85.610,30,43,Tyt
57,57,92.919,85.236,30,43,Tyt
58,58,97.021,81.632,30,43,Tyt
59,59,121.723,65.066,30,43,Tyt
60,60,193.626,40.904,30,43,Tyt
61,61,183.605,43.136,30,43,Tyt
62,62,101.06,78.369,30,43,Tyt
63,63,126.016,62.849,28,43,Tyt
64,64,209.382,37.826,28,43,Tyt
65,65,199.86,39.628,28,43,Tyt
66,66,101.174,78.281,28,43,Tyt
67,67,96.151,82.370,28,43,Tyt
68,68,94.672,83.657,28,43,Tyt
69,69,96.317,82.228,28,43,Tyt
70,70,95.459,82.968,27,43,Tyt
71,71,93.606,84.610,26,43,Tyt
72,72,98.782,80.177,26,43,Tyt
73,73,99.845,79.323,26,43,Tyt
74,74,127.94,61.904,25,43,Tyt
